# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-23T13:47:29
# capture_name=3_3Mhz_0dbm.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,7642,16383
1,7281,16383
2,7033,16383
3,6915,16383
4,6813,16383
5,6721,16383
6,6776,16383
7,6959,16383
8,7257,16383
9,7506,16383
10,7729,16383
11,7973,16383
12,8345,16383
13,8661,16383
14,8868,16383
15,9021,16383
16,9136,16383
17,9221,16383
18,9128,16383
19,8893,16383
20,8712,16383
21,8607,16383
22,8238,16383
23,7922,16383
24,7599,16383
25,7390,16383
26,7026,16383
27,6904,16383
28,6790,16383
29,6789,16383
30,6790,16383
31,6949,16383
32,7146,16383
33,7407,16383
34,7709,16383
35,8060,16383
36,8313,16383
37,8562,16383
38,8821,16383
39,9065,16383
40,9139,16383
41,9197,16383
42,9141,16383
43,9011,16383
44,8905,16383
45,8571,16383
46,8303,16383
47,7948,16383
48,7608,16383
49,7381,16383
50,7102,16383
51,6994,16383
52,6766,16383
53,6777,16383
54,6862,16383
55,6843,16383
56,7059,16383
57,7359,16383
58,7686,16383
59,8001,16383
60,8213,16383
61,8511,16383
62,8747,16383
63,8983,16383
64,9169,16383
65,9243,16383
66,9166,16383
67,9034,16383
68,8903,16383
69,8696,16383
70,8329,16383
71,8009,16383
72,7717,16383
73,7518,16383
74,7170,16383
75,6881,16383
76,6782,16383
77,6869,16383
78,6864,16383
79,6824,16383
80,7025,16383
81,7391,16383
82,7598,16383
83,7895,16383
84,8201,16383
85,8570,16383
86,8839,16383
87,8918,16383
88,9015,16383
89,9243,16383
90,9138,16383
91,9067,16383
92,8871,16383
93,8710,16383
94,8427,16383
95,8073,16383
96,7738,16383
97,7477,16383
98,7232,16383
99,6997,16383
100,6853,16383
101,6704,16383
102,6776,16383
103,6882,16383
104,7025,16383
105,7268,16383
106,7469,16383
107,7882,16383
108,8110,16383
109,8433,16383
110,8794,16383
111,8946,16383
112,9172,16383
113,9195,16383
114,9175,16383
115,9064,16383
116,8883,16383
117,8741,16383
118,8489,16383
119,8222,16383
120,7886,16383
121,7509,16383
122,7226,16383
123,7066,16383
124,6946,16383
125,6836,16383
126,6826,16383
127,6919,16383
