# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-23T13:38:31
# capture_name=capture_20260723_133828.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=55.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,6013,16383
1,5973,16383
2,6114,16383
3,5277,16383
4,4828,16383
5,5535,16383
6,6006,16383
7,5748,16383
8,5778,16383
9,6759,16383
10,7166,16383
11,6413,16383
12,5632,16383
13,5867,16383
14,6163,16383
15,6478,16383
16,7093,16383
17,7026,16383
18,6725,16383
19,6974,16383
20,7390,16383
21,6379,16383
22,6430,16383
23,7348,16383
24,7893,16383
25,7806,16383
26,7748,16383
27,7185,16383
28,7052,16383
29,7573,16383
30,7890,16383
31,7858,16383
32,8090,16383
33,8559,16383
34,8416,16383
35,8519,16383
36,8120,16383
37,7903,16383
38,8140,16383
39,8850,16383
40,9071,16383
41,9151,16383
42,9193,16383
43,8886,16383
44,8349,16383
45,8919,16383
46,9595,16383
47,9897,16383
48,9518,16383
49,9435,16383
50,9692,16383
51,9698,16383
52,9425,16383
53,8868,16383
54,9838,16383
55,10869,16383
56,10763,16383
57,9366,16383
58,9626,16383
59,9938,16383
60,10482,16383
61,10858,16383
62,10141,16383
63,10327,16383
64,10826,16383
65,10832,16383
66,10293,16383
67,9876,16383
68,10710,16383
69,11756,16383
70,11025,16383
71,10707,16383
72,10545,16383
73,10608,16383
74,11057,16383
75,10927,16383
76,11273,16383
77,11676,16383
78,11344,16383
79,10805,16383
80,11036,16383
81,10895,16383
82,11444,16383
83,11945,16383
84,11790,16383
85,10883,16383
86,10478,16383
87,11221,16383
88,12193,16383
89,11902,16383
90,11380,16383
91,11743,16383
92,11747,16383
93,11434,16383
94,10571,16383
95,11041,16383
96,12032,16383
97,11802,16383
98,11109,16383
99,11345,16383
100,12129,16383
101,11759,16383
102,10787,16383
103,11230,16383
104,11275,16383
105,11430,16383
106,11027,16383
107,11132,16383
108,11471,16383
109,11917,16383
110,11214,16383
111,10293,16383
112,11060,16383
113,11351,16383
114,10899,16383
115,10645,16383
116,11478,16383
117,11835,16383
118,10946,16383
119,10105,16383
