# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-09-02T12:05:45+00:00
# capture_name=80mV_5MHz_good_external_clock_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=733
# firmware_status_timestamp=2026-09-02T12:05:45+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=10.14
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=false
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=10.1400
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=2.49885936897e-05
# calibrated_volts_per_div_ch2=0.0511766398765
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=80mV_5MHz_good_external_clock
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.03
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,7544,8126
1,8359,8357
2,9188,8278
3,9852,7956
4,10186,8184
5,10316,8161
6,10058,8398
7,9542,8236
8,8830,8101
9,7957,8290
10,7182,8305
11,6527,8191
12,6146,8095
13,6042,8079
14,6243,8289
15,6835,8141
16,7560,8238
17,8355,8225
18,9173,8236
19,9835,8237
20,10242,8093
21,10288,8276
22,10126,7990
23,9547,8154
24,8776,8186
25,8000,8189
26,7184,8381
27,6541,8191
28,6139,8321
29,6030,8256
30,6258,8195
31,6799,8211
32,7526,8023
33,8370,8235
34,9203,8090
35,9847,8110
36,10183,8150
37,10316,8215
38,10079,8364
39,9551,8153
40,8775,8261
41,7970,8198
42,7192,8195
43,6560,7972
44,6111,8166
45,6046,8282
46,6309,8057
47,6791,8179
48,7518,8171
49,8366,8329
50,9182,8310
51,9843,7972
52,10206,8091
53,10321,8247
54,10085,8211
55,9588,8157
56,8812,8129
57,7917,8215
58,7197,8240
59,6538,8151
60,6159,8153
61,6015,8405
62,6277,8232
63,6844,8166
64,7508,8149
65,8361,8365
66,9185,8271
67,9856,8141
68,10267,8114
69,10304,8333
70,10067,8239
71,9562,8165
72,8801,8094
73,7981,8419
74,7162,8274
75,6568,8044
76,6126,8198
77,6012,8389
78,6280,8314
79,6829,8017
80,7530,8122
81,8358,8185
82,9209,8077
83,9810,8193
84,10239,8126
85,10313,8241
86,10082,8288
87,9560,8224
88,8781,8225
89,8010,7970
90,7139,8265
91,6549,8022
92,6165,8185
93,6018,8172
94,6285,8185
95,6782,8331
96,7547,8214
97,8352,8254
98,9174,8242
99,9847,8245
100,10237,8233
101,10323,7984
102,10055,8163
103,9580,8223
104,8806,8213
105,7941,8193
106,7157,8170
107,6507,8364
108,6155,8303
109,6062,7994
110,6265,8138
111,6833,8164
112,7515,8395
113,8406,8033
114,9190,8069
115,9815,8325
116,10216,8250
117,10302,8184
118,10107,8031
119,9567,8270
120,8809,8296
121,7954,8109
122,7199,8086
123,6499,8273
124,6106,8287
125,6067,8028
126,6289,8181
127,6761,8399
128,7509,8275
129,8406,8026
130,9164,8149
131,9821,8163
132,10258,8302
133,10355,8090
134,10068,8119
135,9543,8361
136,8808,8290
137,7952,8201
138,7196,7961
139,6515,8197
140,6140,8211
141,6062,8183
142,6267,8101
143,6776,8148
144,7501,8304
145,8396,8214
146,9189,8192
147,9815,8291
148,10232,8204
149,10318,8166
150,10101,8174
151,9584,8190
152,8790,8213
153,7952,8178
154,7181,8200
155,6547,8394
156,6119,8292
157,6026,8204
158,6293,8010
159,6786,8238
160,7556,8053
161,8377,8250
162,9198,8174
163,9831,8225
164,10184,8134
165,10346,8024
166,10068,8217
167,9525,8156
168,8834,8421
169,7976,8231
170,7169,8384
171,6522,8129
