# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T17:28:02+00:00
# capture_name=after_pin_swap_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=533
# firmware_status_timestamp=2026-08-30T17:28:02+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=after_pin_swap
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,14930,15112
1,13720,14304
2,11902,12322
3,9416,9736
4,6755,6767
5,4459,4131
6,2504,2304
7,1592,1244
8,1788,647
9,2776,2155
10,4664,4199
11,7330,6507
12,9818,9587
13,12055,12290
14,14109,14160
15,14992,15274
16,14861,15443
17,13933,14232
18,11867,12424
19,9316,9635
20,6744,6727
21,4410,4251
22,2530,2236
23,1640,1240
24,1728,824
25,2724,2106
26,4732,4144
27,7195,6716
28,9866,9699
29,12326,12213
30,14089,14345
31,14954,15337
32,14943,15254
33,13747,14198
34,11874,12608
35,9519,9782
36,6813,6704
37,4256,4364
38,2445,2135
39,1676,913
40,1738,972
41,2771,2117
42,4754,4113
43,7179,6749
44,9911,9594
45,12288,12358
46,13955,14486
47,15028,15169
48,15025,15262
49,13731,14488
50,11838,12306
51,9571,9577
52,6672,6899
53,4314,4165
54,2382,2083
55,1651,953
56,1714,864
57,2786,2094
58,4646,4197
59,7213,6597
60,9869,9516
61,12195,12357
62,14099,14212
63,15027,15347
64,14921,15444
65,13819,14228
66,11870,12262
67,9341,9582
68,6789,6836
69,4324,4165
70,2589,2137
71,1657,1177
72,1720,873
73,2694,2210
74,4837,4227
75,7210,6521
76,9862,9518
77,12203,12399
78,14043,14376
79,15088,15421
80,15028,15373
81,13863,14349
82,11810,12485
83,9427,9382
84,6743,6628
85,4296,4354
86,2539,2192
87,1785,945
88,1664,1176
89,2722,2113
90,4780,4075
91,7185,6630
92,9923,9737
93,12244,12310
94,14070,14228
95,15061,15304
96,14901,15457
97,13709,14235
98,11882,12244
99,9448,9584
100,6747,6803
101,4214,4194
102,2605,1947
103,1714,1156
104,1627,1006
105,2767,2053
106,4711,4117
107,7146,6565
108,9944,9644
109,12300,12230
110,14040,14390
111,15132,15145
112,15052,15245
113,13639,14568
114,11908,12353
115,9561,9604
116,6715,6820
117,4373,4312
118,2580,2262
119,1707,999
120,1749,836
121,2660,2207
122,4671,4089
123,7327,6561
124,9864,9541
125,12206,12531
126,14148,14174
127,15112,15183
128,14809,15490
129,13848,14187
130,11954,12359
131,9424,9724
132,6844,6774
133,4312,4236
134,2506,2078
135,1609,882
136,1699,1088
137,2817,2298
138,4735,4048
139,7321,6618
140,9816,9672
141,12360,12378
142,14136,14114
143,14939,15363
144,14904,15534
145,13828,14254
146,11848,12559
147,9569,9538
148,6794,6846
149,4235,4186
150,2513,2236
151,1743,1031
152,1706,1033
153,2763,2227
154,4701,4006
155,7328,6708
156,9888,9740
157,12215,12302
158,14070,14269
159,15053,15300
160,14868,15524
161,13798,14263
162,11925,12300
163,9374,9432
164,6734,7148
165,4379,4297
166,2609,1885
167,1546,1077
168,1729,1020
169,2793,2151
170,4756,4197
171,7310,6741
172,9819,9733
173,12257,12158
174,14200,14209
175,14954,15163
176,14856,15475
177,13845,14366
178,11925,12195
179,9304,9707
180,6727,7005
181,4483,4061
182,2517,2075
183,1617,971
184,1727,1093
185,2736,2046
186,4852,4240
187,7342,6849
188,9850,9488
189,12184,12365
190,14119,14173
191,15057,15520
192,14926,15521
193,13966,14379
194,11833,12295
195,9409,9451
196,6727,6856
197,4346,4201
198,2554,2113
199,1670,877
200,1623,992
201,2724,2351
202,4901,4085
203,7192,6384
204,9679,9690
205,12355,12310
206,14167,14331
207,14952,15278
208,14861,15439
209,13935,14079
210,11821,12395
211,9411,9477
212,6695,6830
213,4361,4248
214,2575,2109
215,1612,1133
216,1643,910
217,2849,2162
218,4771,4113
219,7212,6736
220,9824,9527
221,12229,12270
222,14113,14320
223,14986,15172
224,14913,15383
225,13851,14462
226,11898,12296
227,9377,9651
228,6751,6861
229,4399,4125
230,2508,1965
231,1564,990
232,1678,1071
233,2772,2098
234,4791,4092
235,7294,6627
236,9749,9844
237,12252,12110
238,14110,14123
239,14999,15408
240,14778,15517
241,13863,14203
242,11948,12285
243,9429,9886
244,6795,6880
245,4345,3990
246,2547,2226
247,1594,1099
248,1766,1086
249,2800,2115
250,4808,4023
251,7185,6798
252,9825,9549
253,12181,12133
254,14196,14314
255,14965,15370
256,14891,15670
257,13868,14203
258,11938,12195
259,9324,9765
260,6906,6927
261,4308,4233
262,2644,2213
263,1711,1052
264,1681,1121
265,2728,1970
266,4778,3886
267,7196,6708
268,9832,9755
269,12457,12227
270,14064,14200
271,15007,15715
272,14943,15411
273,13781,14240
274,11912,12301
275,9356,9578
276,6698,6837
277,4369,4090
278,2678,1886
279,1574,1291
280,1610,882
281,2840,1941
282,4721,4062
283,7146,6968
284,9852,9479
285,12353,12117
286,14119,14399
287,15009,15486
288,14802,15431
289,13881,14174
290,11967,12162
291,9222,9671
292,6794,6697
293,4435,4041
294,2557,2117
295,1542,1067
296,1760,1101
297,2846,2046
298,4798,4150
299,7302,6767
300,9767,9500
301,12214,12348
302,14206,14285
303,15036,15507
304,14823,15496
305,13898,14239
306,11917,12251
307,9363,9602
308,6686,7038
309,4468,4019
310,2593,2202
311,1547,1194
312,1692,1010
313,2808,1926
314,4561,3811
315,7199,6929
316,9962,9691
317,12331,12292
318,14173,14266
319,14862,15488
320,14888,15387
321,13937,14107
322,11960,12417
323,9338,9675
324,6771,6787
325,4415,4087
326,2513,2049
327,1553,1056
328,1682,981
329,2731,2061
330,4822,4132
331,7159,6926
332,9945,9592
333,12344,12044
334,13905,14421
335,15094,15505
336,14964,15381
337,13704,14270
338,11905,12145
339,9531,9835
340,6692,6931
341,4393,4151
342,2526,2024
343,1617,1342
344,1807,1088
345,2810,1871
346,4587,4045
347,7276,6869
348,9877,9758
349,12272,12309
350,14144,14199
351,14955,15446
352,14877,15493
353,13934,14117
354,11818,12266
355,9372,9650
356,6805,6798
357,4420,4139
358,2523,2164
359,1531,1153
360,1749,971
361,2797,1994
362,4729,4168
363,7160,6598
364,9947,9580
365,12249,12248
366,14069,14414
367,15020,15494
368,14903,15160
369,13842,14428
370,11841,12287
371,9344,9643
372,6814,6606
373,4445,4318
374,2441,2045
375,1665,816
376,1647,1063
377,2734,2054
378,4691,3926
379,7174,6833
380,9934,9742
381,12386,12157
382,14009,14153
383,14890,15375
384,14946,15264
385,13860,14327
386,11861,12379
387,9373,9626
388,6693,6669
389,4394,4032
390,2556,2266
391,1683,993
392,1656,940
393,2859,2167
394,4727,4072
395,7106,6935
396,9848,9511
397,12300,12318
398,13988,14349
399,15070,15332
400,14927,15493
401,13865,14248
402,11909,12312
403,9459,9566
404,6727,6880
405,4433,4237
406,2437,2182
407,1578,1224
408,1804,768
409,2730,2066
410,4668,4197
411,7226,6594
412,9905,9565
413,12137,12266
414,14081,14280
415,15014,15220
416,14829,15306
417,13853,14362
418,11785,12282
419,9416,9839
420,6879,6770
421,4416,4036
422,2379,2106
423,1581,705
424,1779,1022
425,2796,1926
426,4764,4183
427,7138,6923
428,9947,9578
429,12293,12253
430,13899,14456
431,15017,15469
432,14994,15198
433,13836,14430
434,11797,12366
435,9411,9783
436,6934,6665
437,4285,4147
438,2413,2371
439,1762,913
440,1723,1007
441,2759,2294
442,4630,4066
443,7209,6694
444,9890,9656
445,12276,12364
446,13971,14382
447,15009,15179
448,14957,15481
449,13775,14493
450,11890,12442
451,9461,9535
452,6667,6705
453,4341,4334
454,2627,2025
455,1547,1043
456,1617,994
457,2750,1975
458,4692,4246
459,7200,6826
460,9948,9505
461,12213,12083
462,13978,14432
463,15001,15268
464,14990,15334
465,13842,14517
466,11924,12354
467,9232,9509
468,6785,6667
469,4320,4036
470,2500,2226
471,1565,942
472,1800,727
473,2672,2137
474,4736,4271
475,7284,6809
476,9809,9525
477,12201,12204
478,14080,14146
479,14956,15323
480,14937,15376
481,13854,14377
482,11764,12325
483,9385,9760
484,6981,6608
485,4220,4313
486,2505,2070
487,1614,762
488,1648,1029
489,2814,2235
490,4753,4240
491,7120,6454
492,9913,9613
493,12201,12449
494,14020,14139
495,14935,15318
496,14942,15376
497,13866,14354
498,11794,12463
499,9502,9516
500,6836,6923
