# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T17:40:05+00:00
# capture_name=after_pin_swap_P5_2vpp_1to100_g49p66_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1863
# firmware_status_timestamp=2026-08-30T17:40:05+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00187691091408
# calibrated_volts_per_div_ch1=3.84391355203
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00189478891625
# calibrated_volts_per_div_ch2=3.88052770048
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=after_pin_swap_P5_2vpp_1to100_g49p66
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,10677,11053
1,7999,8094
2,5509,5494
3,3342,3009
4,1909,1323
5,1634,896
6,2062,1268
7,3600,2909
8,5778,5106
9,8394,8031
10,11110,11031
11,13085,13396
12,14548,14908
13,14981,15451
14,14409,15046
15,12861,13394
16,10642,10998
17,8055,8087
18,5531,5473
19,3279,2906
20,1976,1491
21,1572,728
22,2073,1410
23,3604,2925
24,5818,5150
25,8387,8035
26,10995,10842
27,13052,13227
28,14530,14913
29,14970,15429
30,14364,14926
31,12830,13325
32,10622,10874
33,8181,8426
34,5342,5309
35,3486,2979
36,1984,1411
37,1492,781
38,2116,1335
39,3630,2932
40,5821,5274
41,8398,8046
42,10921,10851
43,13143,13226
44,14508,14837
45,14922,15504
46,14400,14946
47,12901,13515
48,10602,10952
49,8061,8322
50,5556,5431
51,3323,2928
52,1989,1353
53,1556,838
54,2067,1313
55,3645,2934
56,5845,5237
57,8461,8098
58,11004,10846
59,13139,13305
60,14575,14942
61,14942,15515
62,14322,14839
63,12872,13548
64,10699,10985
65,8026,8173
66,5412,5255
67,3465,3059
68,1948,1434
69,1460,753
70,2090,1357
71,3607,2908
72,5777,5103
73,8494,8141
74,10941,10759
75,13177,13258
76,14469,14807
77,15007,15493
78,14387,14984
79,12930,13527
80,10607,11021
81,8070,8320
82,5454,5334
83,3334,2931
84,2011,1427
85,1510,769
86,2104,1320
87,3540,2789
88,5848,5210
89,8470,8034
90,11073,10974
91,13105,13269
92,14613,14862
93,14937,15516
94,14391,14899
95,12919,13528
96,10532,10984
97,8095,8260
98,5471,5298
99,3385,3026
100,1987,1388
101,1513,807
102,2073,1322
103,3578,2905
104,5896,5315
105,8463,8109
106,10942,10808
107,13126,13276
108,14566,14815
109,14961,15525
110,14352,14955
111,12898,13443
112,10653,10889
113,8120,8361
114,5477,5381
115,3335,2878
116,1976,1330
117,1443,824
118,2153,1379
119,3592,2761
120,5831,5206
121,8449,8030
122,10980,10813
123,13110,13353
124,14528,14841
125,14984,15515
126,14350,14954
127,12930,13481
128,10698,11006
129,8153,8240
130,5472,5428
131,3353,2955
132,2034,1363
133,1515,806
134,2128,1359
135,3650,2838
136,5820,5341
137,8476,8121
138,10953,10738
139,13092,13297
140,14536,14867
141,14884,15491
142,14468,14986
143,12893,13477
144,10474,10987
145,8114,8318
146,5491,5392
147,3457,3048
148,1936,1412
149,1586,827
150,2106,1323
151,3619,2780
152,5854,5243
153,8393,8158
154,10974,10766
155,13183,13259
156,14462,14822
157,14908,15486
158,14371,14898
159,12848,13322
160,10653,10842
161,8091,8245
162,5509,5363
163,3392,2955
164,1840,1298
165,1566,765
166,2096,1330
167,3638,2790
168,5842,5329
169,8337,8044
170,10993,10833
171,13086,13252
172,14519,14845
173,14968,15500
174,14327,14939
175,12881,13372
176,10590,10909
177,8160,8456
178,5471,5393
179,3386,2979
180,1900,1376
181,1525,725
182,2157,1391
183,3475,2843
184,5909,5289
185,8421,8066
186,10871,10816
187,13254,13338
188,14535,14836
189,14985,15462
190,14356,14955
191,12835,13505
192,10680,10904
193,8192,8273
194,5465,5314
195,3341,2885
196,2044,1464
197,1457,832
198,2085,1318
199,3552,2727
200,5894,5318
201,8430,8082
202,10976,10866
203,13190,13307
204,14496,14849
205,14987,15527
206,14424,14968
207,12914,13506
208,10651,10929
209,8173,8350
210,5435,5314
211,3387,3026
212,1974,1384
213,1525,811
214,2079,1331
215,3603,2836
216,5834,5225
217,8432,8096
218,10893,10719
219,13161,13304
220,14527,14832
221,14919,15455
222,14404,14981
223,12949,13474
224,10549,11008
225,8010,8232
226,5531,5356
227,3322,2873
228,1990,1505
229,1548,850
230,2063,1305
231,3550,2686
232,5950,5263
233,8410,8038
234,10876,10892
235,13108,13188
236,14557,14916
237,14970,15438
238,14411,14967
239,12866,13415
240,10609,11018
241,8093,8313
242,5370,5311
243,3476,2982
244,1862,1314
245,1539,784
246,2114,1356
247,3578,2794
248,5809,5280
249,8382,8057
250,10869,10762
251,13197,13323
252,14571,14903
253,15034,15560
254,14330,14883
255,12958,13470
256,10514,10926
257,8093,8183
258,5533,5450
259,3461,3087
260,1902,1403
261,1528,817
262,2118,1306
263,3602,2969
264,5815,5082
265,8394,7955
266,10982,10886
267,13163,13275
268,14455,14854
269,15032,15552
270,14345,15008
271,12862,13393
272,10720,11062
273,8070,8264
274,5431,5212
275,3453,3064
276,1844,1332
277,1622,696
278,2065,1344
279,3534,2706
280,5985,5269
281,8428,8174
282,10960,10727
283,13074,13292
284,14546,14867
285,14957,15556
286,14400,14948
287,12969,13542
288,10664,10997
289,8118,8301
290,5425,5341
291,3331,2987
292,1992,1346
293,1566,866
294,2094,1309
295,3591,2780
296,5959,5245
297,8338,8098
298,10877,10735
299,13180,13256
300,14490,14883
301,14951,15480
302,14369,14841
303,12930,13636
304,10602,11107
305,8075,8311
306,5468,5334
307,3268,2921
308,2066,1458
309,1487,768
310,2134,1366
311,3633,2901
312,5840,5316
313,8333,8049
314,10973,10867
315,13018,13348
316,14575,14880
317,14992,15494
318,14402,14999
319,12805,13405
320,10677,10901
321,8175,8311
322,5339,5307
323,3475,3070
324,2006,1499
325,1514,781
326,2156,1392
327,3588,2779
328,5884,5240
329,8438,8105
330,10900,10793
331,13044,13258
332,14501,14824
333,14980,15474
334,14379,14887
335,12923,13541
336,10576,10899
337,8134,8358
338,5331,5302
339,3420,2882
340,2004,1385
341,1560,829
342,2065,1309
343,3482,2822
344,5985,5286
345,8413,8053
346,10990,10871
347,13146,13245
348,14556,14907
349,14914,15512
350,14339,14988
351,12891,13398
352,10728,10987
353,8126,8301
354,5438,5320
355,3332,3054
356,1935,1365
357,1580,728
358,2104,1392
359,3557,2731
360,5809,5234
361,8383,8099
362,10997,10839
363,13144,13331
364,14572,14863
365,14898,15529
366,14348,14836
367,12944,13533
368,10569,10928
369,8146,8315
370,5478,5457
371,3412,3052
372,1942,1447
373,1545,798
374,2036,1345
375,3608,2683
376,5790,5219
377,8461,8108
378,10949,10817
379,13144,13293
380,14547,14856
381,15012,15448
382,14353,14934
383,12834,13401
384,10536,10867
385,8234,8437
386,5368,5353
387,3462,3022
388,1958,1312
389,1550,799
390,2070,1299
391,3626,2841
392,5863,5263
393,8358,8068
394,10931,10797
395,13192,13219
396,14569,14853
397,14963,15549
398,14338,14942
399,12958,13607
400,10640,11049
401,8130,8430
402,5442,5411
403,3467,3047
404,1978,1389
405,1543,823
406,2076,1334
407,3554,2810
408,5803,5164
409,8482,8171
410,10960,10725
411,13135,13286
412,14501,14869
413,14936,15567
414,14293,14830
415,13019,13680
416,10642,11075
417,8081,8285
418,5415,5241
419,3507,3093
420,1890,1372
421,1517,760
422,2095,1308
423,3608,2929
424,5852,5271
425,8437,8002
426,10940,10935
427,13139,13355
428,14531,14839
429,14990,15506
430,14406,14985
431,12862,13364
432,10701,10979
433,7984,8100
434,5473,5459
435,3340,2992
436,2028,1445
437,1546,737
438,2104,1322
439,3510,2860
440,5796,5275
441,8361,8038
442,10959,10871
443,13114,13180
444,14549,14853
445,14926,15526
446,14377,14960
447,12864,13377
448,10634,10941
449,8156,8397
450,5389,5298
451,3432,3109
452,1931,1356
453,1530,782
454,2149,1395
455,3600,2845
456,5845,5225
457,8383,7923
458,11050,10925
459,13133,13296
460,14589,14924
461,14943,15519
462,14320,14961
463,12940,13485
464,10668,11084
465,8001,8214
466,5497,5260
467,3470,3045
468,1972,1390
469,1503,842
470,2062,1314
471,3624,2856
472,5902,5343
473,8399,8075
474,11018,10840
475,13122,13306
476,14484,14906
477,14967,15525
478,14455,14953
479,12819,13357
480,10703,10897
481,8117,8348
482,5509,5341
483,3339,3012
484,1986,1326
485,1562,742
486,2056,1398
487,3667,2850
488,5809,5213
489,8383,8062
490,10937,10722
491,13162,13269
492,14504,14845
493,14916,15497
494,14421,14895
495,12923,13525
496,10589,10994
497,8147,8347
498,5537,5414
499,3362,2958
500,2015,1375
501,1530,821
502,2097,1314
503,3581,2804
504,5818,5253
505,8331,8029
506,11035,10990
507,13105,13271
508,14519,14876
509,14922,15543
510,14429,15024
511,12843,13350
512,10644,10938
513,8080,8258
514,5419,5301
515,3524,3123
516,1923,1351
517,1562,753
518,2057,1387
519,3546,2745
520,5862,5334
521,8354,7955
522,11087,10931
523,13096,13286
524,14543,14915
525,14932,15513
526,14402,14968
527,12907,13407
528,10614,11035
529,8075,8326
530,5404,5371
531,3453,3079
532,1898,1358
533,1562,788
534,2066,1380
535,3561,2924
536,5852,5224
537,8411,8051
538,10910,10927
539,13131,13253
540,14558,14907
541,14883,15523
542,14464,14961
543,12887,13357
544,10662,11019
545,7975,8185
546,5519,5277
547,3338,2900
548,1974,1363
549,1537,796
550,2082,1415
551,3631,2993
552,5837,5116
553,8392,7992
554,10971,10843
555,13141,13281
556,14547,14948
557,14971,15591
558,14408,14955
559,12964,13403
560,10673,11037
561,8069,8335
562,5440,5310
563,3430,3041
564,1953,1399
565,1529,789
566,2150,1322
567,3576,2822
568,5760,5222
569,8362,8057
570,11092,10947
571,13132,13267
572,14547,14869
573,14963,15501
574,14436,14937
575,12948,13524
576,10677,11036
577,8120,8345
578,5457,5344
579,3429,3046
580,1972,1415
581,1568,795
582,2109,1340
583,3576,2787
584,5850,5209
585,8419,8135
586,10933,10755
587,13082,13230
588,14520,14896
589,14945,15498
590,14370,14896
591,12876,13395
592,10562,10833
593,8170,8457
594,5468,5377
595,3320,2992
596,1987,1394
597,1562,802
598,2083,1296
599,3608,2859
600,5854,5210
601,8453,8158
602,10981,10856
603,13145,13317
604,14502,14902
605,15032,15535
606,14393,14963
607,12904,13341
608,10551,10848
609,8172,8208
610,5638,5601
611,3473,3014
612,1924,1317
613,1489,766
614,2120,1309
615,3548,2780
616,5867,5291
617,8487,8161
618,10971,10763
619,13206,13339
620,14556,14869
621,15006,15548
622,14325,14914
623,12916,13504
624,10610,10914
625,8190,8291
626,5508,5385
627,3386,3089
628,1889,1293
629,1532,869
630,2084,1331
631,3562,2795
632,5737,5189
633,8418,7963
634,11012,10950
635,13129,13299
636,14530,14819
637,14903,15520
638,14353,14834
639,12965,13586
640,10690,11076
641,8078,8277
642,5550,5408
643,3399,2984
644,2026,1418
645,1500,791
646,2105,1357
647,3538,2779
648,5884,5242
649,8478,8173
650,10958,10800
651,13208,13230
652,14537,14854
653,14952,15521
654,14364,14937
655,12927,13506
656,10502,10951
657,8179,8345
658,5324,5313
659,3468,3081
660,2012,1373
661,1514,846
662,2056,1301
663,3652,2942
664,5824,5272
665,8363,7991
666,11121,10937
667,13050,13281
668,14526,14816
669,14992,15558
670,14330,14972
671,12918,13440
672,10616,10975
673,8165,8346
674,5452,5378
675,3359,2951
676,1969,1376
677,1538,817
678,2101,1342
679,3502,2849
680,5797,5245
681,8530,8154
682,11007,10827
683,13110,13286
684,14599,14951
685,14918,15529
686,14397,14917
687,12931,13674
688,10588,11042
689,8156,8451
690,5355,5342
691,3379,3054
692,1991,1361
693,1511,855
694,2070,1309
695,3548,2853
696,5884,5292
697,8454,8098
698,10880,10745
699,13140,13282
700,14540,14795
701,14966,15551
702,14400,14955
703,12915,13537
704,10658,11046
705,8142,8321
706,5495,5423
707,3457,2995
708,1926,1281
709,1542,852
710,2072,1330
711,3498,2817
712,6040,5281
713,8374,8146
714,10919,10725
715,13153,13275
716,14537,14859
717,14938,15533
718,14398,14953
719,12989,13548
720,10496,11018
721,8080,8247
722,5446,5316
723,3525,3102
724,1953,1381
725,1500,828
726,2042,1324
727,3634,2838
728,5755,5259
729,8469,8109
730,11056,10931
731,13091,13250
732,14489,14908
733,14993,15487
734,14314,14980
735,12908,13502
736,10695,10976
737,7990,8264
738,5477,5308
739,3421,2944
740,1961,1553
741,1543,821
742,2035,1265
743,3644,2665
744,5794,5216
745,8435,8082
746,10983,10790
747,13134,13259
748,14592,14928
749,14937,15474
750,14338,14963
751,12936,13502
752,10596,10893
753,8212,8430
754,5450,5347
755,3430,3017
756,2023,1492
757,1533,857
758,2071,1342
759,3630,2783
760,5765,5240
761,8393,8106
762,10988,10939
763,13221,13217
764,14540,14789
765,14916,15525
766,14318,14876
767,12898,13559
768,10711,11000
769,8012,8173
770,5548,5381
771,3388,3009
772,1981,1384
773,1616,817
774,2102,1297
775,3611,2924
776,5714,5081
777,8490,8076
778,10952,10859
779,13157,13295
780,14478,14876
781,14958,15510
782,14451,15089
783,12883,13499
784,10640,10972
785,8122,8309
786,5482,5311
787,3415,3052
788,2008,1368
789,1548,739
790,2034,1314
791,3524,2748
792,5794,5256
793,8469,8093
794,10938,10750
795,13072,13222
796,14516,14869
797,14950,15538
798,14384,14938
799,12974,13435
800,10641,10989
801,8118,8301
802,5439,5385
803,3395,3081
804,2031,1359
805,1511,813
806,2146,1281
807,3577,2697
808,5804,5204
809,8355,7995
810,11026,10936
811,13106,13269
812,14506,14818
813,15018,15567
814,14480,14970
815,12920,13343
816,10663,11040
817,8161,8373
818,5419,5410
819,3410,2948
820,1986,1331
821,1561,763
822,2006,1300
823,3648,2838
824,5823,5195
825,8361,8075
826,10872,10803
827,13280,13298
828,14446,14862
829,14915,15487
830,14411,14939
831,12945,13588
832,10721,10958
833,8098,8353
834,5486,5336
835,3369,2926
836,1963,1372
837,1543,842
838,2061,1346
839,3548,2730
840,5796,5181
841,8482,8087
842,10980,10833
843,13104,13268
844,14497,14851
845,15001,15564
846,14405,14909
847,12928,13514
848,10596,10974
849,8191,8412
850,5355,5346
851,3436,3034
852,2011,1375
853,1512,858
854,2115,1347
855,3584,2917
856,5857,5246
857,8346,8022
858,11052,10955
859,13082,13321
860,14530,14886
861,14970,15547
862,14356,14942
863,12964,13607
864,10629,11127
865,8096,8169
866,5495,5469
867,3452,3070
868,1990,1370
869,1447,840
870,2121,1345
871,3544,2904
872,5855,5191
873,8376,8060
874,10800,10719
875,13178,13281
876,14530,14854
877,15012,15528
878,14355,14905
879,12947,13626
880,10645,11048
881,8000,8302
882,5423,5349
883,3431,3061
884,2020,1357
885,1512,832
886,2070,1309
887,3530,2687
888,5818,5220
889,8435,8115
890,10873,10675
891,13112,13237
892,14547,14834
893,14932,15502
894,14397,14939
895,12855,13453
896,10607,10922
897,8183,8398
898,5371,5336
899,3436,2972
900,1953,1376
901,1489,826
902,2028,1289
903,3622,2805
904,5837,5214
905,8296,8017
906,10977,10946
907,13181,13252
908,14526,14839
909,15045,15497
910,14295,14849
911,12996,13670
912,10523,11061
913,8122,8307
914,5670,5432
915,3219,2862
916,2016,1337
917,1556,843
918,2161,1290
919,3548,2729
920,5688,5179
921,8506,8091
922,10938,10839
923,13126,13211
924,14510,14919
925,14956,15526
926,14434,14895
927,12924,13461
928,10580,10944
929,8128,8405
930,5489,5376
931,3395,3039
932,1994,1359
933,1530,836
934,2041,1326
935,3521,2815
936,5901,5234
937,8441,8117
938,10867,10711
939,13207,13257
940,14507,14899
941,15001,15492
942,14346,14874
943,12948,13532
944,10649,10982
945,8047,8261
946,5465,5314
947,3362,2978
948,2015,1416
949,1546,857
950,2109,1359
951,3559,2750
952,5911,5247
953,8351,8083
954,11023,10993
955,13124,13206
956,14594,14911
957,14924,15495
958,14370,14817
959,12861,13494
960,10597,10988
961,8132,8355
962,5565,5400
963,3328,3025
964,2036,1496
965,1520,808
966,2088,1339
967,3497,2722
968,5935,5236
969,8368,8108
970,10956,10897
971,13086,13231
972,14501,14817
973,14927,15478
974,14444,14879
975,12986,13636
976,10599,11067
977,8211,8333
978,5382,5335
979,3410,2864
980,2035,1475
981,1537,785
982,2094,1362
983,3585,2772
984,5776,5205
985,8349,7978
986,11053,11015
987,13070,13206
988,14565,14837
989,14955,15512
990,14486,14898
991,12894,13414
992,10620,11019
993,8176,8409
994,5456,5398
995,3346,2929
996,2047,1377
997,1489,761
998,2100,1347
999,3558,2832
1000,5755,5158
1001,8393,8033
1002,10978,10902
1003,13161,13294
1004,14477,14798
1005,14907,15544
1006,14427,14885
1007,12865,13489
1008,10729,11083
1009,8055,8245
1010,5449,5320
1011,3455,2962
1012,1944,1339
1013,1487,804
1014,2085,1258
1015,3590,2735
1016,5775,5214
1017,8450,8112
1018,10963,10698
1019,13032,13269
1020,14590,14858
1021,14947,15476
1022,14369,14919
1023,12953,13694
1024,10607,11083
1025,8203,8353
1026,5460,5370
1027,3328,2932
1028,1967,1388
1029,1586,834
1030,2048,1317
1031,3564,2795
1032,5745,5163
1033,8340,7963
1034,10991,10961
1035,13155,13331
1036,14481,14846
1037,14953,15541
1038,14411,14834
