# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T17:33:39+00:00
# capture_name=after_pin_swap_bigger_amplitude_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1123
# firmware_status_timestamp=2026-08-30T17:33:39+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=after_pin_swap_bigger_amplitude
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=1
index,ch1_raw,ch2_raw
0,15416,15974
1,15529,16051
2,14385,14995
3,12409,12818
4,9659,9931
5,6796,6927
6,4207,3964
7,2256,1755
8,1166,538
9,1104,528
10,2319,1531
11,4335,3454
12,6910,6659
13,9751,9430
14,12418,12209
15,14365,14599
16,15473,15964
17,15460,15977
18,14361,14874
19,12259,12709
20,9798,10178
21,6814,6953
22,4214,3967
23,2295,1742
24,1098,527
25,1223,623
26,2216,1565
27,4290,3554
28,6917,6322
29,9834,9689
30,12416,12322
31,14517,14619
32,15500,15857
33,15374,16209
34,14419,14804
35,12442,12761
36,9629,10106
37,6804,6891
38,4342,4063
39,2290,1872
40,1081,571
41,1135,380
42,2308,1532
43,4325,3511
44,6888,6571
45,9852,9583
46,12485,12214
47,14479,14653
48,15452,16107
49,15452,16083
50,14469,14663
51,12190,12809
52,9626,10053
53,6972,6625
54,4230,4120
55,2146,1853
56,1215,488
57,1144,429
58,2210,1474
59,4320,3625
60,6937,6417
61,9747,9549
62,12542,12267
63,14331,14616
64,15466,16136
65,15623,15773
66,14263,14864
67,12264,12810
68,9803,10167
69,6832,7001
70,4229,4182
71,2222,1740
72,1157,470
73,1021,486
74,2283,1404
75,4321,3340
76,6841,6614
77,9728,9618
78,12558,12288
79,14344,14694
80,15457,15932
81,15475,15985
82,14434,14769
83,12466,12943
84,9741,10241
85,6810,6710
86,4208,3878
87,2129,1813
88,1056,822
89,1249,254
90,2382,1523
91,4141,3876
92,6913,6406
93,9887,9423
94,12346,12409
95,14429,14730
96,15484,15924
97,15490,16062
98,14363,14758
99,12256,12830
100,9709,10054
101,6854,6785
102,4255,3978
103,2207,1923
104,1142,518
105,1152,253
106,2198,1498
107,4306,3438
108,6855,6588
109,9768,9485
110,12432,11963
111,14409,14642
112,15445,16123
113,15522,15833
114,14362,14847
115,12424,12829
116,9633,10109
117,6912,6872
118,4184,3976
119,2285,1868
120,1105,509
121,1178,491
122,2393,1523
123,4250,3521
124,6727,6571
125,9894,9504
126,12457,12168
127,14321,14750
128,15537,15925
129,15547,15869
130,14304,15033
131,12346,12832
132,9597,9907
133,6733,6726
134,4330,3851
135,2222,1994
136,1188,715
137,1217,232
138,2199,1578
139,4277,3609
140,6921,6513
141,9807,9472
142,12350,12223
143,14471,14710
144,15470,15831
145,15375,15885
146,14471,14925
147,12416,12960
148,9626,10231
149,6893,6775
150,4308,4017
151,2102,1986
152,1216,486
153,1229,434
154,2164,1609
155,4334,3673
156,6936,6572
157,9742,9499
158,12480,12314
159,14456,14748
160,15384,15802
161,15496,15910
162,14426,14919
163,12322,12950
164,9736,9950
165,6939,6817
166,4133,4146
167,2232,1919
168,1233,390
169,1180,427
170,2250,1659
171,4375,3677
172,6914,6259
173,9672,9499
174,12588,12474
175,14326,14725
176,15523,16020
