# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T23:30:04
# capture_name=capture_20260729_232447_1_1_max_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8372,6962
1,8419,7611
2,8838,7699
3,9152,8299
4,8898,7446
5,8331,7098
6,7670,6212
7,8025,7237
8,8871,7105
9,8722,7371
10,8796,7883
11,8659,7678
12,8419,6520
13,8574,7138
14,9000,8697
15,8097,6852
16,8167,6939
17,8402,7565
18,8695,7650
19,8541,7477
20,8890,8345
21,8742,7848
22,8496,7054
23,8271,6825
24,8151,7301
25,8625,7543
26,8982,7732
27,9094,8721
28,8270,6903
29,7843,6863
30,8144,6665
31,8483,7561
32,8729,7737
33,9086,8719
34,8924,7988
35,8346,7472
36,8144,6514
37,8262,7493
38,8262,6807
39,8815,7367
40,8981,8158
41,8720,7860
42,8748,7788
43,8818,8090
44,8046,7045
45,7999,7142
46,8007,6967
47,8087,6993
48,9036,8253
49,8769,7469
50,9001,7992
51,8469,7026
52,8373,7221
53,8079,6712
54,8229,6899
55,8359,7109
56,8548,7816
57,8165,6940
58,8516,7094
59,9058,7825
60,8683,7714
61,8280,7311
62,8451,7103
63,8411,7329
64,8625,7690
65,8410,7324
66,8461,7661
67,8470,7236
68,8582,8174
69,8356,6959
70,8640,7577
71,8645,7618
72,8818,8152
73,8420,6924
74,8698,7988
75,8505,7207
76,8515,7174
77,8401,7301
78,8732,7377
79,9087,8347
80,8855,7466
81,8517,7421
82,9063,8170
83,8450,7216
84,8606,7289
85,8379,7548
86,8484,7674
87,8534,7674
88,8590,7668
89,8565,7067
90,8081,6486
91,7982,7042
92,8697,7859
93,8130,6859
94,8900,8284
95,8452,6898
96,8530,7082
97,9111,8530
98,7820,6577
99,8515,7215
100,8352,7210
101,8044,7222
102,7972,6811
103,8636,7487
104,9084,8243
105,8413,7192
106,8426,7715
107,8695,7264
108,8237,7515
109,8124,6598
110,8285,7070
111,8571,7726
112,8954,8372
113,8575,7702
114,8641,7927
115,8116,6843
116,7436,6475
117,7801,6575
118,8777,7657
119,8710,7625
120,8762,8421
121,8790,7405
122,8914,7705
123,7623,6132
124,8230,7270
125,8347,7366
126,8272,6677
127,8280,7174
128,8667,7796
129,9243,8778
130,8836,7451
131,7844,6437
132,8013,6687
133,8080,6955
134,8533,7542
135,9030,7787
136,9128,8395
137,8738,7650
138,8271,6746
139,7801,6453
140,7677,6674
141,8725,7660
142,9315,8414
143,8720,8080
144,8226,6901
145,7943,6478
146,8561,7115
147,8447,7686
148,8719,7876
149,8676,7915
150,8719,7612
151,8371,7588
152,8201,6790
153,8019,6688
154,8788,8126
155,8536,7434
156,8303,7478
157,7977,6496
158,8352,7353
159,8299,6507
160,8396,7661
161,8638,7799
162,9073,8548
163,8970,7901
164,8478,7412
165,7920,6655
166,8189,7129
167,7922,6469
168,8524,7096
169,9005,8586
170,8534,7446
171,8325,7525
172,8680,7663
173,8717,7387
174,8558,8161
175,8465,7686
176,8190,6852
177,8369,7635
178,8651,7374
179,8526,7565
180,8654,7751
181,7918,6702
182,8729,7506
183,8651,7614
184,8773,7623
185,8605,7757
186,8421,7245
187,8381,7253
188,7947,6522
189,8402,7355
190,8789,7610
191,8441,7235
192,8638,7479
193,8652,6943
194,8746,7587
195,8254,6990
196,7970,6710
197,8597,7285
198,9237,8089
199,8919,8038
200,8792,7558
201,7875,6259
202,8191,6911
203,8150,6290
204,8370,7551
205,8843,7876
206,9104,8157
207,9326,8496
208,8768,7066
209,8428,6756
210,7939,6804
211,8521,7881
212,8423,7298
213,8894,7700
214,8566,7565
215,8667,7252
216,8673,7465
217,8125,6681
218,8295,6725
219,8392,6867
220,8654,7262
221,9067,8095
222,9463,8497
223,8740,7301
224,8621,7343
225,7851,6531
226,7895,6219
227,8177,6921
228,8689,6809
229,9346,8469
230,8982,8274
231,9072,7517
232,8201,5740
233,7936,6396
234,8584,7159
235,9147,8145
236,8788,7397
237,8389,7227
238,8787,7826
239,8492,7077
240,8206,6936
241,7825,6178
242,8492,6667
243,9244,8074
244,9177,8019
245,9363,8403
246,8741,7517
247,7903,6094
248,8316,6844
249,7714,6177
250,8004,6875
251,9166,7565
252,9441,8511
253,8608,7374
254,8405,6973
255,8568,7827
256,8400,7153
257,8064,6746
258,8039,6724
259,8578,7441
260,7941,6569
261,8689,7466
262,8671,7566
263,9201,8103
264,8992,7410
265,8445,6926
266,7464,6288
267,7782,6125
268,8545,7317
269,9038,8348
270,9471,8235
271,8105,6886
272,8763,7726
273,8291,6994
274,7502,6189
275,8034,6501
276,8229,6992
277,9289,8691
278,8670,7449
279,8873,8178
280,8842,7323
281,8420,7112
282,8002,6925
283,8011,6631
284,8241,6901
285,9081,8297
286,8739,7327
287,8588,7354
288,8694,7065
289,8069,6997
290,8065,6392
291,8315,6728
292,9045,8456
293,8829,7408
294,7969,6719
295,8487,8001
296,8698,7091
297,8152,6515
298,8459,7249
299,8736,7593
300,9292,7981
301,8836,8037
302,8197,6542
303,7953,6793
304,8819,7687
305,8500,7689
306,8364,7078
307,8573,7399
308,8360,7083
309,8330,6649
310,8671,7169
311,8950,7773
312,9278,8564
313,8318,6859
314,8605,7562
315,8127,6899
316,7801,6164
317,8452,7290
318,8739,7740
319,8690,7740
320,8736,7966
321,8926,7347
322,8296,6675
323,8194,7337
324,8005,6914
325,7964,6383
326,8501,7773
327,8585,6902
328,8999,7965
329,8773,7822
330,8486,7472
331,8259,6627
332,7820,6546
333,8441,7548
334,8607,7628
335,8356,7174
336,8683,7078
337,8249,6930
338,8717,7507
339,8061,6410
340,8473,7345
341,8860,7673
342,8252,7153
343,8298,6699
344,8525,7155
345,8301,6725
346,8347,7138
347,8237,7528
348,8604,7527
349,8842,7863
350,8573,7518
351,8430,6742
352,8396,6858
353,8578,7417
354,8259,6769
355,8755,7935
356,8597,7102
357,8814,7484
358,8454,7578
359,8591,7269
360,8323,6746
361,7741,6637
362,8442,7220
363,8984,7757
364,8966,8067
365,8634,7424
366,8563,7304
367,8278,6605
368,8311,6686
369,8510,7277
370,9270,8866
371,8901,7466
372,8264,7005
373,8419,7234
374,8378,7313
375,8551,7270
376,8570,7486
377,8509,7681
378,8426,7340
379,8261,7060
380,8153,7019
381,8344,7381
382,8421,7277
383,8539,7490
384,9102,8051
385,8545,7330
386,8185,6553
387,8617,7314
388,8373,7350
389,8084,6984
390,8931,7949
391,8604,7476
392,8378,6636
393,8921,7601
394,8390,6786
395,8438,7207
396,8828,7739
397,8481,6950
398,8235,7360
399,8360,7182
400,8872,7437
401,8216,6461
402,8642,7310
403,9026,8238
404,8675,7248
405,8479,6793
406,8422,7199
407,8270,6488
408,8696,7750
409,9134,7917
410,8921,7612
411,8836,7212
412,8696,7516
413,8440,7327
414,7917,6500
415,8804,7917
416,8219,6785
417,8925,7256
418,8497,7055
419,8533,7178
420,8767,8008
421,8817,7792
422,7866,6747
423,8254,6644
424,8569,7603
425,8558,7372
426,8829,8016
427,8649,7415
428,8897,7555
429,8660,7586
430,8295,7142
431,8788,7636
432,7987,6679
433,8396,7316
434,8738,7605
435,8452,7018
436,8610,7910
437,8485,7143
438,8898,7794
439,9206,8358
440,8429,7497
441,8327,7036
442,8333,7133
443,8087,6791
444,8450,6823
445,8516,7138
446,9040,8275
447,9050,8024
448,8413,7473
449,8302,6825
450,8514,7323
451,8170,6931
452,8058,6326
453,8702,7607
454,8810,7923
455,9305,8281
456,8874,7642
457,8391,7210
458,8128,6390
459,7976,6575
460,8644,7900
461,8514,7064
462,9147,8663
463,8566,7481
464,8369,7277
465,8443,7263
466,8186,6948
467,8065,7019
468,8384,6995
469,8845,7619
470,8492,7810
471,8924,7898
472,9018,7932
473,8614,8082
474,8376,7101
475,7901,6907
476,8380,6933
477,7954,6485
478,8498,7464
479,9360,8606
480,8822,7414
481,8660,7232
482,8789,7664
483,8437,7100
484,8439,7361
485,8591,7517
486,8648,7430
487,8660,7446
488,8478,7565
489,8761,7608
490,8757,7150
491,9036,8108
492,8642,7142
493,7699,6089
494,8297,7118
495,8643,7578
496,8739,7557
497,9259,8259
498,8909,7613
499,8003,6693
500,8144,6916
501,8493,7188
502,8562,7332
503,8656,7107
504,8788,7399
505,8849,7430
506,8574,7281
507,8751,7885
508,8631,7218
509,8202,7009
510,8513,6827
511,8543,7667
512,8847,7427
513,9076,8282
514,8487,6857
515,8545,7599
516,7780,6946
517,8306,6611
518,8970,8266
519,8689,7326
520,9125,8301
521,8682,7781
522,8569,6934
523,7794,6331
524,8426,7619
525,8216,6922
526,8825,7761
527,8822,8060
528,7875,6737
529,8633,7286
530,8600,8005
531,8096,6981
532,8065,7010
533,8773,7785
534,9085,8436
535,8579,7262
536,8512,7505
537,8508,8301
538,8475,7423
539,8128,6865
540,8176,6794
541,8759,8064
542,8607,7710
543,8304,7133
544,8292,7429
545,8818,8080
546,8477,7171
547,8649,7866
548,8564,7466
549,8688,7849
550,8730,8076
551,8246,7139
552,8345,7039
553,8888,8015
554,8290,6882
555,8429,7522
556,8834,7918
557,8437,7637
558,8286,7198
559,8337,7367
560,8362,7736
561,8474,7607
562,8549,7492
563,7758,6606
564,8530,6935
565,8329,7521
566,8813,8239
567,8296,7257
568,8231,7747
569,8365,7211
570,7738,6444
571,8429,7974
572,8808,7402
573,8735,7845
574,8385,7458
575,8308,7242
576,8230,7158
577,8230,7540
578,8349,7241
579,8201,7290
580,8746,7842
581,8590,7049
582,8564,8285
583,8645,7642
584,7974,6439
585,8474,7520
586,8772,7847
587,8745,7732
588,8172,6471
589,8526,7968
590,8703,7436
591,8356,7397
592,8425,7765
593,8560,7680
594,8492,7107
595,8218,7465
596,7783,6658
597,8837,7887
598,8495,7538
599,8220,7123
600,8638,8341
601,8233,6992
602,8725,7684
603,8910,7983
604,8616,7303
605,8159,6957
606,8405,7298
607,8774,8271
608,8514,7057
609,8917,8125
610,8685,7854
611,8190,6552
612,7947,7131
613,8792,7808
614,8456,8043
615,8213,7117
616,8755,7765
617,8757,7103
618,8498,7905
619,8273,7133
620,8611,8018
621,8385,7130
622,8477,7167
623,8395,7796
624,9098,7752
625,8421,7461
626,8908,7996
627,8457,7415
628,8052,6452
629,8616,7601
630,8749,7887
631,8402,7245
632,8693,7663
633,8554,7594
634,8583,7110
635,8956,8452
636,8560,7725
637,8277,6797
638,8218,7032
639,8966,7963
640,8735,8231
641,8374,6783
642,8046,7042
643,8339,7438
644,8900,8047
645,9199,8655
646,8162,6870
647,8266,7346
648,8602,8083
649,8006,7002
650,8382,7415
651,8564,7988
652,8829,7719
653,8115,7137
654,7748,6832
655,8587,7349
656,8443,7203
657,8393,7286
658,8479,7625
659,9095,8547
660,9155,7909
661,8260,7491
662,7631,6013
663,8263,7367
664,8401,7423
665,8638,8399
666,8771,7893
667,8547,7260
668,8273,7350
669,8141,6990
670,7567,6315
671,8381,7454
672,8758,8106
673,8520,7397
674,8402,7091
675,8757,8029
676,8732,7839
677,7932,6724
678,8307,7541
679,8539,8273
680,8434,7305
681,8520,7664
682,8586,7731
683,8694,7913
