# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T23:25:16
# capture_name=capture_20260729_232447_1_1_mid_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8382,7633
1,8360,8016
2,8246,7995
3,8512,7794
4,8582,8055
5,8378,8124
6,8355,8093
7,8530,7813
8,8364,7542
9,8384,8276
10,8417,7982
11,8388,7780
12,8422,8037
13,8402,7980
14,8538,8018
15,8467,7735
16,8328,8060
17,8333,7976
18,8405,8022
19,8336,7858
20,8383,7909
21,8521,7842
22,8562,8142
23,8425,8089
24,8232,8011
25,8321,7985
26,8250,8088
27,8518,8075
28,8565,7966
29,8478,8188
30,8461,7740
31,8329,7714
32,8220,8007
33,8309,8274
34,8305,7909
35,8428,7885
36,8604,7995
37,8523,8056
38,8405,7817
39,8246,8137
40,8407,7999
41,8467,7859
42,8460,7833
43,8472,8016
44,8342,8093
45,8516,8269
46,8346,7848
47,8445,8006
48,8488,8366
49,8422,8033
50,8385,7885
51,8447,7829
52,8345,8270
53,8237,8025
54,8481,7952
55,8468,8007
56,8315,7874
57,8270,7943
58,8402,7746
59,8525,7944
60,8438,8319
61,8373,7808
62,8337,7868
63,8456,8008
64,8404,7983
65,8417,8107
66,8383,7342
67,8436,7861
68,8447,7932
69,8525,8066
70,8306,7971
71,8402,7975
72,8358,7824
73,8459,8053
74,8470,7952
75,8550,8389
76,8478,7887
77,8392,7773
78,8477,8299
79,8453,7853
80,8203,7921
81,8348,8150
82,8455,7763
83,8447,7835
84,8436,7941
85,8550,8239
86,8524,7847
87,8254,8173
88,8437,8445
89,8337,7890
90,8425,7829
91,8597,7911
92,8527,8167
93,8403,7970
94,8416,7907
95,8413,8121
96,8357,8211
97,8413,7927
98,8534,7962
99,8416,8071
100,8576,7928
101,8389,7747
102,8422,7805
103,8375,7962
104,8315,8050
105,8440,8193
106,8495,7893
107,8409,7975
108,8429,7996
109,8224,7781
110,8361,7673
111,8441,7763
112,8609,8266
113,8524,7776
114,8519,8038
115,8441,7842
116,8331,7864
117,8187,7833
118,8455,8089
119,8455,8313
120,8333,8019
121,8334,8095
122,8612,7847
123,8362,8081
124,8381,8393
125,8374,7681
126,8398,7881
127,8406,8092
128,8373,8213
129,8466,8161
130,8346,7687
131,8431,7936
132,8506,8110
133,8499,7908
134,8452,7927
135,8481,8537
136,8340,8052
137,8360,8310
138,8425,7950
139,8446,8003
140,8569,7843
141,8450,7798
142,8366,8059
143,8503,8062
144,8354,8141
145,8399,7938
146,8375,7899
147,8567,7856
148,8552,8146
149,8354,7875
150,8376,8278
151,8345,8253
152,8320,7651
153,8334,7821
154,8558,8292
155,8570,7999
156,8380,7638
157,8403,7691
158,8381,8337
159,8401,8160
160,8296,8053
161,8249,7547
162,8381,7911
163,8458,8230
164,8549,8046
165,8532,7819
166,8452,7591
167,8283,8101
168,8301,8072
169,8413,7864
170,8421,7754
171,8317,7959
172,8504,8169
173,8436,7996
174,8543,8210
175,8377,7910
176,8469,7816
177,8435,7809
178,8529,8207
179,8474,8083
180,8370,7821
181,8553,7950
182,8528,8172
183,8352,8292
184,8472,7510
185,8473,8075
186,8388,8285
187,8452,8339
188,8371,8063
189,8482,7827
190,8372,7861
191,8319,8092
192,8483,7772
193,8540,8013
194,8341,7738
195,8368,8125
196,8341,8128
197,8354,8144
198,8566,7855
199,8373,8002
200,8369,7866
201,8517,8059
202,8343,8315
203,8451,8295
204,8245,7531
205,8396,7917
206,8539,7951
207,8558,7806
208,8373,7894
209,8536,7842
210,8397,7789
211,8328,8274
212,8290,8123
213,8460,7888
214,8348,7716
215,8360,8208
216,8466,8157
217,8365,7821
218,8291,8138
219,8335,8121
220,8277,7698
221,8513,7846
222,8425,8090
223,8519,8230
224,8604,8106
225,8515,7788
226,8325,8030
227,8435,8175
228,8513,8013
229,8430,7687
230,8353,8288
231,8505,8042
232,8584,7863
233,8373,8013
234,8381,8139
235,8376,8075
236,8440,7858
237,8379,7820
238,8537,7954
239,8405,8145
240,8428,8001
241,8505,8030
242,8475,8257
243,8401,8016
244,8364,7739
245,8444,8095
246,8453,8248
247,8400,7961
248,8357,7533
249,8356,8012
250,8457,7780
251,8292,8064
252,8362,8031
253,8401,8066
254,8405,8222
255,8417,8474
256,8394,8087
257,8336,8365
258,8400,7972
259,8232,7958
260,8432,7350
261,8657,8028
262,8561,8400
263,8411,7894
264,8345,7822
265,8454,8052
266,8327,8172
267,8351,7905
268,8464,7765
269,8484,7960
270,8481,7996
271,8482,8109
272,8402,7983
273,8191,7896
274,8301,7821
275,8440,8127
276,8527,8055
277,8549,7991
278,8400,7943
279,8410,8185
280,8498,7895
281,8362,7580
282,8370,8307
283,8365,7962
284,8310,7778
285,8368,8140
286,8376,8084
287,8482,8212
288,8443,7442
289,8412,7953
290,8262,7973
291,8346,7836
292,8419,7944
293,8511,8009
294,8255,8017
295,8430,7945
296,8479,8023
297,8404,8239
298,8413,8179
299,8371,7688
300,8420,7736
301,8378,8212
302,8290,7912
303,8381,7712
304,8439,7942
305,8345,8183
306,8487,8219
307,8294,7775
308,8342,8040
309,8227,8190
310,8296,8085
311,8529,7619
312,8488,7792
313,8470,8164
314,8334,7816
315,8385,8063
316,8298,8159
317,8214,8161
318,8437,7909
319,8365,7951
320,8448,8278
321,8371,7893
322,8352,7903
323,8232,8125
324,8323,7935
325,8488,8015
326,8465,7962
327,8298,7697
328,8523,7713
329,8346,8166
330,8218,8162
331,8234,7995
332,8289,7921
333,8463,8036
334,8524,8174
335,8484,8117
336,8519,7936
337,8470,8054
338,8345,7860
339,8321,7838
340,8431,8133
341,8419,8278
342,8442,8281
343,8446,7461
344,8449,7853
345,8476,8253
346,8375,8290
347,8396,7602
348,8337,7757
349,8303,7962
350,8505,7905
351,8459,7544
352,8434,8281
353,8543,8422
354,8292,7879
355,8357,8389
356,8332,8128
357,8564,7690
358,8347,7763
359,8357,7927
360,8553,8347
361,8458,8222
362,8348,8397
363,8194,7811
364,8296,7890
365,8533,8148
366,8449,8088
367,8587,7920
368,8412,7688
369,8348,8267
370,8347,8182
371,8226,7868
372,8382,8163
373,8463,8197
374,8401,7880
375,8530,7602
376,8436,7965
377,8514,8178
378,8406,8125
379,8455,8026
380,8290,8111
381,8396,7904
382,8382,8129
383,8603,8162
384,8447,8122
385,8532,8204
386,8419,7895
387,8328,7934
388,8250,8103
389,8323,7939
390,8467,7891
391,8554,7760
392,8598,7885
393,8434,8019
394,8328,8127
395,8416,8263
396,8252,7782
397,8398,7990
398,8406,7887
399,8376,7824
400,8587,8160
401,8534,7901
402,8430,7935
403,8513,7984
404,8308,7986
405,8358,8289
406,8544,8001
407,8375,7243
408,8458,8142
409,8516,8286
410,8521,7779
411,8592,7802
412,8370,8238
413,8268,7841
414,8410,8373
415,8410,8061
416,8393,7952
417,8352,7787
418,8494,7716
419,8580,8385
420,8393,7892
421,8302,7800
422,8427,8054
423,8458,7729
424,8365,8181
425,8424,7977
426,8375,7694
427,8512,7725
428,8341,8090
429,8345,8015
430,8367,7841
431,8345,7921
432,8300,8271
433,8477,8037
434,8430,7910
435,8352,7909
436,8540,8329
437,8398,7594
438,8342,7352
439,8289,7984
440,8444,8267
441,8538,7879
442,8376,7836
443,8539,8209
444,8347,7767
445,8388,8087
446,8337,7567
447,8522,7938
448,8503,8186
449,8430,7899
450,8439,7720
451,8530,8167
452,8285,8126
453,8230,8310
454,8293,7842
455,8471,7647
456,8366,8195
457,8525,8037
458,8527,7779
459,8468,7949
460,8345,8027
461,8234,7323
462,8308,7910
463,8363,8114
464,8438,7748
465,8476,7962
466,8532,7965
467,8642,8016
468,8362,8261
469,8348,8078
470,8331,7682
471,8380,7940
472,8394,8030
473,8487,8394
474,8572,7843
475,8420,7835
476,8324,8143
477,8304,8097
478,8369,7818
479,8361,8230
480,8320,8170
481,8504,7718
482,8646,7909
483,8338,8400
484,8413,8076
485,8513,7550
486,8412,8015
487,8198,8017
488,8376,8263
489,8376,7813
490,8414,8120
491,8549,7761
492,8381,7846
493,8467,8213
494,8321,7843
495,8335,8153
496,8348,8142
497,8537,8041
498,8462,7904
499,8481,7784
500,8552,8158
501,8434,7850
502,8228,7902
503,8292,8130
504,8462,8243
505,8460,7909
506,8545,7933
507,8299,8056
508,8456,7858
509,8352,8011
510,8435,7599
511,8439,7844
512,8324,7831
513,8351,8147
514,8525,8215
515,8427,7960
516,8230,7791
517,8349,8154
518,8603,7904
519,8382,7940
520,8431,7865
521,8435,8130
522,8411,7421
523,8257,7915
524,8299,8115
525,8461,7889
526,8558,8129
527,8522,8282
528,8443,7530
529,8449,7684
530,8411,8283
531,8396,8177
532,8306,8149
533,8444,7664
534,8289,7861
