# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T23:26:02
# capture_name=capture_20260729_232447_1_1_min_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8309,7841
1,8292,8238
2,8300,8323
3,8299,8305
4,8249,8298
5,8292,8091
6,8287,8226
7,8322,7917
8,8306,8189
9,8290,8104
10,8254,8132
11,8313,8578
12,8241,8284
13,8324,8408
14,8252,8247
15,8240,8302
16,8297,8115
17,8304,8179
18,8298,7777
19,8344,8331
20,8240,8133
21,8304,8135
22,8236,8459
23,8290,8240
24,8304,8148
25,8315,8063
26,8297,8292
27,8298,8287
28,8316,7854
29,8324,8074
30,8242,8296
31,8290,8155
32,8308,8007
33,8387,8036
34,8304,8261
35,8290,8312
36,8241,7783
37,8292,8320
38,8247,8171
39,8254,8278
40,8252,7789
41,8320,8093
42,8249,8149
43,8331,8327
44,8280,8278
45,8240,7690
46,8291,8094
47,8294,8376
48,8226,8339
49,8334,7957
50,8241,8004
51,8246,8050
52,8293,8451
53,8314,7858
54,8316,7986
55,8246,8259
56,8236,8237
57,8298,8094
58,8295,8219
59,8238,8285
60,8292,8102
61,8336,7862
62,8314,8086
63,8226,8461
64,8298,8054
65,8227,8094
66,8290,8314
67,8294,8214
68,8254,8330
69,8385,7947
70,8328,8260
71,8304,8254
72,8244,7693
73,8292,8055
74,8276,8229
75,8294,8216
76,8323,7912
77,8326,8164
78,8286,8122
79,8318,8384
80,8304,7965
81,8250,8119
82,8288,8265
83,8293,8311
84,8234,8219
85,8290,8015
86,8298,8077
87,8321,8280
88,8394,8023
89,8301,8056
90,8235,8178
91,8225,8285
92,8276,8392
93,8298,8070
94,8321,8331
95,8299,8296
96,8329,8233
97,8296,7891
98,8233,8402
99,8270,8372
100,8321,8161
101,8295,8007
102,8290,8059
103,8289,8438
104,8302,8239
105,8242,8163
106,8240,8150
107,8314,7969
108,8307,8170
109,8308,8100
110,8327,8016
111,8306,8122
112,8301,8185
113,8235,8151
114,8236,8208
115,8309,8084
116,8308,8302
117,8297,8287
118,8251,8226
119,8293,8092
120,8306,7780
121,8275,8157
122,8310,7706
123,8328,8058
124,8250,8103
125,8302,8509
126,8240,7963
127,8261,8182
128,8229,7876
129,8328,8179
130,8304,8279
131,8308,8066
132,8283,8081
133,8246,8342
134,8231,8100
135,8322,8213
136,8299,7964
137,8226,8319
138,8224,8230
139,8314,7738
140,8304,8181
141,8306,7770
142,8264,8203
143,8243,7881
144,8288,7998
145,8270,8398
146,8255,8395
147,8321,7954
148,8395,7974
149,8290,8246
150,8308,8183
151,8228,8169
152,8269,8113
153,8237,8223
154,8295,8180
155,8345,7866
156,8304,8133
157,8296,8281
158,8250,8310
159,8302,7695
160,8240,8351
161,8232,8196
162,8254,8228
163,8302,8139
164,8319,7985
165,8313,8284
166,8325,8170
167,8296,8085
168,8232,8188
169,8280,8349
170,8238,8179
171,8310,7883
172,8314,8325
173,8324,8212
174,8290,8269
175,8253,7839
176,8244,8335
177,8251,8176
178,8234,8024
179,8389,7995
180,8321,8100
181,8240,8236
182,8244,8040
183,8225,8333
184,8254,8028
185,8237,8255
186,8240,8257
187,8296,7661
188,8306,8120
189,8290,8200
190,8282,8294
191,8239,8114
192,8272,8216
193,8244,8300
194,8277,8313
195,8308,7933
196,8330,7985
197,8252,8310
198,8271,7895
199,8252,8063
200,8246,8110
201,8276,8471
202,8245,8239
203,8297,8003
204,8285,8176
205,8280,8174
206,8247,8301
207,8244,7919
208,8292,7995
209,8303,8358
210,8291,8389
211,8298,8108
212,8253,8154
213,8241,8336
214,8254,8275
215,8250,8273
216,8314,8084
217,8243,8328
218,8232,8306
219,8288,7865
220,8346,7847
221,8315,8149
222,8234,8440
223,8231,8130
224,8317,8003
