# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-31T15:56:20+00:00
# capture_name=compare_ch1_bypassed_vga_ch2_normal_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4937
# firmware_status_timestamp=2026-08-31T15:56:20+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=0.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=2.49885936897e-05
# calibrated_volts_per_div_ch2=0.0511766398765
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=compare_ch1_bypassed_vga_ch2_normal
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.54
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,1999,9576
1,4349,12234
2,7009,13922
3,9814,15225
4,12307,15615
5,14006,14376
6,14807,12696
7,14652,10064
8,13546,6860
9,10824,4383
10,7994,2496
11,5316,918
12,2821,1083
13,1052,1759
14,314,3664
15,404,6285
16,1804,9408
17,4396,12107
18,7030,14007
19,9753,15431
20,12306,15634
21,14023,14585
22,14806,12511
23,14693,9705
24,13518,7041
25,10775,4518
26,8168,2456
27,5160,1209
28,2812,806
29,1034,1897
30,335,3620
31,412,6459
32,1754,9102
33,4314,11814
34,7024,14053
35,9837,15358
36,12302,15805
37,13981,14516
38,14796,12581
39,14702,9931
40,13526,7249
41,10774,4401
42,8178,2139
43,5203,1208
44,2917,841
45,1033,1757
46,292,3489
47,424,6470
48,1910,9358
49,4399,12029
50,7029,14077
51,9772,15335
52,12243,15568
53,14021,14503
54,14780,12525
55,14679,9907
56,13478,6991
57,10841,4549
58,8044,2425
59,5288,1044
60,2836,738
61,985,1746
62,326,3652
63,424,6675
64,1780,9196
65,4343,11814
66,6998,13945
67,9856,15403
68,12289,15477
69,13995,14601
70,14765,12562
71,14672,9814
72,13594,7181
73,10839,4599
74,8048,2187
75,5199,1077
76,2822,996
77,1080,1749
78,311,3616
79,395,6595
80,1764,9119
81,4443,12007
82,6955,14276
83,9757,15250
84,12327,15451
85,14037,14772
86,14781,12717
87,14702,9830
88,13513,7256
89,10794,4435
90,8109,2065
91,5186,1062
92,2849,960
93,1130,1608
94,290,3852
95,365,6410
96,1942,9306
97,4328,12123
98,7053,14145
99,9789,14822
100,12245,15564
101,14046,14484
102,14805,12356
103,14693,9992
104,13466,7177
105,10794,4321
106,8062,2374
107,5324,992
108,2717,791
109,1058,1929
110,327,3561
111,406,6278
112,1821,9244
113,4385,12228
114,7031,13977
115,9793,15304
116,12347,15728
117,14004,14349
118,14806,12508
119,14681,10014
120,13520,6865
121,10838,4526
122,8068,2319
123,5325,902
124,2862,810
125,1003,1958
126,304,3770
127,392,6386
128,1869,9228
129,4406,12067
130,6960,13799
131,9884,15283
132,12237,15374
133,14029,14709
134,14787,12567
135,14710,10009
136,13516,7080
137,10814,4513
138,8075,2449
139,5236,1058
140,2804,769
141,1052,1661
142,331,3829
143,408,6422
144,2025,9497
145,4310,11811
146,7006,14071
147,9748,15233
148,12336,15654
149,14007,14494
150,14803,12709
151,14689,9789
152,13548,7126
153,10812,4418
154,8074,2453
155,5169,1133
156,2857,821
157,1083,1752
158,309,3876
159,409,6334
160,1910,9271
161,4356,11920
162,7047,14184
163,9829,15328
164,12343,15650
165,14039,14416
166,14805,12495
167,14699,10118
168,13471,7093
169,10766,4279
170,8024,2150
171,5266,946
172,2834,949
173,1065,2069
174,314,3709
175,429,6294
176,1853,9291
177,4380,12057
178,6952,13986
179,9901,15341
180,12288,15584
181,14060,14585
182,14770,12487
183,14730,10152
184,13577,7202
185,10710,4487
186,8128,2161
187,5279,1157
188,2831,810
189,1077,1867
190,303,3690
191,403,6518
192,1924,9200
193,4383,11970
194,6993,14241
195,9836,15357
196,12374,15386
197,14024,14572
198,14805,12936
199,14691,9874
200,13500,7071
201,10819,4360
202,8074,2238
203,5252,1290
204,2776,925
205,1105,1701
206,298,3680
207,438,6691
208,1836,9188
209,4314,11883
210,6956,14146
211,9917,15350
212,12337,15453
213,14012,14516
214,14786,12544
215,14680,9931
216,13580,7375
217,10730,4295
218,7998,2151
219,5293,1188
220,2914,861
221,1064,1762
222,322,3731
223,410,6422
224,1851,9169
225,4422,12204
226,6957,14056
227,9770,15300
228,12321,15630
229,14028,14483
230,14778,12724
231,14735,9986
232,13514,6957
233,10804,4321
234,7973,2478
235,5321,1000
236,2874,881
237,1033,2030
238,310,3745
239,398,6287
240,2035,9347
241,4442,12091
242,6906,14013
243,9903,15503
244,12308,15276
245,14054,14545
246,14790,12558
247,14737,10001
248,13526,7194
249,10766,4297
250,8097,2344
251,5294,1234
252,2864,815
253,1008,1746
254,304,3538
255,419,6559
256,2049,9367
257,4360,11868
258,6970,14086
259,9868,15430
260,12320,15635
261,14036,14604
262,14778,12367
263,14716,10059
264,13571,7174
265,10841,4363
266,7972,2279
267,5197,1012
268,2897,742
269,1063,1919
270,318,3943
271,429,6453
272,1738,9054
273,4347,12161
274,7039,14133
275,9866,15322
276,12271,15478
277,14059,14581
278,14798,12587
279,14677,9974
280,13522,6878
281,10879,4403
282,7991,2416
283,5240,1127
284,2924,828
285,984,1864
286,306,3724
287,405,6391
288,1956,9414
289,4367,11866
290,7000,13970
291,9829,15434
292,12290,15671
293,14042,14390
294,14804,12533
295,14694,10017
296,13561,7117
297,10739,4357
298,8099,2382
299,5257,949
300,2852,1090
301,1087,1954
302,274,3690
303,407,6200
304,1901,9303
305,4346,12118
306,6896,13853
307,9888,15222
308,12295,15304
309,14024,14600
310,14806,12686
311,14692,9913
312,13521,7144
313,10820,4684
314,8038,2450
315,5284,931
316,2842,829
317,1038,1723
318,286,3747
319,433,6303
320,1845,9234
321,4331,11964
322,6975,14008
323,9873,15406
324,12303,15546
325,14046,14513
326,14803,12294
327,14706,10086
328,13507,7079
329,10769,4274
330,8092,2355
331,5260,1062
332,2773,972
333,1050,1992
334,271,3849
335,413,6248
336,1793,9178
337,4350,12017
338,7075,14005
339,9838,15200
340,12354,15761
341,14022,14468
342,14806,12723
343,14708,9849
344,13469,7127
345,10769,4343
346,8051,2372
347,5242,841
348,2819,819
349,1024,1873
350,298,3881
351,431,6289
352,1899,9306
353,4321,11966
354,7078,14128
355,9815,15229
356,12265,15598
357,14033,14598
358,14804,12456
359,14680,9886
360,13604,6990
361,10734,4439
362,8087,2222
363,5270,946
364,2912,1028
365,1021,1729
366,325,3589
367,412,6469
368,2057,9375
369,4362,12177
370,7053,14080
371,9908,15191
372,12293,15406
373,13969,14658
374,14802,12544
375,14713,10006
376,13489,7358
377,10744,4409
378,7993,2144
379,5194,937
380,2904,761
381,1003,1941
382,307,3834
383,427,6270
384,1987,9438
385,4325,12402
386,7037,14038
387,9940,15186
388,12273,15450
389,14031,14615
390,14809,12531
391,14701,9843
392,13505,7091
393,10833,4394
394,8008,2415
395,5298,1108
396,2775,853
397,1059,1872
398,308,3982
399,426,6247
400,1793,9173
401,4316,11908
402,7098,14118
403,9848,15433
404,12224,15598
405,14007,14387
406,14803,12661
407,14700,9988
408,13557,7062
409,10781,4233
410,8036,2419
411,5208,834
412,2813,1065
413,1081,2032
414,274,3769
415,417,6110
416,1757,9285
417,4332,12035
418,7111,14125
419,9846,15448
420,12241,15434
421,14006,14776
422,14801,12466
423,14766,10019
424,13482,7034
425,10705,4282
426,8016,2246
427,5283,1144
428,2753,1054
429,1083,1869
430,306,3785
431,420,6567
432,1758,9195
433,4404,12101
434,7065,14024
435,9820,15309
436,12242,15559
437,14015,14735
438,14780,12520
439,14698,10060
440,13457,7178
441,10804,4334
442,8036,2270
443,5189,1107
444,2882,792
445,1073,1955
446,286,3779
447,380,6425
448,1864,9341
449,4448,12074
450,7009,14141
451,9824,15378
452,12270,15379
453,14023,14559
454,14810,12657
455,14705,9918
456,13469,7033
457,10794,4302
458,8121,2340
459,5163,980
460,2802,689
461,997,2034
462,324,3928
463,426,6283
464,1971,9313
465,4384,12042
466,6960,13894
467,9940,15486
468,12297,15412
469,14029,14577
470,14786,12473
471,14754,10211
472,13562,7075
473,10798,4353
474,8011,2314
475,5180,1241
476,2857,831
477,1073,1755
478,310,3642
479,417,6516
480,2062,9324
481,4330,11849
482,7027,14294
483,9850,15403
484,12297,15483
485,14060,14720
486,14822,12454
487,14698,9771
488,13440,7149
489,10817,4238
490,8000,2261
491,5232,1207
492,2899,827
493,1079,1733
494,310,3970
495,415,6501
496,1785,9029
497,4310,11929
498,7090,14152
499,9872,15242
500,12250,15652
501,14050,14457
502,14802,12465
503,14721,10038
504,13553,7287
