# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-31T16:31:09+00:00
# capture_name=compare_ch1_bypassed_vga_ch2_normal_second_try_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5295
# firmware_status_timestamp=2026-08-31T16:31:09+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=0.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=2.49885936897e-05
# calibrated_volts_per_div_ch2=0.0511766398765
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=compare_ch1_bypassed_vga_ch2_normal_second_try
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.54
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,15048,10440
1,14055,7369
2,11205,4212
3,8690,2132
4,5711,635
5,3371,519
6,1448,1535
7,620,3409
8,633,5804
9,1712,8821
10,4491,11925
11,7119,13999
12,9818,15730
13,12303,15802
14,14217,14939
15,15058,12651
16,15033,10188
17,14008,7307
18,11265,4370
19,8572,2130
20,5708,748
21,3333,521
22,1414,1450
23,636,2918
24,635,6070
25,1726,8582
26,4424,11990
27,7127,14114
28,9848,15586
29,12273,15682
30,14216,14817
31,15070,12689
32,15056,10470
33,13977,7209
34,11270,4204
35,8499,2062
36,5826,890
37,3352,434
38,1429,1405
39,608,3306
40,630,5934
41,1820,8870
42,4405,12000
43,6993,13964
44,9886,15550
45,12346,15810
46,14180,14953
47,15046,12789
48,15007,10221
49,14019,7197
50,11290,4284
51,8618,2188
52,5811,855
53,3367,620
54,1374,1492
55,651,3018
56,598,5728
57,1757,8974
58,4471,11840
59,7090,13911
60,9805,15605
61,12436,15918
62,14185,14457
63,15037,12995
64,15018,10082
65,14093,7241
66,11164,4444
67,8660,2219
68,5757,862
69,3307,637
70,1517,1334
71,599,3217
72,580,6040
73,1772,8875
74,4469,11870
75,7059,14251
76,9889,15521
77,12387,15532
78,14181,15109
79,15033,12870
80,15008,10029
81,14030,7571
82,11282,4452
83,8641,2027
84,5760,710
85,3337,427
86,1530,1512
87,625,3416
88,616,5945
89,1861,9241
90,4397,11625
91,7096,14201
92,9819,15310
93,12445,15729
94,14229,14958
95,15075,12905
96,15040,10354
97,14063,7373
98,11204,4335
99,8567,2100
100,5760,823
101,3403,491
102,1489,1237
103,574,3352
104,610,5883
105,1846,8884
106,4390,12032
107,7010,14294
108,9920,15392
109,12371,15591
110,14203,14886
111,15020,12691
112,15062,10465
113,14038,7391
114,11242,4086
115,8506,2120
116,5774,743
117,3487,526
118,1426,1474
119,605,3349
120,636,6081
121,1773,8683
122,4432,12012
123,7100,13995
124,9892,15582
125,12422,15793
126,14185,14955
127,15053,13098
128,15058,10282
129,14078,7458
130,11245,4439
131,8626,2123
132,5735,821
133,3344,626
134,1497,1127
135,614,3261
136,660,6076
137,1745,8735
138,4434,12178
139,6928,14229
140,9922,15497
141,12349,15650
142,14191,14978
143,15029,12838
144,15072,10389
145,14062,7307
146,11306,4178
147,8497,2161
148,5818,892
149,3349,273
150,1523,1411
151,601,3525
152,635,5881
153,1890,8933
154,4389,11993
155,7121,14164
156,9918,15624
157,12376,15772
158,14195,14797
159,15044,12882
160,15035,10410
161,14000,7149
162,11261,4200
163,8574,2220
164,5757,764
165,3442,414
166,1405,1560
167,621,3399
168,645,6027
169,1762,8908
170,4427,11931
171,7014,14058
172,9961,15638
173,12449,15828
174,14202,14903
175,15031,12876
176,15031,10299
177,14085,7170
178,11162,4320
179,8581,2382
