# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:21:30+00:00
# capture_name=debug_3db_05.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5845
# firmware_status_timestamp=2026-08-24T00:21:30+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=debug_3db
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=14501953.125
# generator_amplitude_vpk=2.791
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5870,5375
1,6297,5889
2,6449,6473
3,7404,6772
4,7727,7479
5,8184,7917
6,8968,8423
7,9655,9061
8,10150,9530
9,10302,9788
10,11058,10390
11,11704,10794
12,11744,11179
13,12614,11780
14,12561,12080
15,13399,12318
16,13358,12671
17,13733,13022
18,14009,13346
19,13946,13237
20,14611,13693
21,14571,13653
22,14572,13860
23,14666,13809
24,14568,13582
25,14723,13849
26,14336,13573
27,13971,13405
28,13797,13240
29,13734,13038
30,13310,12557
31,13113,12413
32,12728,12049
33,12545,11806
34,11880,11367
35,11342,10747
36,10934,10253
37,10538,10003
38,9785,9480
39,9231,8854
40,8801,8342
41,8533,8023
42,7675,7232
43,7211,6957
44,6744,6276
45,6345,6231
46,5720,5300
47,5439,5022
48,4280,4192
49,4285,4229
50,3767,3484
51,3549,3373
52,3107,2999
53,2795,2792
54,2373,2286
55,2297,2245
56,2172,2150
57,2033,1839
58,1903,2046
59,1745,1772
60,1971,1881
61,2134,1878
62,2039,2019
63,2352,2249
64,2379,2497
65,2669,2464
66,2841,2739
67,3156,3094
68,3733,3618
69,3958,3724
70,4276,4275
71,4862,4587
72,5636,5119
73,5767,5448
74,6433,6230
75,7016,6582
76,7418,7022
77,8091,7662
78,8449,8177
79,8825,8519
80,9853,9135
81,10210,9717
82,10967,10115
83,11276,10701
84,11619,11113
85,12080,11335
86,12720,11937
87,12565,12115
88,13435,12587
89,13525,12774
90,14047,13175
91,14143,13245
92,14269,13446
93,14537,13645
94,14466,13634
95,14712,13753
96,14662,13765
97,14495,13674
98,14289,13434
99,14361,13580
100,13842,13196
101,14232,13289
102,13446,12852
103,13468,12585
104,13001,12229
105,12468,11889
106,12065,11626
107,11775,11207
108,11036,10542
109,10882,10167
110,10233,9853
111,9578,9009
112,9019,8699
113,9038,8349
114,8051,7593
115,7483,7200
116,7124,6650
117,6315,6384
118,6111,5729
119,5075,5050
120,5154,4792
121,4260,4161
122,4256,4180
123,3443,3450
124,3478,3204
125,3089,2961
126,2385,2468
127,2324,2324
128,2334,2167
129,2455,2099
130,1799,1971
131,2089,2027
132,1787,1788
133,1762,1878
134,2050,1938
135,2098,2000
136,2215,2522
137,2519,2500
138,2971,2610
139,2826,2872
140,3395,3241
141,3902,3636
142,4006,3884
143,4804,4321
144,4999,4662
145,5339,5297
146,6212,5878
147,6641,6190
148,7019,6703
149,7724,7225
150,8209,7820
151,9096,8397
152,9209,8930
153,9979,9359
154,10557,10051
155,10744,10181
156,11851,10936
157,11715,11225
158,12570,11708
159,12694,12015
160,12962,12287
161,13351,12665
162,13494,12902
163,14116,13245
164,14192,13402
165,14424,13496
166,14333,13617
167,14270,13614
168,14619,13686
169,14471,13751
170,14530,13520
171,14507,13702
172,14094,13382
173,14069,13419
174,13810,12977
175,13305,12733
176,12900,12205
177,12796,12157
178,12321,11610
179,12299,11527
180,11550,11070
181,11147,10489
182,10383,10156
183,10141,9563
184,9241,8827
185,8925,8428
186,8463,7861
187,7801,7520
188,7376,7048
189,6881,6270
190,6309,5883
191,5630,5453
192,5080,5091
193,4860,4505
194,4438,4316
195,3778,3780
196,3563,3533
197,3081,2816
198,2993,2727
199,2446,2356
200,2393,2385
201,2040,2071
202,2205,2136
203,1770,1836
204,2125,1964
205,1625,1782
206,2171,2028
207,1957,1960
208,2300,2056
209,2158,2448
210,2754,2607
211,3035,2733
212,3173,3097
213,3124,3337
214,3916,3523
215,4445,4205
216,4975,4555
217,5547,5137
218,5593,5448
219,6256,5896
220,6776,6514
221,7715,6977
222,7838,7687
223,8302,7838
224,9348,8649
225,9398,9066
226,10103,9505
227,10483,9919
228,11258,10482
229,11671,11047
230,11835,11270
231,12659,11802
232,12861,12113
233,13518,12518
234,13151,12538
235,13880,13069
236,13952,13144
237,14455,13477
238,14347,13585
239,14249,13681
240,14826,13906
241,14556,13827
242,14343,13782
243,14598,13766
244,14158,13506
245,14221,13374
246,14029,13204
247,13899,12929
248,13323,12722
249,12840,12310
250,12635,11921
251,12309,11617
252,11849,11269
