# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T18:01:26+00:00
# capture_name=debug_triangle_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=2768
# firmware_status_timestamp=2026-08-30T18:01:26+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00187691091408
# calibrated_volts_per_div_ch1=3.84391355203
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00189478891625
# calibrated_volts_per_div_ch2=3.88052770048
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=debug_triangle
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.13
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=20
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,5616,5499
1,5562,5485
2,5557,5578
3,5530,5493
4,5672,5482
5,5525,5427
6,5601,5413
7,5531,5447
8,5558,5491
9,5572,5409
10,5540,5471
11,5574,5473
12,5516,5510
13,5629,5467
14,5623,5512
15,5439,5404
16,5636,5521
17,5508,5439
18,5605,5540
19,5614,5493
20,5575,5525
21,5584,5373
22,5561,5551
23,5605,5500
24,5517,5526
25,5623,5390
26,5544,5430
27,5614,5432
28,5556,5478
29,5511,5410
30,5530,5495
31,5626,5464
32,5627,5512
33,5501,5475
34,5646,5466
35,5465,5449
36,5651,5507
37,5525,5461
38,5558,5510
39,5585,5414
40,5584,5523
41,5600,5483
42,5598,5571
43,5580,5454
44,5625,5562
45,5530,5490
46,5612,5535
47,5532,5470
48,5580,5534
49,5519,5429
50,5656,5529
51,5603,5407
52,5537,5524
53,5587,5391
54,5496,5524
55,5543,5435
56,5617,5582
57,5486,5546
58,5533,5490
59,5602,5420
60,5577,5584
61,5493,5509
62,5611,5501
63,5636,5509
64,5586,5485
65,5615,5525
66,5519,5473
67,5630,5489
68,5564,5477
69,5543,5565
70,5630,5527
71,5493,5511
72,5582,5387
73,5651,5480
74,5574,5453
75,5508,5535
76,5598,5472
77,5575,5467
78,5544,5401
79,5663,5476
80,5582,5507
81,5616,5509
82,5547,5409
83,5548,5480
84,5573,5481
85,5621,5486
86,5520,5577
87,5673,5521
88,5515,5438
89,5577,5473
90,5541,5463
91,5638,5468
92,5584,5570
93,5469,5497
94,5582,5428
95,5578,5441
96,5657,5486
97,5551,5503
98,5598,5546
99,5583,5497
100,5555,5481
101,5562,5429
102,5695,5494
103,5607,5525
104,5544,5575
105,5518,5480
106,5630,5455
107,5612,5493
108,5550,5479
109,5519,5528
110,5601,5488
111,5543,5428
112,5664,5487
113,5507,5435
114,5602,5456
115,5503,5493
116,5606,5452
117,5619,5459
118,5671,5493
119,5523,5466
120,5559,5492
121,5613,5534
122,5583,5500
123,5633,5504
124,5555,5485
125,5583,5435
126,5581,5498
127,5526,5532
128,5562,5397
129,5563,5430
130,5644,5453
131,5538,5480
132,5580,5453
133,5587,5549
134,5588,5481
135,5566,5463
136,5582,5553
137,5557,5539
138,5580,5499
139,5649,5528
140,5591,5409
141,5588,5491
142,5496,5490
143,5641,5495
144,5602,5415
145,5611,5446
146,5559,5449
147,5612,5495
148,5590,5473
149,5525,5471
150,5538,5518
151,5573,5512
152,5605,5416
153,5644,5512
154,5561,5417
155,5619,5498
156,5548,5595
157,5528,5507
158,5579,5403
159,5633,5603
160,5614,5564
161,5601,5480
162,5590,5593
163,5556,5442
164,5504,5505
165,5610,5546
166,5612,5485
167,5532,5468
168,5623,5549
169,5569,5430
170,5514,5537
171,5585,5521
172,5622,5450
173,5613,5405
174,5591,5545
175,5491,5382
176,5596,5568
177,5612,5551
178,5586,5417
179,5531,5472
180,5619,5508
181,5581,5411
182,5575,5575
183,5574,5534
184,5559,5378
185,5562,5477
186,5584,5555
187,5560,5455
188,5580,5508
189,5596,5457
190,5576,5472
191,5630,5489
192,5571,5458
193,5587,5434
194,5435,5536
195,5662,5423
196,5527,5457
197,5693,5488
198,5518,5419
199,5638,5460
200,5588,5559
201,5611,5442
202,5537,5462
203,5590,5496
204,5552,5499
205,5588,5468
206,5641,5568
207,5484,5446
208,5600,5479
209,5597,5497
210,5644,5506
211,5484,5448
212,5527,5497
213,5592,5409
214,5644,5499
215,5594,5466
216,5566,5610
217,5569,5540
218,5642,5495
219,5592,5491
220,5611,5534
221,5562,5463
222,5640,5578
223,5455,5438
224,5664,5425
225,5598,5508
226,5555,5556
227,5613,5416
228,5521,5470
229,5542,5481
230,5618,5542
231,5577,5553
232,5646,5533
233,5533,5417
234,5668,5486
235,5587,5526
236,5632,5530
237,5465,5510
238,5624,5480
239,5619,5508
240,5612,5541
241,5567,5496
242,5612,5578
243,5560,5522
244,5600,5428
245,5525,5494
246,5636,5524
247,5613,5505
248,5582,5598
249,5588,5472
250,5533,5456
251,5626,5483
252,5597,5592
253,5525,5560
254,5638,5492
255,5613,5412
256,5595,5488
257,5603,5506
258,5569,5496
259,5584,5478
260,5579,5432
261,5576,5491
262,5620,5477
263,5550,5522
264,5601,5422
265,5646,5461
266,5495,5497
267,5607,5479
268,5649,5503
269,5549,5562
270,5577,5483
271,5618,5538
272,5636,5522
