# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-31T20:14:00+00:00
# capture_name=direct_from_bnc_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=2442
# firmware_status_timestamp=2026-08-31T20:14:00+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=false
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=direct_from_bnc
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,14947,8032
1,6771,7923
2,997,8045
3,883,8247
4,3269,8234
5,14401,8428
6,16183,8282
7,15199,7948
8,6410,8034
9,1276,7701
10,676,8140
11,2564,8273
12,13422,8315
13,16069,8291
14,15539,8102
15,12823,7954
16,2049,8041
17,574,7852
18,2038,8199
19,12885,8393
20,15995,8419
21,15742,8055
22,13560,8034
23,3084,7816
24,559,8040
25,1694,8169
26,10471,8290
27,15773,8362
28,15915,8132
29,14187,8051
30,3643,7887
31,677,8025
32,1383,8210
33,9149,8264
34,15512,8445
35,16091,8122
36,14582,7940
37,5441,7931
38,928,7843
39,1070,8103
40,5112,8342
41,15279,8446
42,16196,8108
43,14901,8055
44,5862,7912
45,1120,8005
46,828,8167
47,3173,8228
48,14253,8490
49,16185,8190
50,15308,8066
51,8687,7923
52,1432,7937
53,649,8149
54,2479,8257
55,13236,8443
56,16132,8283
57,15538,8125
58,13054,7912
59,2169,7976
60,593,7891
61,1873,8260
62,12437,8388
63,15929,8393
64,15770,8138
65,13625,7966
66,3183,7805
67,610,7926
68,1575,8252
69,9542,8332
70,15693,8442
71,15953,8174
72,14237,7988
73,4214,7948
74,720,7988
75,1229,8257
76,9545,8293
77,15466,8373
78,16084,8122
79,14750,8054
80,6045,7971
81,971,7913
82,1011,8078
83,4134,8278
84,15092,8400
85,16185,8091
86,14965,8007
87,5571,8006
88,1132,7939
89,729,7946
90,2909,8221
91,14213,8353
92,16171,8137
93,15323,8103
94,11438,7965
95,1412,7920
96,629,7919
97,2332,8317
98,13090,8486
99,16065,8230
100,15676,7996
101,13185,7982
102,2427,7888
103,513,7918
104,1830,8273
105,12299,8442
106,15950,8426
107,15788,8139
108,13833,7956
109,3356,7862
110,647,7845
111,1532,8167
112,8837,8293
113,15588,8377
114,15972,8126
115,14419,7954
116,4168,7923
117,773,7994
118,1254,8273
119,9364,8293
120,15431,8405
121,16082,8099
122,14818,8022
123,6438,7963
124,989,7846
125,949,8066
126,4754,8349
127,14977,8446
128,16190,8238
129,15123,7961
130,5424,7981
131,1152,7937
132,700,7963
133,2840,8277
134,13767,8213
135,16138,8152
136,15448,8080
137,11673,8049
138,1811,7909
139,583,7976
140,2265,8262
141,13019,8618
142,16043,8232
143,15617,8061
144,13396,7943
145,2818,7996
146,587,7954
147,1781,8325
148,11509,8334
149,15832,8311
150,15912,8068
151,14029,8120
152,3405,7837
153,642,7958
154,1448,8160
155,9145,8186
156,15547,8401
157,15999,8230
158,14426,7848
159,5194,7898
160,841,8060
161,1176,8172
162,8868,8062
163,15367,8266
164,16151,8315
165,14850,8081
166,6690,7953
167,911,8023
168,889,8170
169,3703,8196
170,14734,8263
171,16204,8509
172,15193,8109
