# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-30T17:23:25+00:00
# capture_name=fpga_mcu_mock_ramp_8192.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=1
# firmware_status_timestamp=2026-08-30T17:22:49+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=1
# firmware_fpga_status=0x00
# firmware_ready=0
# firmware_overflow=0
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0013
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.78730497791e-05
# calibrated_volts_per_div_ch1=0.0366040059476
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=1.79058302809e-05
# calibrated_volts_per_div_ch2=0.0366711404153
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=manual
index,ch1_raw,ch2_raw
0,16382,1
1,0,16383
2,2,16381
3,4,16379
4,6,16377
5,8,16375
6,10,16373
7,12,16371
8,14,16369
9,16,16367
10,18,16365
11,20,16363
12,22,16361
13,24,16359
14,26,16357
15,28,16355
16,30,16353
17,32,16351
18,34,16349
19,36,16347
20,38,16345
21,40,16343
22,42,16341
23,44,16339
24,46,16337
25,48,16335
26,50,16333
27,52,16331
28,54,16329
29,56,16327
30,58,16325
31,60,16323
32,62,16321
33,64,16319
34,66,16317
35,68,16315
36,70,16313
37,72,16311
38,74,16309
39,76,16307
40,78,16305
41,80,16303
42,82,16301
43,84,16299
44,86,16297
45,88,16295
46,90,16293
47,92,16291
48,94,16289
49,96,16287
50,98,16285
51,100,16283
52,102,16281
53,104,16279
54,106,16277
55,108,16275
56,110,16273
57,112,16271
58,114,16269
59,116,16267
60,118,16265
61,120,16263
62,122,16261
63,124,16259
64,126,16257
65,128,16255
66,130,16253
67,132,16251
68,134,16249
69,136,16247
70,138,16245
71,140,16243
72,142,16241
73,144,16239
74,146,16237
75,148,16235
76,150,16233
77,152,16231
78,154,16229
79,156,16227
80,158,16225
81,160,16223
82,162,16221
83,164,16219
84,166,16217
85,168,16215
86,170,16213
87,172,16211
88,174,16209
89,176,16207
90,178,16205
91,180,16203
92,182,16201
93,184,16199
94,186,16197
95,188,16195
96,190,16193
97,192,16191
98,194,16189
99,196,16187
100,198,16185
101,200,16183
102,202,16181
103,204,16179
104,206,16177
105,208,16175
106,210,16173
107,212,16171
108,214,16169
109,216,16167
110,218,16165
111,220,16163
112,222,16161
113,224,16159
114,226,16157
115,228,16155
116,230,16153
117,232,16151
118,234,16149
119,236,16147
120,238,16145
121,240,16143
122,242,16141
123,244,16139
124,246,16137
125,248,16135
126,250,16133
127,252,16131
128,254,16129
129,256,16127
130,258,16125
131,260,16123
132,262,16121
133,264,16119
134,266,16117
135,268,16115
136,270,16113
137,272,16111
138,274,16109
139,276,16107
140,278,16105
141,280,16103
142,282,16101
143,284,16099
144,286,16097
145,288,16095
146,290,16093
147,292,16091
148,294,16089
149,296,16087
150,298,16085
151,300,16083
152,302,16081
153,304,16079
154,306,16077
155,308,16075
156,310,16073
157,312,16071
158,314,16069
159,316,16067
160,318,16065
161,320,16063
162,322,16061
163,324,16059
164,326,16057
165,328,16055
166,330,16053
167,332,16051
168,334,16049
