# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:09:53+00:00
# capture_name=freq_2vpp_1to100_10MHz_10.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5268
# firmware_status_timestamp=2026-08-24T00:09:53+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_10MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=10000000
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=10
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13971,13293
1,14256,13748
2,11512,11041
3,6361,6074
4,2555,2346
5,1814,1737
6,5519,4792
7,9710,9151
8,13746,13127
9,14479,13938
10,11029,10817
11,6523,6480
12,2273,2435
13,2203,1832
14,5199,4580
15,10015,9502
16,13933,13096
17,14487,13864
18,11193,10997
19,6599,6138
20,2481,2415
21,2094,1654
22,4958,4657
23,10207,9354
24,14038,13352
25,14405,13970
26,11312,10844
27,6395,6414
28,2764,2429
29,2148,1808
30,4929,4525
31,10089,9563
32,13803,13159
33,14428,13857
34,11422,11221
35,6386,6143
36,2555,2514
37,1960,1578
38,5142,4672
39,9709,9112
40,13826,13399
41,14577,13951
42,11082,10757
43,6202,6405
44,2641,2316
45,2035,1989
46,5056,4558
47,10429,9716
48,13647,13337
49,14485,13985
50,11390,10922
51,6365,6275
52,2379,2391
53,2129,1810
54,4792,4434
55,10317,9588
56,13781,13100
57,14484,13946
58,11401,11101
59,6616,6139
60,2412,2352
61,2029,1789
62,5333,4707
63,9929,9288
64,13777,13248
65,14671,14036
66,10967,10820
67,6433,6289
68,2660,2149
69,1800,1595
70,5182,4721
71,9653,9364
72,14024,13254
73,14346,13983
74,11500,11091
75,6565,6295
76,2643,2429
77,2079,1748
78,4963,4703
79,9771,9320
80,13749,13205
81,14444,13948
82,11623,10921
83,6390,6161
84,2438,2215
85,1847,1589
86,5597,4810
87,9705,9150
88,13710,13303
89,14587,13750
90,11341,11019
91,6604,6083
92,2640,2413
93,1945,1731
94,4791,4508
95,10384,9670
96,13726,13274
97,14340,14025
98,11575,10985
99,6282,6126
100,2500,2351
101,1943,1695
102,4910,4520
103,9826,9276
104,14159,13341
105,14343,14116
106,11221,10803
107,6600,6243
108,2381,2503
109,2061,1670
110,5263,4713
111,10108,9550
112,14048,13226
113,14374,13883
114,11483,11030
115,6180,6121
116,2503,2311
117,2105,1658
118,5005,4674
119,9882,9302
120,14104,13318
121,14387,14100
122,11187,10950
123,6679,6125
124,2098,2092
125,2095,1694
126,5121,4536
127,10370,9732
128,13899,13323
129,14628,14044
130,11136,10788
131,6338,6255
132,2518,2252
133,1861,1738
134,5229,4826
135,9904,9374
136,13683,13134
137,14772,13984
138,11532,10986
139,6268,6127
140,2538,2286
141,1989,1561
142,5224,4698
143,9633,9327
144,13710,13189
145,14707,14009
146,10972,10867
147,6348,6007
148,2689,2456
149,2114,1706
150,4955,4649
151,10502,9749
152,13896,13262
153,14358,13921
154,11093,10765
155,6659,6486
156,2668,2356
157,1915,1837
158,5201,4746
159,9971,9214
160,14015,13310
161,14431,14027
162,11374,11054
163,6731,6266
164,2477,2219
165,2101,1794
166,4927,4521
167,9891,9323
168,13491,13035
169,14401,13833
170,11333,10987
