# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:13:30+00:00
# capture_name=freq_2vpp_1to100_15MHz_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5286
# firmware_status_timestamp=2026-08-24T00:13:30+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_15MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=15000000
# generator_amplitude_vpk=2.8
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,3873,2968
1,5738,4872
2,10786,10724
3,12613,12889
4,8758,8797
5,4591,3375
6,4650,3556
7,8860,8593
8,12529,12947
9,10472,10527
10,5948,5069
11,4070,2791
12,7214,6809
13,12017,12091
14,11852,12018
15,7308,6881
16,4076,2938
17,5862,5025
18,10542,10574
19,12684,12939
20,8953,9084
21,4447,3420
22,4882,3563
23,9060,8897
24,12428,12772
25,10522,10688
26,5957,4786
27,3964,2619
28,7397,6696
29,11484,11953
30,11806,12045
31,7326,6673
32,3958,2782
33,6040,4795
34,10679,10813
35,12546,13026
36,8822,8688
37,4506,3348
38,4946,3702
39,9167,8737
40,12447,12921
41,10365,10889
42,5856,4961
43,3933,2637
44,7712,6880
45,11722,12235
46,12015,12138
47,7182,6542
48,3807,2818
49,6218,5108
50,10376,10652
51,12456,12994
52,8748,8647
53,4728,3596
54,4983,3741
55,9043,8918
56,12307,12757
57,10508,10715
58,5872,4924
59,4236,2753
60,7714,7238
61,11885,12058
62,11697,12099
63,7234,6854
64,4050,2613
65,5839,4946
66,10699,10566
67,12661,12988
68,9071,8677
69,4654,3680
70,4874,3488
71,9246,9017
72,12534,12874
73,10729,10598
74,5525,4797
75,3804,2632
76,7543,6890
77,12171,12198
78,11727,11952
79,6974,6544
80,4004,2713
81,5648,4684
82,10979,10974
83,12259,12885
84,8879,8722
85,4645,3561
86,4606,3598
87,9286,8615
88,12638,13069
89,10311,10475
90,5717,4879
91,4195,2816
92,7288,6543
93,11980,12243
94,11700,11951
95,7092,6569
96,4043,2553
97,5699,4896
98,10799,10637
99,12290,12875
100,9056,8773
101,4591,3455
102,4843,3687
103,8884,8704
104,12492,12945
105,10609,10614
106,5833,4912
107,4317,2869
108,7490,6778
109,11625,11870
110,11571,12074
111,7395,6532
112,3727,2805
113,6198,5040
114,10244,10411
115,12457,12845
116,9045,8621
117,4413,3258
118,4875,3482
119,9042,8660
120,12384,12818
121,10457,10485
122,6098,5014
123,3898,2616
124,7442,6881
125,11890,11991
126,11596,11962
127,7452,6706
128,3835,2892
129,5775,4870
130,10804,10757
131,12418,12843
132,8770,8765
133,4548,3324
134,4912,3697
135,8969,8942
136,12506,12742
137,10473,10693
138,5897,4917
139,4077,2708
140,7460,6653
141,11889,12265
142,11807,12031
143,7057,6564
144,3977,2678
145,5923,4975
146,10676,10544
147,12582,13021
148,9155,8925
149,4338,3185
150,4673,3549
151,9129,8809
152,12412,12747
153,10611,10766
154,5687,4857
155,4062,2621
156,7621,6997
157,11639,12099
158,12009,12247
159,7154,6634
160,4187,2762
161,5741,4805
162,10889,10961
163,12469,12816
164,8839,8821
165,4574,3484
166,4860,3609
167,8986,8882
168,12460,12825
169,10552,10489
170,5882,5005
171,4176,2810
