# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:28:14+00:00
# capture_name=freq_2vpp_1to100_18p496MHz_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5958
# firmware_status_timestamp=2026-08-24T00:28:14+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_18p496MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=18496093.75
# generator_amplitude_vpk=2.8
# generator_offset_v=0.001
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8213,7596
1,4765,3590
2,8019,7268
3,11534,11897
4,9374,9390
5,5133,4105
6,6731,5568
7,10636,10990
8,10776,10906
9,6343,5619
10,5587,4138
11,9324,9368
12,11433,12025
13,7848,7447
14,5212,3677
15,7953,7556
16,11387,11642
17,9371,9671
18,5278,4072
19,6302,5353
20,11057,10906
21,10406,10706
22,6531,5351
23,5361,4073
24,9204,9222
25,11152,11672
26,7701,7016
27,4938,3721
28,8176,7689
29,11616,12062
30,9018,9064
31,5273,4056
32,6515,5547
33,10635,11129
34,10517,10684
35,6353,5595
36,5375,4048
37,9916,9858
38,11178,11739
39,7321,6879
40,5070,3502
41,8097,7622
42,11346,11961
43,8926,8981
44,5160,3898
45,7122,5962
46,10680,11274
47,10229,10562
48,6310,5154
49,5362,4096
50,9646,9731
51,11294,11735
52,7366,6784
53,5108,3674
54,7992,7743
55,11454,11977
56,8946,9125
57,5541,4028
58,6444,5796
59,11260,11306
60,10294,10410
61,6002,5053
62,5656,4426
63,9856,9920
64,11116,11782
65,7426,6692
66,5022,3717
67,8450,7973
68,11166,11803
69,8663,8654
70,5076,3841
71,6885,5981
72,11279,11451
73,10148,10475
74,5952,4888
75,5943,4529
76,9722,9813
77,11048,11632
78,7091,6573
79,4944,3502
80,8365,7950
81,11635,12143
82,8910,8605
83,4881,3619
84,7286,6349
85,11051,11433
86,9953,10323
87,6043,4819
88,5384,4327
89,10323,10220
90,11158,11627
91,6834,6337
92,5232,3633
93,8854,8355
94,11310,11901
95,8903,8455
96,4791,3717
97,6980,6110
98,11246,11614
99,9970,10208
100,5704,4702
101,5952,4861
102,10398,10381
103,11101,11724
104,6852,6189
105,5352,3809
106,8548,8131
107,11665,12058
108,8494,8154
109,5218,3761
110,6905,6244
111,11260,11659
112,10042,10187
113,5736,4574
114,6010,4998
115,10162,10331
116,11010,11291
117,7057,6463
118,5120,3821
119,8679,8425
120,11512,12000
121,8383,7920
122,4794,3552
123,7715,6714
124,11069,11688
125,9753,10066
126,5791,4615
127,5942,4794
128,10002,10265
129,10755,11198
130,6942,5926
131,5213,3772
132,8805,8582
133,11497,12117
134,8221,7822
135,5142,3801
136,7237,6444
137,11537,11850
138,9565,9648
139,5485,4324
140,6099,4874
141,10151,10386
142,10687,11221
143,6866,5842
144,5230,3937
145,8788,8645
146,11654,11984
147,8044,7839
148,5293,3734
149,7184,6516
150,11138,11616
151,9851,9638
152,5139,4273
153,6148,5074
154,10621,10769
155,10980,11275
156,6293,5789
157,5769,4157
158,9162,8893
159,11334,12108
160,8079,7636
161,5010,3711
162,8062,7206
163,11223,11671
164,9810,9906
165,5304,4203
166,6286,5301
167,10721,10546
168,10710,10891
169,6673,5604
170,5089,3899
171,9093,8937
