# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:07:34+00:00
# capture_name=freq_2vpp_1to100_2p002MHz_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=5240
# firmware_status_timestamp=2026-08-24T00:07:34+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_2p002MHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=2001953.125
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13273,12440
1,12176,11622
2,11355,10964
3,10897,10139
4,9673,9306
5,9005,8535
6,7546,7156
7,6717,6576
8,5621,5595
9,4780,4737
10,3776,3695
11,3387,3316
12,2915,2713
13,2204,2266
14,2266,2134
15,1470,1842
16,2131,1945
17,2033,1868
18,2150,2296
19,2746,2576
20,3436,3093
21,3972,4056
22,5212,4824
23,5548,5302
24,6519,6466
25,7598,7102
26,8802,8249
27,9938,9278
28,10810,10066
29,11349,10799
30,12565,11569
31,12906,12611
32,13544,12675
33,14443,13309
34,14357,13617
35,14635,13770
36,14446,13750
37,14241,13769
38,14232,13374
39,13894,13062
40,12861,12051
41,12250,11710
42,11512,10994
43,10610,10225
44,9874,9204
45,8545,8270
46,7859,7418
47,6812,6477
48,5741,5368
49,4949,4750
50,3955,3921
51,3104,3090
52,2879,2680
53,2103,2149
54,2036,2022
55,1948,1763
56,1830,1864
57,1656,1929
58,2635,2456
59,2925,2650
60,3354,3323
61,3880,3842
62,4686,4635
63,6025,5603
64,6602,6325
65,7678,7224
66,8850,8247
67,9494,9132
68,10940,10144
69,11758,11033
70,12525,11784
71,13187,12292
72,13829,12849
73,14114,13419
74,14253,13575
75,14535,13745
76,14523,13696
77,14359,13499
78,14269,13401
79,13680,12861
80,13047,12410
81,12568,11869
82,11503,10759
83,10849,10127
84,9540,8891
85,8906,8409
86,7604,7207
87,6587,6573
88,5445,5395
89,5134,4802
90,4050,3753
91,3392,3258
92,2906,2583
93,2496,2434
94,1888,1901
95,1859,1913
96,2081,1974
97,1967,1994
98,2526,2203
99,2725,2623
100,3426,3276
101,4229,4041
102,5061,4725
103,5706,5413
104,6849,6220
105,7903,7460
106,8589,8403
107,9914,9402
108,10639,10021
109,11538,10997
110,12565,11911
111,13325,12544
112,13690,12980
113,14137,13294
114,14430,13773
115,14809,13748
116,14598,13743
117,14098,13475
118,14347,13427
119,13790,12996
120,13068,12434
121,12277,11627
122,11535,11085
123,10615,9912
124,9567,9206
125,8686,8195
126,7405,7099
127,6822,6385
128,5584,5474
129,4999,4603
130,4023,3859
131,2878,2947
132,3063,2827
133,2085,2153
134,2375,2065
135,1783,2003
136,1874,1767
137,1962,2136
138,2364,2343
139,2724,2597
140,3419,3295
141,4726,4225
142,4978,4539
143,5490,5376
144,7227,6540
145,7660,7339
146,9336,8509
147,9538,9259
148,10927,10357
149,11472,10780
150,12685,11932
151,13076,12354
152,13986,12945
153,13818,13222
154,14395,13596
155,14503,13781
156,14398,13812
157,14425,13460
158,14073,13480
159,13868,12989
160,12889,12196
161,12110,11680
162,11437,10743
163,10634,9968
164,9534,9103
165,8568,8354
166,7837,7310
167,6382,6372
168,5768,5482
169,4713,4518
170,4081,3863
171,3210,3042
172,2765,2570
173,2184,2313
174,2157,1914
175,1886,1902
176,2047,1829
177,1812,2197
178,2303,2331
179,2863,2837
180,3733,3534
181,4313,3966
182,5080,4756
183,5796,5619
184,6927,6599
185,7588,7433
186,9118,8402
187,10063,9355
188,10442,10075
189,11608,11141
190,12482,11691
191,13080,12409
192,13990,13057
193,14126,13366
194,14478,13753
195,14667,13842
196,14537,13858
197,14449,13526
198,13928,13337
199,13503,12852
200,13101,12429
201,12120,11497
202,11397,10746
203,10716,9931
204,9245,9023
205,8735,8208
206,7462,7092
207,6732,6364
208,5516,5382
209,4792,4582
210,3957,3714
211,2790,2881
212,2647,2803
213,2250,2087
214,1970,1926
215,2204,2035
216,1840,1800
217,1990,2147
218,2701,2362
219,2557,2628
220,3626,3466
221,4326,4067
222,4774,4584
223,5961,5713
224,7238,6615
225,8053,7502
226,8728,8595
227,9887,9547
228,10741,10023
229,11925,11202
230,12597,11917
231,13391,12524
232,13866,13205
233,14291,13478
234,14656,13677
235,14476,13694
236,14470,13766
237,14240,13563
238,13989,13301
239,13708,12854
240,13009,12435
241,12172,11568
242,11273,10839
243,10518,9981
244,9677,9081
245,8423,7998
246,7721,7167
247,6282,6370
248,5722,5366
249,4859,4526
250,3766,3777
251,3277,3087
252,2718,2586
253,2038,2028
254,2328,2150
255,1950,1878
256,1761,1835
257,1935,1994
258,2348,2299
259,3082,2951
260,3333,3177
261,4239,4245
262,5050,4854
263,5839,5717
264,6846,6456
265,7982,7599
266,8977,8459
267,10102,9536
268,11086,10330
269,11751,11132
270,12611,11841
271,13141,12574
272,14030,12962
273,14081,13484
274,14300,13591
275,14779,13813
276,14562,13819
277,14507,13597
278,13783,13246
279,13499,12885
280,13157,12201
281,12279,11584
282,11332,10785
283,10243,9730
284,9806,9084
285,8164,7767
286,7501,7137
287,6331,5906
288,5719,5376
289,4688,4554
290,4041,3906
291,3096,2991
292,2802,2718
293,2190,2027
294,1875,1721
295,2006,1842
296,1682,1879
297,2325,2198
298,2327,2389
299,2809,2931
300,3709,3416
301,4194,4097
302,5230,4854
303,5861,5555
304,7065,6565
305,8105,7616
306,8811,8383
307,9591,9254
308,11207,10414
309,11899,11264
310,12651,11885
311,12881,12378
312,13956,13020
313,14219,13280
314,14435,13765
315,14592,13674
316,14694,14022
317,14452,13371
318,13842,13372
319,13401,12878
320,13081,12191
321,12101,11380
322,11221,10737
323,10639,9829
324,9346,8935
325,8474,8045
326,7458,7221
327,6099,5945
328,5882,5403
329,4282,4263
330,3888,3810
331,3262,3141
332,2309,2461
333,2593,2422
334,1915,1947
335,1770,1858
336,1788,1803
337,2026,1950
338,2488,2504
339,2798,2713
340,3690,3449
341,3904,3926
342,5422,5022
343,5934,5807
344,7084,6530
345,7935,7632
346,9023,8470
347,9978,9437
348,10789,10436
349,11772,11215
350,12578,11792
351,13656,12664
352,13816,12983
353,14342,13353
354,14208,13661
355,14932,14045
356,14095,13487
357,14590,13608
358,13999,13254
359,13298,12778
360,12910,12220
361,12414,11563
362,11010,10550
363,10414,9756
364,9188,8977
365,8449,7910
366,7220,7042
367,6450,5890
368,5320,5108
369,4496,4447
370,3871,3745
371,3316,3057
372,2423,2453
373,2201,2149
374,1966,1973
375,1863,1680
376,1887,1856
377,2157,2128
378,2351,2341
379,2876,2619
380,3407,3564
381,4376,4222
382,5446,4993
383,5922,5624
384,7054,6743
385,8198,7530
386,9068,8682
387,10066,9312
388,10846,10507
389,11881,11275
390,12534,11795
391,13469,12637
392,13836,13164
393,14188,13296
394,14668,13753
395,14476,13835
396,14517,13878
397,14353,13550
398,13810,13368
399,13406,12722
400,12938,12125
401,11877,11336
402,11528,10628
403,10503,9842
404,9097,8785
405,8548,8062
406,7200,6910
407,6257,5801
408,5458,5454
409,4482,4358
410,3732,3568
411,3219,3110
412,2452,2489
413,2520,2218
414,1949,1879
415,1534,1673
416,2181,2021
417,2032,1940
418,2558,2547
419,2856,2803
420,3715,3550
421,4208,4120
422,5291,5184
423,5995,5743
424,7070,6697
425,7861,7583
426,9170,8684
427,9929,9345
428,10876,10338
429,12170,11382
430,12663,11824
431,13480,12781
432,13691,13058
433,13988,13525
434,14589,13686
435,14522,13800
436,14632,13721
437,14252,13613
438,14065,13190
439,13544,12931
440,12989,12167
441,12073,11503
442,10924,10501
443,10200,9633
444,9683,8935
445,8173,8041
446,7521,7104
447,6292,6001
448,5313,4896
449,4952,4614
450,3872,3642
451,2783,2868
452,2460,2521
453,2328,2089
454,1817,1918
455,1970,1780
456,1869,1829
457,2318,2098
458,2412,2476
459,2876,2608
460,3930,3617
461,4152,4107
462,5244,5086
463,5940,5794
464,7303,6902
465,8103,7568
466,9224,8632
467,10117,9631
468,11188,10596
469,11598,11075
470,12720,12089
471,13057,12519
472,13991,13112
473,14251,13663
474,14500,13615
475,14573,13741
476,14631,13712
477,14186,13470
478,13815,13201
479,13509,12715
480,12821,12120
481,12093,11431
482,10943,10571
483,10328,9742
484,9597,8861
485,8240,7854
486,7377,6754
487,6199,5910
488,5456,5015
489,4458,4370
490,3786,3636
491,3090,3051
492,2338,2411
493,2244,2229
494,1931,2009
495,1454,1650
496,2052,1913
497,2529,2170
498,2240,2307
499,3162,2912
500,3718,3649
501,4255,4113
502,5498,5030
503,6100,5827
504,7150,6901
505,8343,7736
506,8866,8669
507,10494,9686
508,11203,10644
509,11806,11183
510,12605,12114
511,13466,12531
512,13730,13227
513,14347,13425
514,14351,13685
515,14721,13847
516,14568,13764
517,14316,13544
518,13744,13105
519,13321,12570
520,12764,12094
521,11898,11249
522,11151,10664
523,10114,9644
524,9454,8799
525,8134,7785
526,7406,6996
527,6146,5939
528,5097,5029
529,4562,4392
530,3689,3521
531,3097,2911
532,2638,2489
533,2295,2207
534,1921,1992
535,1830,1739
536,1933,1993
537,2433,2077
538,2293,2366
539,3416,3073
540,3561,3490
541,4429,4255
542,5474,5179
543,6311,5800
544,7536,6977
545,7930,7692
546,9205,8919
547,10323,9597
548,11056,10411
549,12111,11403
550,12920,11946
551,13323,12558
552,14211,13235
553,14201,13436
554,14140,13645
555,14546,13821
556,14580,13767
557,14070,13408
558,13974,13288
559,13368,12413
560,12761,12134
561,12109,11463
562,10804,10455
563,9843,9384
564,9381,8924
565,8197,7605
566,7294,6859
567,6013,5979
