# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-24T00:05:40+00:00
# capture_name=freq_2vpp_1to100_996kHz_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=4939
# firmware_status_timestamp=2026-08-24T00:05:40+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100_2vpp
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000501142154279
# calibrated_volts_per_div_ch1=1.02633913196
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to100_2vpp
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.000502339082403
# calibrated_volts_per_div_ch2=1.02879044076
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=frequency
# series_id=freq_2vpp_1to100_996kHz
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=996093.75
# generator_amplitude_vpk=2.8
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,12383,11447
1,12462,11942
2,12728,12140
3,13609,12562
4,13357,12742
5,13897,12939
6,14293,13309
7,13801,13346
8,14667,13612
9,14238,13639
10,14649,13844
11,14499,13782
12,14814,13813
13,14041,13408
14,14558,13667
15,14260,13425
16,14227,13379
17,14019,13333
18,13901,12922
19,13418,12692
20,13225,12588
21,12633,12065
22,12518,11789
23,11944,11494
24,11729,11052
25,11089,10661
26,10739,10374
27,10757,9852
28,9719,9413
29,9433,8967
30,9177,8651
31,8561,8069
32,7809,7335
33,7379,7126
34,6960,6509
35,6661,6260
36,6015,5667
37,5440,5236
38,4776,4821
39,5081,4577
40,4134,4009
41,3750,3623
42,3695,3538
43,3127,3160
44,2872,2937
45,2947,2716
46,2350,2648
47,2127,2253
48,2368,2149
49,2127,1794
50,2050,2045
51,1881,1853
52,1935,1905
53,2111,1996
54,1913,1853
55,2100,2082
56,2350,2361
57,2565,2348
58,2533,2679
59,3240,2883
60,3243,2984
61,3336,3349
62,3796,3827
63,4403,4120
64,4928,4520
65,4914,4961
66,5607,5470
67,6083,5625
68,6753,6394
69,6880,6394
70,7473,7306
71,7933,7456
72,8376,8044
73,9014,8461
74,9421,8813
75,9888,9269
76,10509,9621
77,10958,10212
78,11460,10784
79,11615,10931
80,12181,11596
81,12302,11777
82,12946,12247
83,13061,12454
84,13180,12508
85,14178,13156
86,13831,12960
87,14167,13557
88,14733,13705
89,14083,13432
90,14703,13760
91,14331,13560
92,14538,13706
93,14900,13795
94,14350,13653
95,14420,13517
96,14235,13438
97,14324,13323
98,13714,13100
99,13562,12900
100,13059,12472
101,13178,12270
102,12614,11902
103,12071,11569
104,11827,11107
105,11283,10797
106,10807,10285
107,10733,9978
108,9715,9391
109,9373,9052
110,9402,8619
111,8652,8033
112,7951,7642
113,7688,7227
114,7271,6637
115,6646,6253
116,6005,5797
117,5571,5386
118,5316,5134
119,4955,4496
120,4530,4343
121,3996,3681
122,3880,3579
123,3124,3181
124,3001,2934
125,2983,2844
126,2767,2534
127,2263,2253
128,2175,2233
129,2025,1788
130,2090,1967
131,1743,1884
132,2008,1921
133,2196,1917
134,2123,2000
135,2018,1977
136,2157,2226
137,2541,2507
138,2776,2624
139,2864,2765
140,2862,2974
141,3420,3404
142,3858,3584
143,4318,4100
144,4397,4123
145,5137,4836
146,5272,5200
147,6046,5531
148,6145,5910
149,6824,6443
150,7337,6892
151,7917,7396
152,7976,7669
153,8911,8453
154,9334,8784
155,9706,9229
156,10454,9736
157,10695,9979
158,11271,10545
159,11602,10917
160,12123,11253
161,12217,11589
162,12834,12045
163,13148,12442
164,13076,12547
165,13790,12846
166,13987,13177
167,13912,13145
168,14199,13657
169,14309,13648
170,14512,13652
171,14684,13755
