# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:49:42+00:00
# capture_name=harmonics_1vpp_1to100_profile0p5Vdiv_g55p50_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=692
# firmware_status_timestamp=2026-08-23T20:49:42+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.5
# calibration_volts_per_code_ch1=0.000246821293355
# calibrated_volts_per_div_ch1=0.50549000879
# displayed_volts_per_div_ch1=0.5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.5
# calibration_volts_per_code_ch2=0.000253357015986
# calibrated_volts_per_div_ch2=0.518875168739
# displayed_volts_per_div_ch2=0.5
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile0p5Vdiv_g55p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=1.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,1944,1600,-1.54213944,-1.67012945
1,2436,2031,-1.42070336,-1.56093258
2,3728,2942,-1.10181025,-1.33012433
3,5949,5473,-0.553620161,-0.688877726
4,8460,8267,0.0661481066,0.0190017762
5,11116,10640,0.721705462,0.620217975
6,12653,12560,1.10106979,1.10666345
7,14824,14595,1.63691882,1.62224497
8,14974,14547,1.67394201,1.61008384
9,14046,14030,1.44489185,1.47909826
10,12554,12679,1.07663448,1.13681293
11,10623,10432,0.600022564,0.567519716
12,8141,7648,-0.012587886,-0.137826217
13,5569,5250,-0.647412252,-0.745376341
14,3853,3074,-1.07095759,-1.29668121
15,2255,1705,-1.46537802,-1.64352696
16,1198,987,-1.72626813,-1.8254373
17,2453,1762,-1.4165074,-1.62908561
18,3687,3367,-1.11192993,-1.2224476
19,5854,5048,-0.577068184,-0.796554458
20,8115,7792,-0.0190052396,-0.101342806
21,11617,10924,0.84536293,0.692171368
22,13156,12829,1.2252209,1.17481648
23,14798,14258,1.63050146,1.53686366
24,14808,14522,1.63296968,1.60374991
25,14238,14031,1.49228154,1.47935162
26,12719,12421,1.11736,1.07144682
27,10836,10522,0.6525955,0.590321847
28,7948,7789,-0.0602243956,-0.102102877
29,5624,5293,-0.633837081,-0.734481989
30,3639,2808,-1.12377735,-1.36407417
31,2008,1659,-1.52634288,-1.65518139
32,1219,987,-1.72108488,-1.8254373
33,2686,1832,-1.35899804,-1.61135062
34,3308,2870,-1.2054752,-1.34836604
35,6573,5612,-0.399603674,-0.653661101
36,8481,7995,0.0713313538,-0.0499113321
37,10661,10484,0.609401773,0.580694281
38,13061,12601,1.20177288,1.11705108
39,13952,13739,1.42169065,1.40537137
40,14466,14521,1.54855679,1.60349655
41,14169,13904,1.47525087,1.44717528
42,12827,12590,1.14401669,1.11426416
43,10095,9950,0.469700921,0.445401634
44,8231,7825,0.00962603044,-0.0929820249
45,5637,5256,-0.630628405,-0.743856199
46,3336,2918,-1.1985642,-1.3362049
47,2413,1593,-1.42638025,-1.67190295
48,1949,1301,-1.54090533,-1.7458832
49,2121,1812,-1.49845207,-1.61641776
50,3653,2854,-1.12032185,-1.35241975
51,5614,5341,-0.636305294,-0.722320853
52,8504,7994,0.0770082435,-0.0501646892
53,11348,10709,0.778968002,0.637699609
54,13345,12668,1.27187012,1.134026
55,14272,14182,1.50067346,1.51760853
56,14615,14443,1.58533317,1.58373471
57,14196,14100,1.48191505,1.49683325
58,13313,12308,1.26397184,1.04281748
59,10694,10276,0.617546876,0.527996021
60,7440,7626,-0.185609613,-0.143400071
61,5508,5368,-0.662468351,-0.715480213
62,3606,3025,-1.13192245,-1.3090957
63,1911,1872,-1.55028454,-1.60121634
64,1353,1102,-1.68801083,-1.79630124
65,2155,1663,-1.49006015,-1.65416796
66,4262,3327,-0.970007683,-1.23258188
67,5289,5314,-0.716522215,-0.729161492
68,8700,8064,0.125385217,-0.032429698
69,11068,10623,0.70985804,0.615910906
70,12887,12531,1.15882597,1.09931609
71,14684,14328,1.60236384,1.55459865
