# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:55:05+00:00
# capture_name=harmonics_1vpp_1to100_profile2Vdiv_g49p66_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1127
# firmware_status_timestamp=2026-08-23T20:55:05+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=2
# calibration_volts_per_code_ch1=0.000937547255406
# calibrated_volts_per_div_ch1=1.92009677907
# displayed_volts_per_div_ch1=2
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=2
# calibration_volts_per_code_ch2=0.00095347624333
# calibrated_volts_per_div_ch2=1.95271934634
# displayed_volts_per_div_ch2=2
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile2Vdiv_g49p66
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=6.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,13131,13040,4.63054589,4.62245283
1,10173,10416,1.85728111,2.12053117
2,7165,7297,-0.962861031,-0.853361238
3,4654,4500,-3.31704219,-3.52023429
4,2283,2199,-5.53996673,-5.71418313
5,1042,872,-6.70346288,-6.9794461
6,678,558,-7.04473008,-7.27883764
7,1668,1308,-6.11655829,-6.56373046
8,3615,3347,-4.29115379,-4.6195924
9,6027,6088,-2.02978981,-2.00611402
10,9143,9141,0.89160744,0.904848955
11,11764,11974,3.3489188,3.60604715
12,13971,14216,5.41808559,5.74374089
13,15537,15619,6.88628459,7.08146806
14,15841,15900,7.17129896,7.34939488
15,14746,15227,6.14468471,6.70770537
16,13070,13022,4.57335551,4.60529026
17,10334,10291,2.00822622,2.00134663
18,7208,7325,-0.922546499,-0.826663903
19,4510,4233,-3.45204899,-3.77481245
20,2299,2170,-5.52496598,-5.74183394
21,1144,887,-6.60783306,-6.96514396
22,567,494,-7.14879782,-7.33986012
23,1745,1197,-6.04436716,-6.66956632
24,3380,3467,-4.51147739,-4.50517525
25,6123,5950,-1.93978527,-2.13769374
26,9317,9081,1.05474066,0.84764038
27,11868,12066,3.44642371,3.69376697
28,14173,14348,5.60747013,5.86959975
29,15506,15533,6.85722063,6.9994691
30,15664,16104,7.00535309,7.54390404
31,14718,15120,6.11843339,6.60568341
32,13012,13041,4.51897777,4.6234063
33,10283,10378,1.96041131,2.08429907
34,7238,7282,-0.894420082,-0.867663381
35,4665,4930,-3.30672917,-3.11023951
36,2232,2178,-5.58778164,-5.73420613
37,950,802,-6.78971722,-7.04618944
38,805,571,-6.92566158,-7.26644245
39,1446,1230,-6.32469378,-6.63810161
40,3489,3261,-4.40928474,-4.70159136
41,6197,6009,-1.87040677,-2.08143864
42,9000,8923,0.757538182,0.696991134
43,11874,11990,3.45204899,3.62130277
44,14178,14299,5.61215787,5.82287942
45,15480,15658,6.8328444,7.11865363
46,15770,15868,7.1047331,7.31888364
47,14835,15018,6.22812642,6.50842884
48,12986,13188,4.49460154,4.76356731
49,10291,10408,1.96791169,2.11290336
50,7368,7479,-0.772538938,-0.679828561
51,4536,4310,-3.42767277,-3.70139478
52,2326,2276,-5.4996522,-5.64076546
53,870,655,-6.864721,-7.18635045
54,694,706,-7.02972932,-7.13772316
55,1591,1491,-6.18874943,-6.38924431
56,3474,3300,-4.42334795,-4.66440578
57,6140,5970,-1.92384697,-2.11862421
58,8999,8883,0.756600635,0.658852084
59,11844,11949,3.42392258,3.58221025
60,14254,14274,5.68341146,5.79904251
61,15623,15733,6.96691365,7.19016435
62,15600,15788,6.94535007,7.24260554
63,14854,15030,6.24593982,6.51987055
64,12856,13009,4.3727204,4.59289506
65,10332,10423,2.00635113,2.1272055
66,7360,7576,-0.780039316,-0.587341366
67,4580,4420,-3.38642069,-3.59651239
68,2402,2307,-5.42839861,-5.61120769
69,994,756,-6.74846514,-7.09004935
70,766,498,-6.96222592,-7.33604622
71,1741,1370,-6.04811734,-6.50461493
72,3344,3437,-4.54522909,-4.53377954
73,6079,5840,-1.98103735,-2.24257612
74,9175,8954,0.921608952,0.726548897
75,11953,11975,3.52611523,3.60700063
76,14256,14221,5.68528656,5.74850827
77,15489,15534,6.84128232,7.00042258
78,15675,15909,7.01566611,7.35797617
79,14638,15016,6.04342961,6.50652188
80,13085,13067,4.58741872,4.64819669
81,10175,10225,1.85915621,1.9384172
82,7347,7629,-0.792227431,-0.536807125
83,4365,4388,-3.58799335,-3.62702363
84,2378,2123,-5.45089974,-5.78664732
85,1002,955,-6.74096477,-6.90030757
86,838,600,-6.89472252,-7.23879164
87,1596,1586,-6.1840617,-6.29866406
88,3462,3111,-4.43459852,-4.84461279
89,6036,5751,-2.02135188,-2.32743551
90,9108,8757,0.858793286,0.538714077
91,11973,12113,3.54486617,3.73858035
92,14063,14019,5.50433994,5.55590607
93,15612,15603,6.95660064,7.06621244
94,15657,15777,6.99879026,7.23211731
95,14988,15068,6.37157115,6.55610265
96,13006,13041,4.51335249,4.6234063
97,10215,10406,1.8966581,2.1109964
98,7268,7347,-0.866293664,-0.805687426
99,4731,4469,-3.24485105,-3.54979205
100,2121,1921,-5.69184939,-5.97924952
101,989,741,-6.75315288,-7.10435149
102,776,581,-6.95285045,-7.25690769
103,1669,1379,-6.11562075,-6.49603365
104,3467,3354,-4.42991078,-4.61291807
105,6282,6020,-1.79071526,-2.0709504
106,9033,9235,0.788477242,0.994475722
107,12011,11866,3.58049297,3.50307172
108,14043,14022,5.48558899,5.5587665
109,15626,15637,6.9697263,7.09863063
110,15669,15861,7.01004083,7.31220931
111,14866,15339,6.25719038,6.81449471
112,12992,13165,4.50022683,4.74163736
113,10304,10405,1.9800998,2.11004293
114,7409,7419,-0.734099501,-0.737037136
115,4623,4575,-3.34610615,-3.44872357
116,2404,2186,-5.42652351,-5.72657832
117,959,978,-6.7812793,-6.87837762
118,712,509,-7.01285347,-7.32555798
119,1549,1353,-6.22812642,-6.52082403
120,3654,3431,-4.25458945,-4.53950039
121,6108,6026,-1.95384848,-2.06522954
122,8867,8905,0.632844397,0.679828561
123,12058,12113,3.62455769,3.73858035
124,14149,14090,5.584969,5.62360288
125,15446,15504,6.80096779,6.97181829
126,15804,15914,7.13660971,7.36274355
127,14873,15177,6.26375321,6.66003156
128,12885,12961,4.39990927,4.5471282
129,10372,10437,2.04385302,2.14055417
130,7194,7415,-0.935672161,-0.740851041
131,4725,4575,-3.25047633,-3.44872357
132,2233,2137,-5.58684409,-5.77329865
133,1027,702,-6.71752608,-7.14153706
134,711,535,-7.01379102,-7.3007676
135,1508,1292,-6.26656586,-6.57898608
136,3658,3393,-4.25083926,-4.57573249
137,6195,6061,-1.87228187,-2.03185787
138,8993,8764,0.750975352,0.545388411
139,11868,12053,3.44642371,3.68137178
140,14096,14129,5.535279,5.66078846
141,15467,15673,6.82065628,7.13295578
142,15749,15893,7.08504461,7.34272055
143,14999,15129,6.38188417,6.6142647
144,12866,12814,4.38209587,4.4069672
145,10474,10718,2.13948284,2.40848099
146,7221,7384,-0.910358385,-0.770408805
147,4460,4491,-3.49892636,-3.52881558
148,2218,2140,-5.6009073,-5.77043822
149,1074,801,-6.67346136,-7.04714291
150,737,395,-6.98941479,-7.43425427
151,1638,1426,-6.14468471,-6.45122026
152,3495,3291,-4.40365946,-4.67298707
153,6117,6035,-1.94541055,-2.05664826
154,9010,8909,0.766913655,0.683642466
155,12017,11984,3.58611825,3.61558191
156,14134,14485,5.57090579,6.000226
157,15455,15672,6.80940572,7.1320023
158,15838,16005,7.16848631,7.44950989
159,14844,15171,6.23656434,6.6543107
160,13056,12995,4.56022985,4.5795464
161,10230,10267,1.91072131,1.9784632
162,7498,7411,-0.650657795,-0.744664946
163,4574,4457,-3.39204597,-3.56123377
164,2314,2302,-5.51090277,-5.61597507
165,990,763,-6.75221533,-7.08337501
166,713,439,-7.01191592,-7.39230131
167,1643,1291,-6.13999698,-6.57993956
168,3544,3460,-4.35771964,-4.51184958
169,6171,5892,-1.894783,-2.19299536
170,9057,8970,0.810978376,0.741804517
171,11956,12032,3.52892787,3.66134877
172,14178,14276,5.61215787,5.80094946
173,15404,15495,6.76159081,6.96323701
174,15669,16027,7.01004083,7.47048637
175,14809,14970,6.20375019,6.46266198
176,12952,13146,4.46272494,4.72352131
177,10330,10564,2.00447603,2.26164565
178,7511,7649,-0.638469681,-0.5177376
179,4521,4336,-3.44173597,-3.67660439
180,2360,2164,-5.46777559,-5.74755479
181,970,534,-6.77096628,-7.30172107
182,689,615,-7.03441706,-7.2244895
183,1507,1310,-6.2675034,-6.56182351
184,3561,3469,-4.34178134,-4.5032683
185,6096,5865,-1.96509905,-2.21873922
186,9114,8787,0.864418569,0.567318365
187,11869,11839,3.44736126,3.47732786
188,14430,14248,5.84841978,5.77425213
189,15456,15706,6.81034326,7.16442049
190,15725,15974,7.06254347,7.41995213
191,14922,14989,6.30969303,6.48077803
192,12947,12928,4.4580372,4.51566349
193,10303,10283,1.97916226,1.99371882
194,7383,7783,-0.75847573,-0.389971784
195,4355,4452,-3.59736882,-3.56600115
196,2251,2075,-5.56996824,-5.83241418
197,1029,960,-6.71565099,-6.89554019
198,764,428,-6.96410101,-7.40278955
199,1703,1241,-6.08374414,-6.62761337
200,3583,3346,-4.3211553,-4.62054588
201,5985,5938,-2.06916679,-2.14913545
202,9190,9029,0.935672161,0.798059616
203,11892,12169,3.46892485,3.79197502
204,14223,14189,5.6543475,5.71799703
205,15457,15711,6.81128081,7.16918787
206,15844,15856,7.1741116,7.30744193
207,14782,15101,6.17843641,6.58756737
208,13025,13129,4.53116589,4.70731221
209,10416,10497,2.0851051,2.19776274
210,7248,7303,-0.885044609,-0.84764038
211,4706,4394,-3.26828973,-3.62130277
212,2226,2298,-5.59340693,-5.61978898
213,1108,765,-6.64158476,-7.08146806
214,560,453,-7.15536065,-7.37895265
215,1639,1209,-6.14374716,-6.65812461
216,3567,3411,-4.33615606,-4.55856992
217,5950,5970,-2.10198095,-2.11862421
218,9286,8992,1.0256767,0.762780995
219,11929,11970,3.50361409,3.60223325
220,14001,14133,5.44621201,5.66460236
221,15453,15702,6.80753062,7.16060659
222,15665,15831,7.00629064,7.28360502
223,14927,15152,6.31438077,6.63619465
224,12845,13032,4.36240738,4.61482502
225,10293,10438,1.96978678,2.14150764
226,7340,7396,-0.798790262,-0.75896709
227,4694,4402,-3.2795403,-3.61367496
228,2285,2145,-5.53809164,-5.76567084
229,861,691,-6.87315893,-7.1520253
230,697,480,-7.02691668,-7.35320879
231,1706,1241,-6.0809315,-6.62761337
232,3426,3367,-4.46835022,-4.60052287
233,6164,5875,-1.90134583,-2.20920446
234,9079,9000,0.831604416,0.770408805
235,11955,12069,3.52799032,3.6966274
236,14078,14220,5.51840315,5.74755479
237,15401,15563,6.75877816,7.02807339
238,15739,15792,7.07566914,7.24641945
239,15046,15124,6.42594889,6.60949732
240,12773,13064,4.29490398,4.64533626
241,10247,10381,1.92665961,2.0871595
242,7489,7651,-0.659095721,-0.515830648
243,4347,4388,-3.6048692,-3.62702363
244,2284,2243,-5.53902918,-5.67223017
245,1040,798,-6.70533797,-7.05000334
246,646,491,-7.07473159,-7.34272055
247,1732,1282,-6.05655527,-6.58852084
248,3572,3380,-4.33146832,-4.58812768
249,6114,5870,-1.9482232,-2.21397184
250,9018,8961,0.774414033,0.733223231
251,12025,11799,3.59361863,3.43918881
252,14052,14324,5.49402692,5.84671632
253,15433,15582,6.78877968,7.04618944
254,15916,15972,7.241615,7.41804517
255,14842,15016,6.23468925,6.50652188
256,13002,13048,4.5096023,4.63008064
257,10285,10455,1.96228641,2.15771674
258,7357,7818,-0.782851958,-0.356600115
259,4472,4477,-3.48767579,-3.54216424
260,2208,2161,-5.61028278,-5.75041522
261,1069,900,-6.6781491,-6.95274877
262,665,502,-7.05691819,-7.33223231
263,1664,1273,-6.12030848,-6.59710213
264,3501,3419,-4.39803418,-4.55094211
265,6104,5739,-1.95759867,-2.33887722
266,8858,8745,0.624406472,0.527272363
267,12010,12185,3.57955542,3.80723064
268,14338,14308,5.76216543,5.8314607
269,15433,15421,6.78877968,6.89267976
270,15734,15948,7.0709814,7.39516174
271,14939,15090,6.32563133,6.57707913
272,12852,13009,4.36897021,4.59289506
273,10149,10587,1.83477998,2.2835756
274,7389,7500,-0.752850446,-0.65980556
275,4499,4483,-3.46236201,-3.53644339
276,2381,2309,-5.4480871,-5.60930074
277,980,758,-6.76159081,-7.08814239
278,622,432,-7.09723272,-7.39897565
279,1471,1420,-6.3012551,-6.45694112
280,3512,3312,-4.38772116,-4.65296407
281,6172,6013,-1.89384546,-2.07762473
282,8979,8864,0.73784969,0.640736036
283,11826,11909,3.40704673,3.5440712
284,13946,14170,5.39464691,5.69988098
285,15630,15731,6.97347649,7.1882574
286,15718,15752,7.05598064,7.2082804
287,14910,14963,6.29844246,6.45598764
288,12754,13001,4.27709058,4.58526725
289,10358,10569,2.03072736,2.26641303
290,7352,7511,-0.787539695,-0.649317322
291,4514,4365,-3.44829881,-3.64895358
292,2244,2253,-5.57653108,-5.66269541
293,1123,638,-6.62752155,-7.20255954
294,739,501,-6.98753969,-7.33318579
295,1620,1345,-6.16156056,-6.52845184
296,3461,3336,-4.43553607,-4.63008064
297,5948,5857,-2.10385604,-2.22636703
298,9189,8991,0.934734614,0.761827518
299,12017,11985,3.58611825,3.61653539
300,14178,14337,5.61215787,5.85911152
301,15370,15554,6.7297142,7.0194921
302,15528,15804,6.87784667,7.25786116
303,14975,15118,6.35938303,6.60377646
304,12862,13079,4.37834568,4.6596384
305,10288,10347,1.96509905,2.0547413
306,7518,7280,-0.63190685,-0.869570334
307,4672,4633,-3.30016634,-3.39342195
308,2221,2303,-5.59809466,-5.6150216
309,1032,738,-6.71283835,-7.10721192
310,845,492,-6.88815969,-7.34176707
311,1664,1276,-6.12030848,-6.5942417
312,3370,3317,-4.52085287,-4.64819669
313,6055,5998,-2.00353848,-2.09192688
314,9300,9172,1.03880236,0.934406718
315,11699,12030,3.28797822,3.65944182
316,14207,14351,5.63934674,5.87246018
317,15407,15524,6.76440345,6.99088782
318,15760,15865,7.09535763,7.31602322
319,14836,14977,6.22906396,6.46933631
320,13065,13242,4.56866778,4.81505503
321,10165,10406,1.84978073,2.1109964
322,7292,7047,-0.84379253,-1.0917303
323,4394,4590,-3.56080448,-3.43442143
324,2423,2291,-5.40871012,-5.62646331
325,808,780,-6.92284893,-7.06716592
326,773,573,-6.95566309,-7.2645355
327,1575,1158,-6.20375019,-6.7067519
328,3490,3564,-4.40834719,-4.41268805
329,6002,5938,-2.05322849,-2.14913545
330,9321,8983,1.05849085,0.754199708
331,11700,11962,3.28891577,3.59460544
332,14251,14327,5.68059882,5.84957675
333,15419,15700,6.77565401,7.15869963
334,15809,16065,7.14129744,7.50671846
335,14896,14968,6.2853168,6.46075502
336,12929,12984,4.44116135,4.56905816
337,10323,10431,1.9979132,2.13483331
338,7259,7434,-0.874731589,-0.722734992
339,4574,4132,-3.39204597,-3.87111355
340,2196,2203,-5.62153334,-5.71036922
341,941,556,-6.79815515,-7.28074459
342,649,452,-7.07191895,-7.37990612
343,1810,1373,-5.98342658,-6.5017545
344,3398,3278,-4.49460154,-4.68538226
345,6041,5844,-2.01666415,-2.23876222
346,9189,8877,0.934734614,0.653131227
347,11812,11928,3.39392106,3.56218725
348,14291,14361,5.71810071,5.88199495
349,15535,15489,6.8844095,6.95751615
350,15688,15955,7.02785423,7.40183608
351,14867,14983,6.25812793,6.47505717
352,12929,13057,4.44116135,4.63866192
353,10312,10522,1.98760018,2.22159965
354,7413,7329,-0.730349312,-0.822849998
355,4568,4636,-3.39767125,-3.39056152
356,2503,2261,-5.33370634,-5.6550676
357,980,763,-6.76159081,-7.08337501
358,562,561,-7.15348556,-7.27597721
359,1622,1259,-6.15968547,-6.6104508
360,3548,3397,-4.35396945,-4.57191859
361,6092,5872,-1.96884924,-2.21206488
362,9069,9051,0.822228943,0.819036093
363,11877,11885,3.45486164,3.52118777
364,13975,14011,5.42183578,5.54827826
365,15567,15675,6.91441101,7.13486273
366,15610,15838,6.95472554,7.29027936
367,14775,15110,6.17187358,6.59614865
368,12948,12958,4.45897475,4.54426778
369,10323,10235,1.9979132,1.94795197
370,7430,7490,-0.714411009,-0.669340323
371,4386,4446,-3.56830485,-3.57172201
372,2341,2334,-5.48558899,-5.58546383
373,792,629,-6.93784969,-7.21114083
374,740,501,-6.98660215,-7.33318579
375,1710,1551,-6.07718131,-6.33203573
376,3332,2992,-4.55647966,-4.95807647
377,6200,5942,-1.86759413,-2.14532155
378,9162,8949,0.909420838,0.721781516
379,11817,11864,3.3986088,3.50116477
380,14085,14267,5.52496598,5.79236818
381,15436,15469,6.79159232,6.93844662
382,15805,15999,7.13754726,7.44378903
383,14917,15006,6.30500529,6.49698712
384,13033,13148,4.53866626,4.72542826
385,10230,10151,1.91072131,1.86785996
386,7507,7593,-0.64221987,-0.57113227
387,4633,4248,-3.33673068,-3.7605103
388,2359,2181,-5.46871314,-5.7313457
389,915,923,-6.82253138,-6.93081881
390,730,527,-6.99597762,-7.30839541
391,1559,1441,-6.21875095,-6.43691812
392,3537,3307,-4.36428247,-4.65773145
393,6134,5829,-1.92947225,-2.25306436
394,9172,9055,0.91879631,0.822849998
395,11994,12070,3.56455467,3.69758087
396,14054,13861,5.49590201,5.40525682
397,15577,15605,6.92378648,7.06811939
398,15742,15792,7.07848178,7.24641945
399,14778,15192,6.17468622,6.6743337
400,13039,13042,4.54429155,4.62435978
401,10141,10280,1.8272796,1.9908584
402,7364,7330,-0.776289127,-0.821896522
403,4612,4368,-3.35641917,-3.64609315
404,2290,2370,-5.5334039,-5.55113869
405,937,767,-6.80190534,-7.07956111
406,704,515,-7.02035385,-7.31983712
407,1577,1055,-6.20187509,-6.80495995
408,3532,3542,-4.36897021,-4.43366453
409,6040,5818,-2.01760169,-2.2635526
410,9217,9097,0.960985937,0.862896
411,12020,12115,3.58893089,3.7404873
412,13998,14010,5.44339936,5.54732478
413,15580,15645,6.92659912,7.10625844
414,15666,16170,7.00722819,7.60683347
415,14917,15041,6.30500529,6.53035879
416,12900,13116,4.41397248,4.69491702
417,10450,10393,2.1169817,2.09860121
418,7319,7430,-0.818478754,-0.726548897
419,4644,4368,-3.32641766,-3.64609315
420,2212,2211,-5.60653259,-5.70274141
421,821,837,-6.91066082,-7.01281777
422,726,500,-6.99972781,-7.33413926
423,1658,1387,-6.12593377,-6.48840584
424,3447,3305,-4.44866173,-4.6596384
425,5945,5929,-2.10666868,-2.15771674
426,9124,9007,0.873794042,0.777083138
427,12052,11954,3.61893241,3.58697763
428,14106,14250,5.54465447,5.77615908
429,15459,15514,6.81315591,6.98135305
430,15752,15845,7.08785725,7.29695369
431,14746,15055,6.14468471,6.54370746
432,12977,13183,4.48616362,4.75879993
433,10397,10434,2.0672917,2.13769374
434,7358,7626,-0.781914411,-0.539667554
435,4419,4410,-3.53736579,-3.60604715
436,2406,2320,-5.42464842,-5.5988125
437,1098,739,-6.65096023,-7.10625844
438,690,520,-7.03347951,-7.31506974
439,1470,1243,-6.30219265,-6.62570641
440,3439,3485,-4.4561621,-4.48801268
441,6142,6006,-1.92197187,-2.08429907
442,8984,8890,0.742537426,0.665526418
443,11944,11988,3.5176773,3.61939582
444,14093,14098,5.53246635,5.63123069
445,15629,15728,6.97253894,7.18539697
446,15648,15854,6.99035234,7.30553498
447,14830,14966,6.22343868,6.45884807
448,12950,13033,4.46084984,4.61577849
449,10097,10356,1.78602752,2.06332259
450,7305,7379,-0.831604416,-0.775176186
451,4570,4445,-3.39579616,-3.57267548
452,2458,2373,-5.37589596,-5.54827826
453,975,690,-6.76627854,-7.15297878
454,827,435,-6.90503554,-7.39611522
455,1608,1286,-6.17281113,-6.58470694
456,3539,3562,-4.36240738,-4.41459501
457,6170,5861,-1.89572055,-2.22255312
458,9060,8880,0.813791018,0.655991655
459,11926,12058,3.50080145,3.68613916
460,14309,14212,5.73497656,5.73992698
461,15416,15578,6.77284137,7.04237553
462,15868,15986,7.19661273,7.43139384
463,14847,15059,6.23937698,6.54752136
464,12889,13110,4.40365946,4.68919616
465,10363,10453,2.03541509,2.15580979
466,7180,7394,-0.948797822,-0.760874042
467,4733,4363,-3.24297596,-3.65086054
468,2320,2125,-5.50527748,-5.78474037
469,982,787,-6.75971571,-7.06049158
470,726,408,-6.99972781,-7.42185908
471,1611,1312,-6.16999849,-6.55991655
472,3321,3324,-4.56679268,-4.64152235
473,6242,6081,-1.82821715,-2.01278835
474,9042,8824,0.796915167,0.602596986
475,11875,11982,3.45298654,3.61367496
476,14215,14306,5.64684712,5.82955375
477,15396,15525,6.75409043,6.99184129
478,15899,15938,7.2256767,7.38562698
479,14919,15284,6.30688039,6.76205352
480,13035,13063,4.54054136,4.64438278
481,10099,10342,1.78790262,2.04997392
482,7297,7430,-0.839104794,-0.726548897
483,4716,4373,-3.25891426,-3.64132577
484,2311,2151,-5.51371541,-5.75994999
485,1015,1016,-6.72877665,-6.84214552
486,715,407,-7.01004083,-7.42281255
487,1816,1203,-5.9778013,-6.66384546
488,3413,3362,-4.48053833,-4.60529026
489,6123,5910,-1.93978527,-2.17583279
490,9220,9056,0.963798579,0.823803474
491,12074,12205,3.63955845,3.82630016
492,14049,14150,5.49121427,5.68081146
493,15416,15516,6.77284137,6.98326001
494,15685,15779,7.02504158,7.23402426
495,14753,15180,6.15124754,6.66289199
496,13030,13212,4.53585362,4.78645074
497,10340,10541,2.0138515,2.2397157
498,7209,7367,-0.921608952,-0.786617901
499,4801,4481,-3.17922274,-3.53835034
500,2168,2157,-5.64778467,-5.75422913
501,800,766,-6.93034931,-7.08051458
502,798,710,-6.93222441,-7.13390925
503,1573,1309,-6.20562528,-6.56277698
504,3593,3325,-4.31177983,-4.64056888
505,6158,6130,-1.90697112,-1.96606801
506,9099,8628,0.850355361,0.415715642
507,11861,11924,3.43986088,3.55837334
508,14216,14282,5.64778467,5.80667032
509,15476,15603,6.82909421,7.06621244
510,15788,15888,7.12160895,7.33795317
511,14767,15265,6.1643732,6.74393747
512,12834,13184,4.35209436,4.75975341
513,10301,10361,1.97728716,2.06808997
514,7356,7580,-0.783789506,-0.583527461
515,4722,4473,-3.25328898,-3.54597815
516,2004,2065,-5.80154242,-5.84194894
517,1091,1000,-6.65752306,-6.85740114
518,723,540,-7.00254045,-7.29600021
519,1807,1612,-5.98623923,-6.27387368
520,3364,3499,-4.52647815,-4.47466401
521,6129,5767,-1.93415999,-2.31217989
522,8942,8762,0.703160442,0.543481459
523,11985,12234,3.55611674,3.85395098
524,14090,14055,5.52965371,5.59023121
525,15464,15700,6.81784364,7.15869963
526,15838,15973,7.16848631,7.41899865
527,14933,15122,6.32000605,6.60759037
528,12965,13031,4.47491305,4.61387154
529,10356,10185,2.02885226,1.90027815
530,7490,7343,-0.658158173,-0.809501331
531,4536,4558,-3.42767277,-3.46493267
532,2363,2209,-5.46496295,-5.70464836
533,941,645,-6.79815515,-7.19588521
534,711,594,-7.01379102,-7.2445125
535,1574,1558,-6.20468774,-6.3253614
536,3411,3278,-4.48241343,-4.68538226
537,6212,6021,-1.85634357,-2.06999692
538,9059,8993,0.81285347,0.763734471
539,11918,11963,3.49330107,3.59555891
540,14242,14091,5.6721609,5.62455636
541,15491,15614,6.84315742,7.07670068
542,15887,15957,7.21442613,7.40374303
543,14771,15353,6.16812339,6.82784338
544,12885,13151,4.39990927,4.72828869
545,10393,10427,2.06354151,2.1310194
546,7268,7367,-0.866293664,-0.786617901
547,4601,4398,-3.36673219,-3.61748887
548,2271,2060,-5.5512173,-5.84671632
549,1124,985,-6.626584,-6.87170329
550,716,272,-7.00910328,-7.55153185
551,1606,1350,-6.17468622,-6.52368446
552,3351,3312,-4.53866626,-4.65296407
553,6253,6054,-1.81790413,-2.03853221
554,9057,8877,0.810978376,0.653131227
555,11871,12229,3.44923635,3.84918359
556,14048,14131,5.49027673,5.66269541
557,15640,15676,6.98285196,7.13581621
558,15836,15883,7.16661122,7.33318579
559,14834,15317,6.22718887,6.79351823
560,13008,12934,4.51522758,4.52138435
561,10338,10464,2.01197641,2.16629802
562,7396,7374,-0.746287615,-0.779943567
563,4655,4427,-3.31610464,-3.58983806
564,2248,2163,-5.57278089,-5.74850827
565,1032,1018,-6.71283835,-6.84023857
566,611,334,-7.10754574,-7.49241632
567,1609,1335,-6.17187358,-6.5379866
568,3499,3299,-4.39990927,-4.66535926
569,6201,5935,-1.86665659,-2.15199588
570,9100,8901,0.851292908,0.676014657
571,11995,12125,3.56549221,3.75002207
572,14085,14304,5.52496598,5.8276468
573,15523,15664,6.87315893,7.12437449
574,15699,15860,7.03816725,7.31125583
575,14952,14992,6.33781945,6.48363845
576,12936,13108,4.44772418,4.68728921
577,10426,10403,2.09448057,2.10813597
578,7246,7539,-0.886919704,-0.622619987
579,4561,4333,-3.40423408,-3.67946482
580,2481,2300,-5.35433238,-5.61788203
581,962,838,-6.77846666,-7.01186429
582,699,506,-7.02504158,-7.32841841
583,1693,1385,-6.09311961,-6.49031279
584,3494,3321,-4.40459701,-4.64438278
585,6300,6084,-1.77383941,-2.00992792
586,9059,8993,0.81285347,0.763734471
587,11756,11938,3.34141842,3.57172201
