# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:56:27+00:00
# capture_name=harmonics_1vpp_1to100_profile5Vdiv_g45p00_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1280
# firmware_status_timestamp=2026-08-23T20:56:27+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=5
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=5
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to100_profile5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,2250,1908,-15.6266642,-16.6373228
1,3944,3749,-11.1716711,-11.7631485
2,6367,6155,-4.79950559,-5.39309779
3,9118,9179,2.43525598,2.61315047
4,11428,11634,8.51024662,9.11293205
5,13597,13790,14.2144261,14.8210905
6,14847,14927,17.5017587,17.8313763
7,15099,15243,18.164485,18.6680081
8,14320,14227,16.1158193,15.9780781
9,12637,13096,11.6897547,12.9836777
10,10091,10165,4.99411567,5.22365338
11,7482,7642,-1.86720491,-1.45616288
12,4878,4732,-8.71537617,-9.16058829
13,2886,2828,-13.9540694,-14.2015594
14,1644,1529,-17.2203631,-17.6407514
15,1384,1219,-17.9041282,-18.4614977
16,2264,2161,-15.5898461,-15.9674879
17,3915,3521,-11.2479372,-12.3667942
18,6353,6006,-4.83632371,-5.78758555
19,9003,8887,2.13282139,1.84006036
20,11577,11736,8.90209666,9.38298407
21,13619,13494,14.2722832,14.0374101
22,14917,14811,17.6858493,17.5242583
23,15061,15371,18.0645501,19.0068969
24,14299,14433,16.0605921,16.5234773
25,12639,12671,11.6950144,11.858461
26,10207,10259,5.29918014,5.47252485
27,7548,7412,-1.69363375,-2.06510372
28,4910,4955,-8.63122046,-8.57018043
29,2843,2587,-14.0671536,-14.8396235
30,1641,1417,-17.2282527,-17.9372791
31,1438,1266,-17.7621155,-18.337062
32,2152,1902,-15.8843911,-16.6532082
33,3841,3996,-11.4425473,-11.109199
34,6270,6149,-5.05460259,-5.4089832
35,9146,8970,2.50889223,2.05980858
36,11562,11857,8.86264867,9.70333991
37,13494,13463,13.9435499,13.9553355
38,14851,14976,17.5122782,17.9611072
39,15030,15294,17.9830242,18.8030341
40,14325,14105,16.1289686,15.6550747
41,12579,12803,11.5372225,12.2079401
42,10202,10172,5.28603081,5.24218636
43,7561,7621,-1.65944549,-1.51176182
44,4845,4819,-8.80216175,-8.9302498
45,2923,2877,-13.8567643,-14.0718285
46,1576,1461,-17.3991939,-17.8207861
47,1430,1000,-17.7831544,-19.0413153
48,2230,2262,-15.6792615,-15.7000834
49,3861,3774,-11.38995,-11.6969593
50,6424,6170,-4.64960322,-5.35338425
51,9018,8859,2.17226938,1.76592844
52,11451,11567,8.57073354,8.93554494
53,13617,13815,14.2670235,14.8872798
54,14845,14805,17.496499,17.5083729
55,15135,15257,18.2591602,18.7050741
56,14269,14286,15.9816961,16.1342847
57,12606,12951,11.6082289,12.5997803
58,10089,10200,4.98885594,5.31631829
59,7463,7690,-1.91717237,-1.32907957
60,4883,4873,-8.70222684,-8.78728108
61,2883,2836,-13.961959,-14.1803789
62,1620,1526,-17.2834798,-17.6486941
63,1475,936,-17.6648104,-19.2107597
64,2264,2071,-15.5898461,-16.2057691
65,3899,3445,-11.2900151,-12.5680094
66,6495,6269,-4.46288273,-5.09127494
67,9035,8963,2.2169771,2.0412756
68,11522,11615,8.75745403,9.06262824
69,13570,13747,14.1434197,14.7072451
70,14845,14583,17.496499,16.9206126
71,15096,15237,18.1565954,18.6521227
