# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_validated_after_adc_range_correction
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:37:26+00:00
# capture_name=harmonics_1vpp_1to1_profile50mVdiv_g45p44_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=2862
# firmware_status_timestamp=2026-08-23T20:37:26+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.44
# firmware_afe_ch1_offset_pct=51.50
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=45.44
# firmware_afe_ch2_offset_pct=51.50
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=45.4400
# afe_offset_pct_ch1=51.5000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.05
# calibration_volts_per_code_ch1=2.44116517637e-05
# calibrated_volts_per_div_ch1=0.049995062812
# displayed_volts_per_div_ch1=0.05
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=45.4400
# afe_offset_pct_ch2=51.5000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.05
# calibration_volts_per_code_ch2=2.46406002339e-05
# calibrated_volts_per_div_ch2=0.0504639492791
# displayed_volts_per_div_ch2=0.05
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to1_profile50mVdiv_g45p44
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,15048,15139,0.167366284,0.17117825
1,13935,13786,0.140196116,0.137839518
2,11861,12081,0.0895663503,0.0958272943
3,9103,9409,0.0222390148,0.0299876105
4,6848,6570,-0.03280926,-0.0399670536
5,4489,4453,-0.0903963465,-0.0921312043
6,2465,2782,-0.13980553,-0.133305647
7,1569,1852,-0.16167837,-0.156221405
8,1930,1339,-0.152865763,-0.168862033
9,3090,2600,-0.124548247,-0.137790237
10,4909,4887,-0.0801434527,-0.0814371838
11,7523,7460,-0.016331395,-0.0180369194
12,10030,10052,0.0448686159,0.0458315164
13,12435,12346,0.103578638,0.102357053
14,14229,14176,0.147373142,0.147449352
15,15182,15274,0.170637446,0.174504731
16,15013,15237,0.166511877,0.173593029
17,13739,13792,0.135411432,0.137987361
18,11959,12277,0.0919586922,0.100656852
19,9366,9511,0.0286592792,0.0325009517
20,6874,6785,-0.032174557,-0.0346693245
21,4571,4352,-0.088394591,-0.0946199049
22,2561,2648,-0.137462011,-0.136607488
23,1727,1429,-0.157821329,-0.166644379
24,1859,1732,-0.154598991,-0.159178278
25,2957,2440,-0.127794997,-0.141732733
26,5028,4804,-0.0772384662,-0.0834823536
27,7565,7417,-0.0153061057,-0.0190964652
28,10017,10134,0.0445512645,0.0478520457
29,12345,12545,0.10138159,0.107260533
30,14190,14325,0.146421087,0.151120801
31,15197,15279,0.171003621,0.174627934
32,15188,15117,0.170783916,0.170636157
33,13718,13753,0.134898788,0.137026378
34,11724,12145,0.086221954,0.0974042927
35,9343,9224,0.0280978112,0.0254290994
36,6882,7184,-0.0319792638,-0.024837725
37,4297,4175,-0.0950833836,-0.0989812911
38,2599,2151,-0.136534368,-0.148853866
39,1617,1707,-0.16050661,-0.159794293
40,1826,1663,-0.155404575,-0.160878479
41,3086,2382,-0.124645894,-0.143161887
42,4893,4893,-0.0805340392,-0.0812893402
43,7492,7412,-0.0170881562,-0.0192196682
44,10115,9843,0.0469436063,0.040681631
45,12424,12545,0.10331011,0.107260533
46,14110,14352,0.144468155,0.151786097
47,15147,15242,0.169783038,0.173716232
48,14906,15039,0.16389983,0.16871419
49,13736,13953,0.135338197,0.141954498
50,11868,11936,0.0897372319,0.0922544073
51,9353,9733,0.0283419277,0.037971165
52,6977,6709,-0.0296601569,-0.0365420101
53,4373,4132,-0.0932280981,-0.100040837
54,2429,2381,-0.140684349,-0.143186528
55,1697,1757,-0.158553678,-0.158562263
56,1994,1518,-0.151303418,-0.164451366
57,3003,2947,-0.126672061,-0.129239948
58,4926,4717,-0.0797284547,-0.0856260858
59,7495,7081,-0.0170149213,-0.0273757069
60,9986,10226,0.0437945033,0.0501189809
61,12573,12868,0.106947446,0.115219447
62,14329,14174,0.149814307,0.147400071
63,15093,15302,0.168464809,0.175194668
64,14884,14858,0.163362774,0.164254241
65,13780,13711,0.13641231,0.135991473
66,11809,11919,0.0882969444,0.0918355171
67,9268,9442,0.0262669373,0.0308007503
68,6752,6787,-0.0351527785,-0.0346200433
69,4285,4289,-0.0953763234,-0.0961722627
