# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:34:11+00:00
# capture_name=harmonics_2vpp_1to100_profile0p5Vdiv_g55p50_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=624
# firmware_status_timestamp=2026-08-23T21:34:11+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000246821293355
# calibrated_volts_per_div_ch1=0.50549000879
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.000253357015986
# calibrated_volts_per_div_ch2=0.518875168739
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile0p5Vdiv_g55p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=3.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,13324,13425
1,10491,10973
2,7919,7935
3,5001,5295
4,2817,2770
5,1303,1434
6,908,738
7,2125,1721
8,3285,3330
9,5655,5595
10,8590,8536
11,11621,11415
12,13458,13568
13,15409,15328
14,15451,15563
15,14955,15183
16,12827,13154
17,10806,10978
18,7882,8137
19,5230,5200
20,2721,2705
21,1214,1317
22,1037,689
23,1511,1517
24,3266,3300
25,5637,5534
26,8830,8738
27,11471,11310
28,13585,13742
29,15074,15323
30,15245,15605
31,14935,14909
32,12985,13173
33,10637,10833
34,8073,7993
35,5024,5314
36,2708,2787
37,1653,1196
38,1093,918
39,1404,1421
40,3463,3240
41,5615,5533
42,8949,8722
43,11440,11386
44,13599,13866
45,15009,15178
46,15282,15618
47,14991,15020
48,13270,13101
49,10823,10854
50,7805,7733
51,5076,5121
52,2807,2839
53,1307,1385
54,1147,830
55,1500,1486
56,3476,3229
57,5521,5619
58,8924,8786
59,11341,11235
60,13588,13649
61,14903,15099
62,15354,15513
63,14939,15018
64,12863,13306
65,10632,10787
66,7763,7867
67,5179,5174
68,2585,2657
69,1502,1385
70,978,932
71,1197,1364
72,3921,3515
73,5640,5571
74,8782,8550
75,11118,11262
76,13776,13727
77,15055,15235
78,15813,15770
79,14555,14955
80,13166,13392
81,10744,10970
82,8014,7832
83,4814,5105
84,2715,2728
85,1738,1217
86,729,822
87,1978,1674
88,3088,3122
89,6027,5842
90,8683,8599
91,11218,11378
92,14049,13901
93,14882,15258
94,15554,15490
95,14564,15094
96,13197,13399
97,10687,10726
98,7756,7847
99,5046,5410
100,2746,2892
101,1668,1509
102,882,768
103,1912,1677
104,3068,3159
105,5782,5650
106,8852,8615
107,11305,11470
108,13493,13551
109,15306,15362
110,15564,15481
111,14670,14993
112,13229,13410
113,10455,10673
114,7992,7962
115,4884,5154
116,3031,3032
117,1269,1384
118,985,866
119,2026,1735
120,3090,3174
121,5719,5594
122,8758,8806
123,11277,11251
124,13476,13614
125,14758,15236
126,15571,15553
127,14876,15161
128,12979,13237
129,10753,10872
130,7593,7930
131,4987,5185
132,2921,2802
133,1477,1545
134,1055,1011
135,1385,1441
136,3346,3324
137,5907,5438
138,8712,8718
139,11222,11189
140,13980,13830
141,14911,15127
142,15513,15616
143,14826,15070
144,13044,13422
145,10968,11041
146,7668,7838
147,5206,5113
148,2552,2626
149,1546,1450
150,1090,666
151,1698,1584
152,3251,3267
153,5792,5724
154,8439,8401
155,11318,11548
156,13611,13726
157,14957,15185
158,15882,15809
159,14627,15073
160,13306,13342
161,10609,10879
162,7737,7916
163,5080,5092
164,2827,3028
165,1436,1328
166,1120,739
167,1947,1564
168,3150,3126
169,5571,5601
170,8531,8492
171,11328,11105
172,13690,13748
173,15175,15163
174,15510,15813
175,14861,15038
