# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:37:52+00:00
# capture_name=harmonics_2vpp_1to100_profile2Vdiv_g49p66_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1023
# firmware_status_timestamp=2026-08-23T21:37:52+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.66
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.66
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=49.6600
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.000937547255406
# calibrated_volts_per_div_ch1=1.92009677907
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=49.6600
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00095347624333
# calibrated_volts_per_div_ch2=1.95271934634
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile2Vdiv_g49p66
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=12.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,4805,4668
1,7831,7692
2,10594,10633
3,13157,13263
4,14899,15010
5,15767,15856
6,15290,15525
7,13906,14077
8,11740,11958
9,8719,8909
10,5755,5776
11,3287,3281
12,1509,1380
13,797,649
14,1000,886
15,2518,2357
16,4941,4817
17,7752,7626
18,10545,10602
19,13214,13269
20,14937,15038
21,15747,15861
22,15286,15599
23,13874,14184
24,11592,11735
25,8812,9013
26,5729,5786
27,3168,3278
28,1538,1379
29,729,574
30,1092,936
31,2445,2380
32,4942,4851
33,7667,7535
34,10538,10529
35,13308,13311
36,14934,15302
37,15713,15929
38,15407,15689
39,13859,14058
40,11665,11921
41,8844,9035
42,5773,5955
43,3163,3188
44,1488,1402
45,691,621
46,1075,907
47,2473,2316
48,4882,4788
49,7792,7618
50,10553,10648
51,13175,13229
52,14974,15232
53,15700,15867
54,15399,15661
55,13876,14162
56,11540,11703
57,8773,8881
58,5841,5926
59,3307,3288
60,1287,1249
61,737,661
62,1093,927
63,2507,2410
64,4947,4823
65,7657,7646
66,10597,10591
67,13265,13281
68,15045,15174
69,15652,15844
70,15396,15623
71,13811,14103
72,11618,11722
73,8780,8887
74,5764,5868
75,3393,3417
76,1483,1317
77,781,711
78,1038,983
79,2483,2389
80,4779,4804
81,7786,7694
82,10655,10688
83,13203,13216
84,14964,15185
85,15833,16017
86,15374,15652
87,13887,14098
88,11593,11733
89,8680,8856
90,5963,5902
91,3194,3269
92,1522,1418
93,700,647
94,1113,987
95,2456,2292
96,4883,4782
97,7653,7562
98,10608,10695
99,13103,13194
100,15078,15153
101,15704,15827
102,15368,15591
103,13793,14112
104,11736,11861
105,8596,8830
106,5882,5878
107,3394,3254
108,1386,1362
109,663,638
110,1080,807
111,2540,2306
112,4839,4838
113,7614,7578
114,10552,10605
115,13338,13318
116,14889,15139
117,15612,15958
118,15453,15640
119,13882,14155
120,11625,11732
121,8688,8809
122,5724,5843
123,3332,3221
124,1393,1365
125,696,716
126,1050,997
127,2481,2218
128,4841,4754
129,7589,7639
130,10772,10760
131,13079,13231
132,14986,15184
133,15650,15915
134,15373,15707
135,13863,14151
136,11667,11798
137,8779,8842
138,5780,5883
139,3261,3284
140,1502,1321
141,715,661
142,1071,895
143,2487,2438
144,4846,4744
145,7709,7651
146,10594,10538
147,13277,13243
148,15044,15125
149,15741,15965
150,15372,15625
151,13867,14055
152,11633,11786
153,8743,8854
154,5842,5889
155,3248,3288
156,1448,1459
157,674,709
158,1111,865
159,2471,2429
160,4790,4743
161,7687,7667
162,10532,10650
163,13157,13211
164,15037,15138
165,15713,15888
166,15389,15682
167,13828,14095
168,11578,11850
169,8710,8865
170,5683,5732
171,3283,3203
172,1519,1403
173,762,674
174,1108,979
175,2477,2411
176,4965,4842
177,7802,7766
