# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:39:53+00:00
# capture_name=harmonics_2vpp_1to100_profile5Vdiv_g45p00_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1232
# firmware_status_timestamp=2026-08-23T21:39:53+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0300
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_profile5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=20
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,3881,3905
1,4020,3890
2,4706,4650
3,6012,5961
4,7576,7517
5,9209,9280
6,10778,10875
7,11874,11976
8,12461,12467
9,12438,12620
10,11684,11776
11,10413,10506
12,8958,9073
13,7172,7270
14,5659,5623
15,4574,4490
16,3890,3905
17,4007,3884
18,4727,4692
19,5928,5837
20,7607,7598
21,9187,9209
22,10826,10796
23,11911,11967
24,12521,12461
25,12432,12582
26,11738,11836
27,10481,10632
28,8951,8862
29,7172,7191
30,5661,5561
31,4518,4485
32,3946,3887
33,4037,3886
34,4734,4539
35,5958,5739
36,7627,7560
37,9194,9219
38,10846,10808
39,11973,11945
40,12449,12548
41,12406,12472
42,11722,11869
43,10562,10513
44,8955,8960
45,7097,7187
46,5714,5630
47,4608,4568
48,3941,3865
49,4043,3906
50,4747,4712
51,5985,5848
52,7512,7637
53,9206,9188
54,10802,10904
55,11900,11951
56,12462,12498
57,12444,12630
58,11757,11876
59,10477,10706
60,8908,8915
61,7238,7221
62,5714,5631
63,4529,4392
64,3881,3911
65,4048,3977
66,4724,4539
67,5930,5826
68,7644,7639
69,9247,9230
70,10838,10868
71,11876,12050
72,12476,12549
73,12348,12478
74,11749,11820
75,10411,10471
76,8928,9013
77,7154,7230
78,5673,5657
79,4516,4464
80,3873,3849
81,4053,3897
82,4709,4681
83,5951,5882
84,7581,7528
85,9194,9194
86,10784,10855
87,11930,12004
88,12457,12451
89,12484,12619
90,11718,11755
91,10528,10767
92,8869,8889
93,7241,7314
94,5615,5603
95,4565,4481
96,3961,3950
97,4033,3836
98,4755,4667
99,5945,5857
100,7616,7618
101,9311,9197
102,10846,10789
103,11876,11998
104,12455,12493
105,12412,12629
106,11706,11894
107,10475,10707
108,8866,8831
109,7174,7216
110,5629,5536
111,4519,4510
112,3941,3910
113,4042,3949
114,4648,4499
115,5972,5829
116,7597,7652
117,9221,9196
118,10793,10789
119,11894,11986
120,12451,12562
121,12441,12570
122,11671,11854
123,10510,10617
124,8922,8922
125,7267,7396
126,5556,5614
127,4565,4412
128,3898,3910
129,3997,3950
130,4747,4648
131,5986,5904
132,7524,7537
133,9248,9234
134,10730,10787
135,11921,12025
136,12449,12472
137,12441,12640
138,11693,11870
139,10491,10503
140,8868,9049
141,7184,7252
142,5700,5601
143,4519,4464
144,3895,3920
145,4015,3879
146,4654,4692
147,5985,5802
148,7562,7650
149,9301,9309
150,10811,10861
151,11913,11953
152,12501,12463
153,12422,12535
154,11683,11891
155,10498,10587
156,8852,8942
157,7146,7279
158,5725,5625
159,4534,4507
160,3903,3866
161,3999,3889
162,4741,4651
163,5982,5817
164,7614,7571
165,9214,9185
166,10794,10866
167,11921,11947
168,12470,12459
169,12485,12601
170,11717,11831
171,10483,10644
172,8919,8819
