# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=1
# original_recorded_adc_range_vpp_ch2=1
# physical_adc_range_vpp_ch1=2
# physical_adc_range_vpp_ch2=2
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:16:14+00:00
# capture_name=harmonics_2vpp_1to1_profile20mVdiv_g49p50_05.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45983
# firmware_status_timestamp=2026-08-23T21:16:14+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.50
# firmware_afe_ch1_offset_pct=51.30
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.50
# firmware_afe_ch2_offset_pct=51.30
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.5000
# afe_offset_pct_ch1=51.3000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.5000
# afe_offset_pct_ch2=51.3000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_profile20mVdiv_g49p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.14
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=5
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,11940,12207
1,9263,9260
2,6475,6427
3,3993,4035
4,2273,2132
5,1142,1053
6,1227,1222
7,2586,2293
8,4708,4263
9,7262,7489
10,10036,10016
11,12548,12585
12,14697,14729
13,15517,15533
14,15355,15707
15,14024,14205
16,12033,12071
17,9336,9360
18,6361,6642
19,3984,3634
20,2141,1783
21,1116,1226
22,1352,1230
23,2438,2133
24,4582,4567
25,7178,7067
26,9981,10197
27,12536,12702
28,14688,14537
29,15544,15547
30,15276,15687
31,14078,14228
32,11681,12124
33,9242,9541
34,6673,6537
35,3900,3863
36,2020,2128
37,1037,933
38,1258,1191
39,2313,2203
40,4831,4468
41,7205,7025
42,10114,10309
43,12717,12689
44,14441,14450
45,15377,15616
46,15351,15406
47,14184,14242
48,11935,12054
49,9230,9332
50,6430,6395
51,3913,3834
52,2128,1650
53,1025,1136
54,1059,1304
55,2503,2051
56,4402,4143
57,7239,7480
58,9896,9934
59,12716,12686
60,14353,14658
61,15444,15608
62,15272,15424
63,13873,14200
64,11816,12078
65,9214,9313
66,6278,6301
67,3876,3926
68,2134,1754
69,831,811
70,1229,1155
71,2360,2003
72,4474,4406
73,7177,7163
74,9922,9822
75,12482,12851
76,14513,14573
77,15525,15438
78,15193,15348
79,13819,14289
80,11839,11840
81,9183,9166
82,6226,6441
83,3903,3677
84,1841,1866
85,883,1077
86,1202,781
87,2400,2193
88,4416,4156
89,7280,7058
90,9998,10221
91,12632,12580
92,14544,14451
93,15331,15610
94,15017,15368
95,13865,14076
96,11837,11946
97,9096,9273
98,6410,6244
99,3737,3736
100,1850,1767
101,1031,954
102,1089,978
103,2286,2066
104,4474,4178
105,7251,7160
106,9785,9918
107,12514,12711
108,14369,14541
109,15369,15323
110,15325,15203
111,13731,14142
112,11647,11940
113,9197,9285
114,6264,6348
115,3799,3758
116,1897,1583
117,939,851
118,1096,923
119,2431,2087
120,4277,4238
121,7263,7180
122,10061,9951
123,12512,12659
124,14420,14554
125,15356,15568
126,15124,15467
127,13927,14166
128,11904,12121
129,9215,9317
130,6416,6407
131,3915,3646
132,2012,1688
133,812,1067
134,1125,937
135,2340,2150
136,4511,4377
137,7317,7275
138,9888,10015
139,12477,12686
140,14567,14636
141,15500,15293
142,15192,15360
143,13928,14114
144,11980,12290
145,9106,9434
146,6555,6284
147,4023,3914
148,1935,1913
149,1102,968
150,1243,801
151,2273,2321
152,4697,4504
153,7375,7019
154,9943,10183
155,12428,12589
156,14538,14512
157,15426,15549
158,15311,15392
159,14050,14189
160,11739,12206
161,9401,9341
162,6455,6275
163,3694,3917
164,2012,1874
165,1216,1033
166,1137,1217
167,2471,1977
168,4628,4396
169,7233,7427
170,10118,10029
171,12687,12500
172,14422,14768
173,15579,15937
174,15370,15172
175,13986,14349
176,11959,12436
177,9392,9328
178,6529,6623
179,3876,4034
180,2211,2037
181,1065,1015
182,1203,1117
