# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:28:00+00:00
# capture_name=harmonics_2vpp_1to1_profile50mVdiv_g45p44_06.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=47980
# firmware_status_timestamp=2026-08-23T21:28:00+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.44
# firmware_afe_ch1_offset_pct=51.30
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.44
# firmware_afe_ch2_offset_pct=51.30
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=45.4400
# afe_offset_pct_ch1=51.3000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=2.44116517637e-05
# calibrated_volts_per_div_ch1=0.049995062812
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=45.4400
# afe_offset_pct_ch2=51.3000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=2.46406002339e-05
# calibrated_volts_per_div_ch2=0.0504639492791
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_profile50mVdiv_g45p44
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.36
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=6
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,11314,11444
1,8305,8514
2,5503,5483
3,2951,2912
4,1395,1063
5,616,516
6,1063,1055
7,2841,2578
8,5224,5094
9,8209,8215
10,11120,10924
11,13459,13604
12,15148,15346
13,15871,15994
14,15445,15665
15,13768,13866
16,11369,11505
17,8388,8451
18,5614,5790
19,2971,2875
20,1255,1048
21,656,529
22,1236,956
23,2688,2473
24,5159,5197
25,8243,8128
26,11106,11028
27,13458,13646
28,15235,15444
29,15872,15915
30,15347,15469
31,13788,13971
32,11388,11306
33,8406,8487
34,5411,5464
35,3142,2966
36,1265,1245
37,659,668
38,1190,965
39,2763,2629
40,5291,5220
41,8085,8053
42,11135,11221
43,13472,13569
44,15198,15353
45,15866,16132
46,15336,15488
47,13723,13872
48,11328,11525
49,8495,8473
50,5541,5596
51,2915,2940
52,1305,1063
53,671,382
54,1131,941
55,2756,2619
56,5303,5113
57,8111,8028
58,11024,10982
59,13537,13624
60,15154,15460
61,15781,15878
62,15331,15498
63,13701,13812
64,11315,11493
65,8358,8443
66,5528,5426
67,2912,2906
68,1305,1099
69,654,444
70,1087,916
71,2698,2510
72,5205,5031
73,8093,8140
74,11092,11013
75,13445,13618
76,15253,15424
77,15896,15960
78,15271,15484
79,13665,13861
80,11401,11464
81,8402,8432
82,5388,5278
83,3051,3054
84,1246,1163
85,652,476
86,1163,956
87,2617,2479
88,5213,5042
89,8206,8102
90,10957,10859
91,13576,13643
92,15162,15355
93,15755,15898
94,15259,15530
95,13815,14016
96,11266,11387
97,8446,8597
98,5477,5586
99,2858,2748
100,1222,1048
101,620,549
102,1163,699
103,2666,2589
104,5340,5155
105,7982,7856
106,11015,10945
107,13527,13520
108,15197,15443
109,15747,15901
110,15342,15387
111,13768,14006
112,11209,11384
113,8296,8308
114,5447,5231
115,2920,2862
116,1344,1122
117,642,489
118,1082,922
119,2683,2518
120,5241,5102
121,8029,8119
122,11086,10960
123,13514,13605
124,15117,15399
125,15871,15999
126,15277,15466
127,13665,13881
128,11471,11457
129,8443,8330
130,5287,5377
131,2890,2886
132,1207,1033
133,637,535
134,1224,1021
135,2784,2523
136,5225,5186
137,7985,7967
138,11051,11103
139,13442,13622
140,15185,15485
141,15865,15896
142,15318,15367
143,13679,13877
144,11305,11479
145,8448,8511
146,5454,5374
147,2928,2841
148,1367,1138
149,660,498
150,1182,831
151,2647,2504
152,5188,5148
153,8192,7990
154,11061,10998
155,13509,13725
156,15150,15332
157,15878,16029
158,15374,15434
159,13713,13868
160,11200,11462
161,8397,8471
162,5560,5579
163,3037,2896
164,1205,1044
165,643,478
166,1146,955
167,2737,2633
168,5206,5114
169,8204,8119
170,11040,10990
171,13496,13618
172,15087,15360
173,15872,16136
174,15379,15609
175,13756,13863
176,11249,11398
177,8415,8424
178,5449,5366
179,3071,3155
180,1183,1243
181,599,467
182,1198,934
183,2835,2539
184,5261,5148
185,8093,8061
186,11098,11091
187,13578,13655
188,15227,15477
189,15880,15996
190,15321,15358
191,13625,13881
192,11417,11555
193,8459,8472
194,5353,5366
195,3140,3074
196,1199,1082
197,626,413
198,1197,905
199,2739,2560
200,5249,5185
201,8044,7866
202,11118,11122
203,13464,13688
204,15353,15405
205,15848,15966
206,15362,15530
207,13839,14004
208,11298,11430
209,8397,8440
210,5379,5323
211,2998,2984
212,1283,1217
213,687,526
214,1182,889
215,2792,2689
216,5264,5124
217,8149,8127
218,11227,11155
219,13587,13564
220,15128,15429
221,15849,16111
222,15357,15369
223,13661,13981
224,11287,11505
225,8539,8395
226,5616,5406
227,2836,2939
228,1241,1039
229,678,598
230,1158,932
231,2748,2587
232,5204,5047
233,8141,8059
234,11215,11108
235,13490,13574
236,15213,15429
237,15841,15934
238,15332,15621
239,13709,13960
240,11378,11322
241,8553,8521
242,5400,5496
243,2873,2848
244,1341,1145
245,727,503
246,1141,866
247,2881,2555
248,5096,5066
249,8215,8286
250,11118,10944
251,13552,13675
252,15207,15374
253,15887,15935
254,15345,15526
255,13788,13827
256,11322,11542
257,8408,8427
258,5442,5393
259,2962,2907
260,1202,1160
261,716,490
262,1247,975
263,2776,2642
264,5214,5125
265,8175,8042
266,11074,11099
267,13553,13616
268,15211,15342
269,15825,15828
270,15332,15488
271,13761,13892
272,11407,11428
273,8298,8371
274,5432,5583
275,2916,2828
276,1389,1099
277,634,455
278,1075,1034
279,2683,2483
280,5228,5046
281,8153,8038
282,11158,11055
283,13506,13691
284,15297,15380
285,15782,16053
286,15360,15614
287,13692,13841
288,11388,11428
289,8417,8437
290,5337,5302
291,3016,3169
292,1309,1062
293,636,395
294,1228,943
295,2901,2676
296,5152,5026
297,7978,7933
298,11053,11023
299,13483,13683
300,15157,15425
301,15797,15944
302,15340,15651
303,13734,13975
304,11277,11273
305,8309,8320
306,5300,5377
307,2953,2917
308,1328,1152
309,608,516
310,1167,880
311,2736,2646
312,5192,5024
313,8203,8125
314,10875,10879
315,13502,13652
316,15301,15362
317,15808,15851
318,15296,15701
319,13664,13838
320,11170,11131
321,8354,8559
322,5419,5358
323,3059,3076
324,1235,1135
325,615,464
326,1230,973
327,2703,2471
328,5250,5184
329,8122,8026
330,11011,11085
331,13564,13690
332,15153,15272
333,15816,16064
334,15268,15345
335,13705,13884
336,11201,11361
337,8406,8355
338,5362,5344
339,3019,2950
340,1286,1163
341,625,332
342,1081,879
343,2677,2652
344,5267,5027
345,8161,8212
346,10890,10874
347,13586,13560
348,15129,15349
349,15810,15916
350,15278,15566
351,13684,13743
352,11375,11547
353,8411,8434
354,5256,5396
355,2962,2845
356,1344,1064
357,563,439
358,1079,946
359,2743,2473
360,5121,5066
361,8075,8061
362,11037,10891
363,13481,13589
364,15170,15405
365,15797,15946
366,15330,15514
367,13682,13911
368,11260,11305
369,8388,8385
370,5528,5414
371,2893,2793
372,1297,1245
373,636,405
374,1161,895
375,2770,2568
376,5149,5115
377,8172,8093
378,11004,10939
379,13412,13652
380,15234,15359
381,15727,15864
382,15326,15566
383,13722,13865
384,11349,11330
385,8369,8426
386,5438,5414
387,2888,2794
388,1239,1003
389,658,408
390,1216,814
391,2777,2602
392,5089,4918
393,8154,8078
394,11053,11129
395,13460,13413
396,15172,15312
397,15820,15998
398,15345,15485
399,13720,13966
400,11191,11408
401,8382,8308
402,5424,5587
403,2876,2882
404,1220,985
405,650,592
406,1168,1020
407,2700,2405
408,5136,5095
409,8065,7988
410,11063,11080
411,13495,13467
412,15174,15367
413,15814,15844
414,15259,15556
415,13678,13933
416,11348,11334
417,8316,8376
418,5481,5472
419,2929,2810
420,1244,1019
421,648,486
422,1173,802
423,2709,2530
424,5226,5227
425,8117,8138
426,10977,10992
427,13517,13502
428,15157,15280
429,15823,15996
430,15329,15388
431,13623,13682
432,11331,11335
433,8387,8417
434,5448,5412
435,2954,2713
436,1168,1021
437,643,497
438,1173,806
439,2705,2624
440,5090,5027
441,8117,8048
442,11078,11038
443,13499,13627
444,15148,15258
445,15791,15930
446,15351,15689
447,13618,13892
448,11366,11419
449,8225,8332
450,5531,5624
451,2857,2914
452,1192,1065
453,684,430
454,1079,983
455,2748,2635
456,5236,5144
457,8116,8136
458,10925,10872
459,13478,13490
460,15182,15424
461,15811,15950
462,15450,15454
463,13791,13915
464,11243,11287
465,8377,8559
466,5477,5446
467,2828,2765
468,1203,1049
469,573,481
470,1174,935
471,2740,2561
472,5221,5136
473,8031,7994
474,11068,11106
475,13526,13624
476,15126,15373
477,15854,16006
478,15329,15412
479,13664,13932
480,11318,11493
481,8411,8370
482,5428,5358
483,2937,3029
484,1202,1011
485,671,532
486,1128,932
487,2722,2652
488,5105,5014
489,8220,8161
490,10981,10935
491,13584,13607
492,15159,15387
493,15838,16000
494,15256,15490
495,13802,13940
496,11269,11427
497,8427,8492
498,5417,5456
499,2967,3044
500,1287,1124
501,667,445
502,1145,892
503,2760,2573
504,5244,5102
505,8123,8213
506,11012,10878
507,13476,13581
508,15190,15427
509,15799,15957
510,15382,15547
511,13676,13746
512,11368,11579
513,8371,8526
514,5467,5374
515,2742,2912
516,1353,1190
517,733,489
518,1095,943
519,2790,2609
520,5261,5065
521,8086,8080
522,11166,11136
523,13513,13605
524,15134,15435
525,15792,15936
526,15342,15408
527,13675,13959
528,11304,11417
529,8311,8307
530,5415,5419
531,3015,2902
532,1397,1046
533,545,497
534,1062,894
535,2730,2460
536,5169,5249
537,8212,8167
538,11069,10974
539,13537,13684
540,15132,15257
541,15864,15968
542,15302,15397
543,13728,14096
544,11247,11420
545,8324,8318
546,5581,5650
547,3013,2853
548,1298,1038
549,652,488
550,1218,896
551,2600,2421
552,5271,5094
553,8196,8042
554,10871,10857
555,13467,13676
556,15146,15335
557,15772,15834
558,15221,15509
559,13751,13861
560,11191,11367
561,8299,8399
562,5594,5645
563,2874,2940
564,1162,1099
565,616,390
566,1070,883
567,2677,2608
568,5143,5084
569,8152,8058
570,11022,10962
571,13515,13603
572,15114,15318
573,15796,15991
574,15287,15537
575,13698,13846
576,11309,11448
577,8307,8294
578,5508,5579
579,2957,2891
580,1197,1053
581,733,408
582,1132,931
583,2703,2525
584,5142,5205
585,8204,8129
586,11086,10945
587,13512,13681
588,15113,15375
589,15805,15921
590,15298,15327
591,13720,14044
592,11271,11297
593,8305,8297
594,5340,5302
595,2870,2837
596,1304,1265
597,587,485
598,1132,803
599,2756,2588
600,5126,5117
601,8093,8005
602,10929,10987
603,13532,13618
604,15038,15221
605,15816,15893
606,15305,15566
607,13657,13803
608,11193,11299
609,8360,8538
610,5426,5357
611,2851,2789
612,1173,1058
613,626,469
614,1116,847
615,2630,2576
616,5189,5027
617,8181,8089
618,11085,10935
619,13449,13656
620,15125,15250
621,15809,15967
622,15322,15472
623,13632,13907
624,11343,11344
625,8394,8323
626,5389,5426
627,2893,2875
628,1269,1107
629,722,356
630,1112,935
631,2683,2593
632,5250,5044
633,8084,8061
634,11003,11001
635,13374,13491
636,15112,15352
637,15831,15976
638,15339,15522
639,13624,13852
640,11120,11347
641,8404,8415
642,5398,5490
643,2843,2749
644,1203,1092
645,553,393
646,1059,868
647,2664,2465
648,5186,5036
649,8192,8135
650,11049,10883
651,13450,13652
652,15037,15338
653,15767,15939
654,15306,15402
655,13601,13865
656,11183,11275
657,8361,8365
658,5310,5461
659,2911,2671
660,1274,1105
661,547,409
662,1140,811
663,2758,2551
664,5044,5009
665,8171,7972
666,10885,10975
667,13574,13609
668,15114,15232
669,15769,15930
670,15229,15555
671,13699,13819
672,11270,11348
673,8380,8535
674,5419,5492
675,2832,2784
676,1182,1115
677,574,425
678,1092,779
679,2756,2538
680,5337,5211
681,7982,7977
682,10937,10906
683,13465,13571
