# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-29T13:02:57+00:00
# capture_name=noise_1_1_gain_50_after_clock_fix_broken_channel_1_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=3
# frame_sequence=886
# firmware_status_timestamp=2026-08-29T13:02:57+00:00
# software_git_commit=be69198
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.91
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.91
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.9100
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1_2vpp
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=1.82360701421e-05
# calibrated_volts_per_div_ch1=0.0373474716511
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.9100
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1_2vpp
# normal_requested_volts_per_div_ch2=2
# calibration_volts_per_code_ch2=1.8267507943e-05
# calibrated_volts_per_div_ch2=0.0374118562673
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_1_1_gain_50_after_clock_fix_broken_channel_1
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8405,7970
1,8365,8150
2,8357,8326
3,8365,8270
4,8355,8022
5,8359,8282
6,8387,8088
7,8373,8280
8,8321,8060
9,8391,8038
10,8361,8214
11,8369,8052
12,8393,8248
13,8379,8032
14,8359,8278
15,8419,8190
16,8379,8086
17,8329,8199
18,8447,8143
19,8329,8200
20,8325,8094
21,8389,8271
22,8393,8119
23,8421,7994
24,8329,8274
25,8385,8063
26,8385,8269
27,8357,8028
28,8347,8274
29,8437,8169
30,8399,7992
31,8395,8269
32,8365,8057
33,8369,8237
34,8401,8071
35,8349,8243
36,8343,8218
37,8411,7977
38,8363,8262
39,8393,7981
40,8393,8250
41,8431,8051
42,8381,8170
43,8367,8231
44,8445,8105
45,8351,8195
46,8441,8077
47,8395,8195
48,8361,8267
49,8441,8051
50,8327,8277
51,8441,8061
52,8415,8305
53,8345,8092
54,8415,8141
55,8337,8188
56,8323,8103
57,8333,8275
58,8321,8129
59,8397,8319
60,8367,8273
61,8375,8164
62,8431,8179
63,8415,8018
64,8391,8275
65,8357,7998
66,8371,8167
67,8185,8247
68,8331,8226
69,8321,8060
70,8437,8078
71,8409,8217
72,8343,8202
73,8377,8032
74,8427,8185
75,8357,8272
76,8351,8259
77,8375,7989
78,8439,8117
79,8407,8242
80,8371,8297
81,8359,8003
82,8175,8068
83,8353,8305
84,8365,8227
85,8371,7982
86,8419,8103
87,8443,8254
88,8407,8291
89,8385,8014
90,8357,8145
91,8187,8195
92,8341,8324
93,8409,8005
94,8375,8134
95,8437,8305
96,8375,8254
97,8345,7957
98,8385,8178
99,8411,8195
100,8427,8291
101,8365,7973
102,8367,8158
103,8409,8262
104,8419,8297
105,8385,8008
106,8425,8188
107,8377,8281
108,8395,8214
109,8387,7957
110,8431,8127
111,8371,8255
112,8411,8246
113,8401,8002
114,8383,8158
115,8403,8230
116,8411,8280
117,8393,7966
118,8413,8157
119,8377,8298
120,8377,8293
121,8363,8017
122,8353,8097
123,8421,8245
124,8405,8257
125,8357,7982
126,8403,8153
127,8431,8253
128,8363,8232
129,8371,7969
130,8351,8074
131,8423,8301
132,8391,8233
133,8329,8032
134,8363,8115
135,8329,8189
136,8419,8254
137,8433,8040
138,8377,8144
139,8355,8296
140,8353,8243
141,8403,8125
142,8435,8029
143,8393,8214
144,8423,8299
145,8431,8038
146,8411,8080
147,8345,8227
148,8363,8123
149,8441,8091
150,8369,8163
151,8393,8281
152,8395,8266
153,8373,8016
154,8371,8323
155,8395,8165
156,8377,8193
157,8417,7994
158,8405,8147
159,8411,8307
160,8365,8155
161,8397,8296
162,8377,8023
163,8395,8272
164,8397,8203
165,8359,8022
166,8447,8325
167,8365,7974
168,8181,8177
169,8437,8113
170,8349,8134
171,8379,8249
172,8391,8090
