# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=2
# original_recorded_adc_range_vpp_ch2=2
# physical_adc_range_vpp_ch1=1
# physical_adc_range_vpp_ch2=1
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:07:02+00:00
# capture_name=noise_1vpp_gnd_03.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=708
# firmware_status_timestamp=2026-08-23T20:07:02+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_1vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=3
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8286,7988
1,8162,7843
2,8386,8260
3,8134,7872
4,8300,8092
5,8184,8032
6,8205,8085
7,8432,8371
8,8247,7778
9,8238,8190
10,8194,8226
11,8293,8079
12,8314,8165
13,8212,7728
14,8252,7978
15,8228,8314
16,8301,7844
17,8080,8167
18,8194,8158
19,8320,7924
20,8288,8163
21,8341,7941
22,8213,8153
23,8194,8232
24,8306,8178
25,8246,8088
26,8097,8153
27,8239,8036
28,8268,8158
29,8393,7736
30,8039,8103
31,8252,8162
32,8338,8216
33,8186,7895
34,8265,8043
35,8305,8088
36,8222,8225
37,8266,8206
38,8409,7865
39,8277,8243
40,8334,8119
41,8178,8084
42,8264,7654
43,8243,7982
44,8124,8040
45,8273,7797
46,8308,8570
47,8249,8280
48,8244,8017
49,8236,8145
50,8193,8142
51,8199,7868
52,8292,8057
53,8306,8090
54,8274,8403
55,8313,8233
56,8198,8053
57,8214,7743
58,8109,7971
59,8268,8141
60,8241,7847
61,8402,8030
62,8311,8537
63,8097,7961
64,8385,8291
65,8129,8222
66,8209,8112
67,8102,7940
68,8379,8119
69,8417,8301
70,8127,7715
71,8332,8050
72,8150,8401
73,8358,8164
74,7917,7833
75,8325,7736
76,8258,8085
77,8433,8468
78,8202,8085
79,8256,8278
80,8399,8271
81,8115,7837
82,8267,8215
83,8254,8263
84,8303,8395
85,8338,8052
86,8112,8018
87,8297,8229
88,8281,7920
89,8127,8026
90,8251,8150
91,8110,8262
92,8402,8315
93,8267,7892
94,8100,7980
95,8408,8292
96,8257,8257
97,8434,7824
98,8003,7832
99,8425,8320
100,8286,8164
101,8189,7741
102,8312,7975
103,8115,8311
104,8442,8314
105,8206,7898
106,8112,8178
107,8393,8410
108,8268,8351
109,8411,8384
110,8114,8114
111,8332,8117
112,8227,8234
113,8226,7893
114,8256,7936
115,8267,8033
116,8250,8369
117,8344,8228
118,8232,7944
119,8175,8171
120,8307,8151
121,8117,8129
122,8209,7844
123,8317,8004
124,8331,8400
125,8224,8343
126,8063,7934
127,8428,8210
128,8269,7927
129,8237,8161
130,8350,8082
131,8170,7918
132,8101,8188
133,8285,7916
134,8161,7914
135,8308,8279
136,8094,8028
137,8370,8243
138,8309,7985
139,8117,7823
140,8458,8276
141,8137,7805
142,8384,8281
143,8236,7849
144,8210,8109
145,8276,8146
146,8242,7973
147,8174,8000
148,8190,8039
149,8286,8184
150,8108,8154
151,8282,8190
152,8292,8025
153,8420,8255
154,8134,7851
155,8246,8257
156,8436,8255
157,7998,7948
158,8413,8133
159,8251,7831
160,8295,8328
161,8181,7831
162,8180,8066
163,8229,8338
164,8127,8117
165,8232,8001
166,8276,7904
167,8216,8104
168,8271,8345
169,8282,8057
170,8162,8268
171,8328,8135
172,8162,7972
173,8201,8117
174,8351,7915
175,8118,7984
176,8442,8142
177,8120,8366
178,8379,8228
179,8178,8145
180,8268,7914
181,8267,8131
182,8133,8126
183,8520,8238
