# DigitalOscilloscope capture
# format_version=2
# metadata_correction=adc_range_labels_swapped_after_measurement
# original_recorded_adc_range_vpp_ch1=1
# original_recorded_adc_range_vpp_ch2=1
# physical_adc_range_vpp_ch1=2
# physical_adc_range_vpp_ch2=2
# voltage_columns_status=not_present
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:07:05+00:00
# capture_name=noise_2vpp_gnd_04.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45063
# firmware_status_timestamp=2026-08-23T21:07:05+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_2vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=4
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8272,8023
1,8209,8293
2,8297,8211
3,8263,7974
4,8207,8062
5,8185,8199
6,8169,8142
7,8233,8083
8,8231,8122
9,8206,8283
10,8214,8103
11,8218,8032
12,8269,8337
13,8269,8158
14,8223,8172
15,8178,7876
16,8173,8110
17,8280,8107
18,8250,8110
19,8172,8196
20,8209,8156
21,8261,8114
22,8282,8182
23,8172,8156
24,8263,8110
25,8325,8097
26,8108,8156
27,8229,8121
28,8099,8077
29,8393,8245
30,8220,8093
31,8278,8096
32,8207,8094
33,8199,8093
34,8276,8151
35,8168,7917
36,8205,8214
37,8279,8269
38,8250,8211
39,8263,8080
40,8115,8047
41,8347,8225
42,8223,7958
43,8124,8042
44,8220,8173
45,8237,8230
46,8217,8144
47,8210,8034
48,8180,8160
49,8233,8283
50,8207,8194
51,8347,8214
52,8110,8183
53,8279,7986
54,8287,8269
55,8242,8007
56,8280,8079
57,8125,8058
58,8226,8415
59,8174,8081
60,8217,7968
61,8240,8320
62,8260,8199
63,8291,8277
64,8206,8134
65,8283,8262
66,8167,7980
67,8270,8039
68,8263,8086
69,8225,8107
70,8257,8341
71,8196,8154
72,8280,8286
73,8192,8098
74,8204,8103
75,8194,8134
76,8269,7962
77,8218,8220
78,8205,8052
79,8227,8274
80,8283,8154
81,8273,8173
82,8220,8075
83,8197,8009
84,8260,8100
85,8273,7999
86,8097,8179
87,8226,8175
88,8263,8109
89,8293,8222
90,8260,8165
91,8158,8084
92,8248,8232
93,8190,8166
94,8212,8160
95,8264,7955
96,8210,8241
97,8277,8263
98,8208,7950
99,8230,8261
100,8279,8203
101,8208,8084
102,8203,7989
103,8184,8050
104,8266,8329
105,8295,8173
106,8120,8035
107,8257,8326
108,8247,8212
109,8174,8154
110,8233,8086
111,8195,8147
112,8193,8039
113,8222,8150
114,8216,7996
115,8282,8335
116,8220,8135
117,8190,8141
118,8199,8051
119,8186,8186
120,8269,8153
121,8197,8051
122,8269,8274
123,8234,8263
124,8246,8142
125,8175,8113
126,8212,8102
127,8221,7982
128,8222,8020
129,8206,8087
130,8183,8179
131,8300,8331
132,8165,8185
133,8264,8124
134,8203,8092
135,8278,8185
136,8272,8218
137,8267,8050
138,8261,8111
139,8196,8184
140,8212,8157
141,8127,8080
142,8286,8070
143,8279,8217
144,8277,8220
145,8201,8100
146,8098,7997
147,8293,8228
148,8206,8190
149,8291,8119
150,8221,8046
151,8248,8333
152,8262,8086
153,8161,7998
154,8173,8263
155,8280,8190
156,8172,7977
157,8285,8093
158,8278,8233
159,8333,8275
160,8216,8015
161,8111,8246
162,8335,8288
163,8098,8076
164,8227,7906
165,8228,8151
166,8114,8216
167,8353,8248
168,8192,8158
169,8269,8243
170,8106,8078
171,8201,8154
172,8228,7993
173,8276,8130
174,8263,8293
175,8265,8110
176,8256,8332
177,8200,8122
178,8200,8028
179,8109,8096
180,8303,8138
181,8198,8207
182,8213,7973
183,8201,8194
184,8221,8088
185,8280,8271
186,8177,8088
187,8277,7869
188,8126,7995
189,8242,8071
190,8173,8209
191,8263,7939
192,8249,8220
193,8197,8052
194,8229,8126
195,8116,8187
196,8329,8285
197,8122,8235
198,8274,8052
199,8256,8274
200,8259,8210
201,8191,8172
202,8276,8026
203,8195,8084
204,8202,8243
205,8254,8135
206,8263,8143
207,8199,8288
208,8284,8161
209,8235,8123
210,8178,7854
211,8113,8170
212,8278,8186
213,8216,7904
214,8124,8193
215,8290,8289
216,8209,8038
217,8282,8117
218,8218,8122
219,8240,8116
220,8225,8066
221,8267,8179
222,8119,7940
223,8205,8259
224,8242,8126
225,8266,8108
226,8244,8112
227,8198,8073
228,8278,8138
229,8222,7990
230,8190,8187
231,8274,8258
232,8220,8122
233,8238,8164
234,8172,8063
235,8269,8059
236,8219,8203
237,8219,7965
238,8215,8115
239,8296,8220
240,8172,8072
241,8204,8077
242,8193,7929
243,8203,8215
244,8286,8260
245,8273,7971
246,8283,8206
247,8270,8113
248,8197,8098
249,8207,7937
250,8187,8101
251,8173,8092
252,8262,8056
253,8241,8405
254,8227,8202
255,8164,8034
256,8183,8170
257,8299,8164
258,8175,7973
259,8223,8106
260,8268,8052
261,8174,8238
262,8171,8168
263,8222,8163
264,8231,8137
265,8180,8139
266,8242,8038
267,8232,8128
268,8203,8104
269,8196,8163
270,8235,8261
271,8118,8137
272,8227,8082
273,8237,8181
274,8261,8166
275,8197,8085
276,8263,8076
277,8170,8282
278,8285,8219
279,8217,8156
280,8214,8094
281,8222,8135
282,8218,8097
283,8282,7961
284,8118,8014
285,8287,8288
286,8258,8170
287,8272,8172
288,8272,8111
289,8213,8057
290,8234,8165
291,8266,8017
292,8262,8343
293,8191,8099
294,8178,8153
295,8280,8100
296,8273,8280
297,8201,8144
298,8208,8064
299,8266,8209
300,8207,8162
301,8275,8098
302,8227,8110
303,8277,8293
304,8177,8092
305,8260,8075
306,8204,8113
307,8188,8133
308,8228,8189
309,8199,7863
310,8234,8288
311,8230,8200
312,8210,8175
313,8124,8109
314,8225,8198
315,8201,8149
316,8197,7969
317,8220,8128
318,8097,8142
319,8286,8262
320,8277,7979
321,8207,8186
322,8198,8084
323,8162,8177
324,8254,8288
325,8102,7850
326,8259,8035
327,8296,8254
328,8200,8153
329,8270,8257
330,8163,7849
331,8285,8175
332,8189,8097
333,8256,7968
334,8212,8113
335,8212,7973
336,8203,8174
337,8126,8161
338,8331,8269
339,8215,8113
340,8166,8129
341,8183,8034
342,8245,8203
343,8267,8114
344,8216,8008
345,8178,8181
346,8297,8267
347,8175,8087
348,8286,8002
349,8222,8264
350,8186,8051
351,8207,8222
352,8232,7974
353,8258,8218
354,8185,8140
355,8269,8132
356,8218,8203
357,8295,8054
358,8260,8160
359,8206,7990
360,8171,8201
361,8226,8206
362,8191,7889
363,8264,8108
364,8218,8210
365,8272,8131
366,8232,8117
367,8220,8189
368,8212,8122
369,8227,8317
370,8221,8052
371,8161,8182
372,8246,8162
373,8122,8074
374,8218,8153
375,8226,8032
376,8177,8171
377,8311,8313
378,8185,8197
379,8242,8260
380,8191,8144
381,8306,8121
382,8127,8118
383,8221,7940
384,8302,8141
385,8278,8280
386,8221,8191
387,8203,8194
388,8252,8269
389,8213,8055
390,8261,8198
391,8200,8028
392,8170,8084
393,8299,7996
394,8144,8079
395,8221,8145
396,8249,8076
397,8190,8244
398,8226,8298
399,8175,8040
400,8206,8096
401,8272,8194
402,8227,8108
403,8265,7950
404,8286,8139
405,8229,8210
406,8163,8312
407,8196,8077
408,8278,8289
409,8217,8055
410,8182,8179
411,8349,8268
412,8271,8095
413,8220,8360
414,8170,8077
415,8184,8094
416,8279,8268
417,8239,8060
418,8276,8277
419,8192,7974
420,8269,8226
421,8208,8153
422,8198,8015
423,8275,8207
424,8180,8002
425,8269,8175
426,8237,8130
427,8162,8304
428,8233,8109
429,8203,8070
430,8256,8295
431,8282,8262
432,8241,8114
433,8187,7919
434,8164,8154
435,8201,8157
436,8198,7855
437,8257,8085
438,8217,8121
439,8277,8150
440,8233,8249
441,8163,8069
442,8190,7977
443,8173,8153
444,8205,8151
445,8261,8096
446,8291,8090
447,8225,8247
448,8190,8042
449,8265,8198
450,8202,8089
451,8217,8142
452,8198,8153
453,8248,7945
454,8183,8174
455,8254,8145
456,8222,8299
457,8174,8110
458,8261,8102
459,8189,8090
460,8284,8278
461,8229,8184
462,8221,8058
463,8230,8309
464,8259,8120
465,8220,8124
466,8200,7964
467,8229,8075
468,8191,7993
469,8238,8041
470,8210,8072
471,8177,8119
472,8249,8096
473,8274,8203
474,8180,8077
475,8245,8280
476,8214,8082
477,8209,8268
478,8264,8176
479,8222,7842
480,8233,8270
481,8260,8028
482,8204,8288
483,8259,8157
484,8273,8332
485,8199,8094
486,8245,8104
487,8170,8280
488,8281,8138
489,8170,8183
490,8215,7988
491,8279,8226
492,8266,8107
493,8294,7940
494,8090,7954
495,8292,8187
496,8194,8039
497,8211,8012
498,8278,8406
499,8235,8179
500,8271,8104
501,8268,8282
502,8282,8136
503,8196,8074
504,8281,8068
505,8255,8220
506,8257,8114
507,8214,7858
508,8127,8110
509,8239,8198
510,8178,8106
511,8236,7932
512,8281,8197
513,8197,8046
514,8258,8276
515,8229,7952
516,8167,8218
517,8224,8148
518,8198,8053
519,8273,8253
520,8205,7973
521,8215,8161
522,8273,8035
523,8273,8418
524,8211,8129
525,8174,8065
526,8227,8225
527,8257,8203
528,8213,8083
529,8283,8074
530,8215,8218
531,8237,8267
532,8206,7979
533,8182,8043
534,8122,8210
535,8263,8202
536,8292,8017
537,8246,8136
538,8212,8278
539,8193,8204
540,8220,7988
541,8259,8132
542,8215,8237
543,8190,8201
544,8261,7956
545,8287,8137
546,8096,8268
547,8237,8228
548,8207,7902
549,8284,8114
550,8257,8159
551,8186,8192
552,8234,8020
553,8174,8038
554,8181,8218
555,8116,8180
556,8285,8209
557,8184,7912
558,8281,8280
559,8239,8222
560,8120,7948
561,8258,8254
562,8220,8055
563,8193,8232
564,8277,7987
565,8226,8160
566,8182,8223
567,8239,8064
568,8162,8091
569,8251,8140
570,8115,8183
571,8315,8339
572,8174,7984
573,8236,8284
574,8208,8122
575,8188,8157
576,8216,8118
577,8206,8018
578,8235,8201
579,8222,7971
580,8105,8093
581,8197,8187
582,8219,8167
583,8294,8164
584,8267,8042
585,8154,8171
586,8316,8333
587,8190,8112
588,8204,8148
589,8264,8264
590,8280,8168
591,8220,8261
592,8265,7974
593,8247,8224
594,8234,8125
595,8259,8078
596,8102,8189
597,8280,7958
598,8256,8106
599,8223,7983
600,8264,8393
601,8212,8190
602,8209,8164
603,8182,7991
604,8235,8223
605,8202,8071
606,8235,8114
607,8163,8105
608,8270,8183
609,8200,8044
610,8231,8133
611,8195,8225
612,8264,8228
613,8212,8165
614,8260,8111
615,8244,8103
616,8202,8204
617,8257,7933
618,8222,8144
619,8169,8187
620,8286,8193
621,8177,8158
622,8296,7989
623,8181,8135
624,8189,8264
625,8217,8266
626,8178,7932
627,8184,8083
628,8237,8130
629,8195,8175
630,8279,7936
631,8259,8067
632,8235,8231
633,8202,8196
634,8254,8209
635,8188,8068
636,8120,7978
637,8262,8214
638,8288,7998
639,8203,8146
640,8180,8139
641,8271,8328
642,8264,8045
643,8239,8049
644,8170,8066
645,8222,8210
646,8173,8100
647,8246,8132
648,8178,8069
649,8253,8213
650,8262,8217
651,8204,7926
652,8280,8181
653,8126,8182
654,8230,8218
655,8261,8009
656,8226,8150
657,8166,8158
658,8122,8192
659,8244,8200
660,8284,7955
661,8186,8061
662,8276,8268
663,8262,8197
664,8201,7932
665,8176,8073
666,8197,8218
667,8229,8258
668,8223,8035
669,8232,8161
670,8182,8118
671,8186,8198
672,8245,8043
673,8258,8065
674,8122,8180
675,8242,8295
676,8207,8164
677,8274,8018
678,8190,8042
679,8227,8283
680,8113,8204
681,8207,7928
682,8274,8176
683,8123,8035
684,8246,8217
685,8268,7971
686,8243,8149
687,8262,8388
688,8119,8124
689,8268,8256
690,8221,8033
691,8269,8119
692,8183,8209
693,8280,7985
694,8201,8111
695,8263,8020
696,8121,8012
697,8266,8260
698,8284,8040
699,8222,8403
700,8231,8201
701,8193,8063
702,8267,8101
703,8296,8068
704,8107,8039
705,8223,8092
706,8250,8112
707,8177,8194
708,8265,8224
709,8200,8162
710,8230,8258
711,8120,8118
712,8277,8157
713,8303,8195
714,8224,8182
715,8191,8188
716,8209,8040
717,8115,8194
718,8262,8177
719,8277,8031
720,8212,8247
721,8276,8268
722,8205,8086
723,8228,8135
724,8266,8399
725,8182,8122
726,8264,7968
727,8205,8091
728,8245,8301
729,8197,8168
730,8210,7991
731,8195,8185
732,8254,8154
733,8195,8199
734,8185,7928
735,8268,8245
736,8170,7984
737,8285,8260
738,8175,8076
739,8290,8143
740,8211,8217
741,8310,8134
742,8224,8178
743,8118,7961
744,8248,8317
745,8177,8179
746,8273,8110
747,8178,8254
748,8251,8257
749,8223,8040
750,8218,7987
751,8225,8185
752,8213,8178
753,8228,8047
754,8213,8053
755,8258,8201
756,8219,8161
757,8282,8258
758,8177,8082
759,8224,8090
760,8193,8069
761,8235,7994
762,8168,8124
763,8220,7956
764,8218,8178
765,8291,8227
766,8187,8173
767,8175,7996
768,8223,8212
769,8222,8042
770,8219,8168
771,8311,8078
772,8192,8260
773,8303,8154
774,8165,7931
775,8187,8183
776,8261,8177
777,8219,8123
778,8247,8025
779,8127,8134
780,8264,8097
781,8164,8145
782,8303,8189
783,8195,8129
784,8256,8159
785,8283,8258
786,8283,8209
787,8280,8219
788,8168,8079
789,8224,8090
790,8178,8129
791,8277,8043
792,8260,8072
793,8278,8157
794,8243,8328
795,8203,8173
796,8198,8194
797,8167,8057
798,8307,8280
799,8114,8073
800,8310,8117
801,8275,8259
802,8256,7933
803,8163,8108
804,8190,8005
805,8232,8315
806,8209,8193
807,8245,8178
808,8223,8291
809,8297,8293
810,8109,7984
811,8226,7978
812,8213,8034
813,8187,8316
814,8238,8034
