# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-23T13:46:33
# capture_name=310kHz_0dbm.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,4989,16383
1,4858,16383
2,4703,16383
3,4636,16383
4,4478,16383
5,4434,16383
6,4268,16383
7,4123,16383
8,4102,16383
9,4002,16383
10,3881,16383
11,3779,16383
12,3673,16383
13,3656,16383
14,3470,16383
15,3391,16383
16,3351,16383
17,3233,16383
18,3175,16383
19,3150,16383
20,3143,16383
21,2997,16383
22,2887,16383
23,2830,16383
24,2831,16383
25,2775,16383
26,2673,16383
27,2595,16383
28,2631,16383
29,2637,16383
30,2532,16383
31,2426,16383
32,2337,16383
33,2413,16383
34,2505,16383
35,2397,16383
36,2236,16383
37,2274,16383
38,2324,16383
39,2384,16383
40,2294,16383
41,2263,16383
42,2259,16383
43,2379,16383
44,2382,16383
45,2236,16383
46,2222,16383
47,2375,16383
48,2359,16383
49,2364,16383
50,2425,16383
51,2418,16383
52,2425,16383
53,2531,16383
54,2541,16383
55,2564,16383
56,2679,16383
57,2763,16383
58,2750,16383
59,2749,16383
60,2911,16383
61,2879,16383
62,2970,16383
63,3029,16383
64,3174,16383
65,3254,16383
66,3299,16383
67,3343,16383
68,3436,16383
69,3513,16383
70,3584,16383
71,3734,16383
72,3771,16383
73,3876,16383
74,4002,16383
75,4099,16383
76,4128,16383
77,4333,16383
78,4389,16383
79,4556,16383
80,4654,16383
81,4757,16383
82,4845,16383
83,4968,16383
84,5038,16383
85,5247,16383
86,5371,16383
87,5435,16383
88,5591,16383
89,5742,16383
90,5885,16383
91,5947,16383
92,6028,16383
93,6244,16383
