# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:16:15+00:00
# capture_name=harmonics_1vpp_1to1_profile20mVdiv_g49p50_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45986
# firmware_status_timestamp=2026-08-23T21:16:15+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.50
# firmware_afe_ch1_offset_pct=51.30
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=49.50
# firmware_afe_ch2_offset_pct=51.30
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.5000
# afe_offset_pct_ch1=51.3000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.5000
# afe_offset_pct_ch2=51.3000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=harmonics
# series_id=harmonics_1vpp_1to1_profile20mVdiv_g49p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.14
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,12036,12127
1,8996,9221
2,6315,6466
3,3982,3773
4,1942,1751
5,751,757
6,1143,1060
7,2326,1854
8,4373,4306
9,6930,6896
10,9679,9637
11,12364,12609
12,14320,14135
13,15275,15570
14,15071,15393
15,13958,14158
16,11782,12062
17,9201,9294
18,6374,6270
19,3767,3705
20,1873,1680
21,1013,959
22,899,742
23,2137,2090
24,4266,4092
25,7108,6793
26,9697,9939
27,12237,12424
28,14190,14268
29,15304,15124
30,15267,15547
31,13847,14074
32,11609,11813
33,9100,9078
34,6450,6573
35,3839,3857
36,1891,1496
37,678,709
38,916,871
39,2230,2070
40,4217,4176
41,6956,7037
42,9782,9752
43,12198,12291
44,14155,14245
45,15143,15265
46,15226,15227
47,14012,14306
48,11810,11986
49,9103,9260
50,6256,6369
51,3925,3605
52,1816,1589
53,795,1033
54,1130,711
55,2259,1904
56,4175,4198
57,7064,7003
58,9707,9681
59,12356,12458
60,14292,14393
61,15155,15448
62,15008,15208
63,13895,14094
64,11802,12006
65,9142,9265
66,6329,6329
67,3791,3567
68,1926,1983
69,880,698
70,828,686
71,2112,2073
72,4483,4047
73,6939,7022
74,9605,9858
75,12391,12229
76,14292,14223
77,15227,15456
78,15177,15350
79,13817,13803
80,11701,12088
81,9203,9386
82,6495,6290
83,3710,3710
84,1976,1970
85,979,710
86,962,819
87,2228,1966
88,4411,4050
89,6871,7002
90,9866,9953
91,12497,12241
92,14133,14386
93,15241,15595
94,15237,15233
95,13824,13942
96,11874,12215
97,9164,9128
98,6326,6257
99,3869,3914
100,2025,1803
101,913,712
102,859,1096
103,2280,1910
104,4332,4014
105,7184,7139
106,9905,9873
107,12204,12491
108,14315,14286
109,15371,15462
110,15014,15415
111,13854,14030
112,11858,11859
113,9302,9274
114,6262,6434
115,3956,3521
116,1960,1685
117,825,941
118,1081,801
119,2269,1925
120,4347,4329
121,7062,7179
122,9845,9842
123,12303,12317
124,14273,14336
125,15334,15571
126,15261,15255
127,14072,14041
128,11697,12101
129,9194,9393
130,6469,6293
131,4052,3891
132,1805,1872
133,925,764
134,1108,961
135,2215,2027
136,4469,4155
137,6939,7000
138,9878,9997
139,12325,12206
140,14217,14336
141,15325,15614
142,15099,15197
143,14002,14136
144,11938,12085
145,9126,9344
146,6195,6259
147,3755,3909
148,2132,1756
149,952,738
150,962,1227
151,2301,1997
152,4344,4058
153,7111,7378
154,9809,9677
155,12397,12530
156,14296,14381
157,15367,15483
158,15165,15424
159,13956,14195
160,11821,11920
161,9206,9436
162,6349,6470
163,3973,3691
164,1985,1748
165,948,1254
166,1128,925
167,2164,1776
168,4279,4457
169,7244,6886
170,9836,9825
171,12149,12404
172,14364,14487
173,15286,15352
174,15091,15437
175,13991,14192
176,11896,11927
177,8970,9229
178,6498,6690
179,3931,3792
180,1754,1575
181,966,963
182,950,794
183,2245,2109
184,4406,4018
185,7081,6946
186,9681,9810
187,12362,12554
188,14367,14133
189,15265,15477
190,15028,15592
191,13856,14164
192,11679,11821
193,9364,9542
194,6246,6215
195,3741,3767
196,1980,1911
197,1076,854
198,836,860
