# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:49:41+00:00
# capture_name=harmonics_2vpp_1to100_0p5Vdiv_g55p50_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=686
# firmware_status_timestamp=2026-08-23T20:49:41+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=55.50
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=55.50
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=55.5000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=0.5
# calibration_volts_per_code_ch1=0.000246821293355
# calibrated_volts_per_div_ch1=0.50549000879
# displayed_volts_per_div_ch1=0.5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=55.5000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=0.5
# calibration_volts_per_code_ch2=0.000253357015986
# calibrated_volts_per_div_ch2=0.518875168739
# displayed_volts_per_div_ch2=0.5
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_0p5Vdiv_g55p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=1.5
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,11383,11086,0.787606747,0.733215204
1,12968,12952,1.1788185,1.2059794
2,14471,13997,1.5497909,1.47073748
3,15201,15071,1.72997045,1.74284291
4,14081,13674,1.4535306,1.38890316
5,12616,12450,1.0919374,1.07879417
6,10042,9871,0.456619393,0.42538643
7,7123,7454,-0.263851963,-0.186977478
8,5329,5057,-0.706649363,-0.794274245
9,3342,2820,-1.19708327,-1.36103389
10,1871,1357,-1.5601574,-1.7316952
11,1626,1068,-1.62062861,-1.80491538
12,2980,2168,-1.28643258,-1.52622266
13,4387,3555,-0.939155021,-1.17481648
14,6517,6018,-0.413425666,-0.550798153
15,8046,8133,-0.0360359088,-0.0149480639
16,11640,11449,0.851039819,0.825183801
17,13359,12737,1.27532562,1.15150764
18,13945,14001,1.4199629,1.47175091
19,15475,14779,1.79759948,1.66886266
20,14176,13614,1.47697862,1.37370174
21,12022,12356,0.945325554,1.05497861
22,10747,10033,0.630628405,0.466430266
23,7330,7298,-0.212759955,-0.226501172
24,5648,4780,-0.62791337,-0.864454139
25,3180,2777,-1.23706832,-1.37192824
26,1188,1320,-1.72873634,-1.74106941
27,1867,1065,-1.56114468,-1.80567545
28,3013,2090,-1.27828748,-1.54598451
29,3538,3670,-1.1487063,-1.14568043
30,6633,6013,-0.384794396,-0.552064938
31,8571,8589,0.0935452702,0.100582735
32,11104,10640,0.718743606,0.620217975
33,13400,13205,1.2854453,1.27007872
34,14559,14134,1.57151117,1.50544739
35,15194,14477,1.7282427,1.59234885
36,14085,14062,1.45451788,1.48720568
37,12598,12141,1.08749462,1.00050686
38,9534,9686,0.331234176,0.378515382
39,8092,7562,-0.0246821293,-0.15961492
40,5084,4846,-0.76712058,-0.847732575
41,3183,2747,-1.23632786,-1.37952895
42,1720,1521,-1.59742741,-1.69014465
43,1813,1137,-1.57447303,-1.78743375
44,2399,1868,-1.42983575,-1.60222977
45,3765,3302,-1.09267787,-1.23891581
46,6853,5979,-0.330493712,-0.560679076
47,8728,8341,0.132296213,0.0377501954
48,11039,10798,0.702700222,0.660248384
49,13209,12790,1.23830243,1.16493556
50,14682,14367,1.60187019,1.56447957
51,14684,14577,1.60236384,1.61768455
52,13876,14006,1.40293223,1.47301769
53,12363,12121,1.02949161,0.995439716
54,10379,9993,0.539798169,0.456295986
55,7966,7329,-0.0557816123,-0.218647105
56,5115,4746,-0.75946912,-0.873068277
57,3253,3012,-1.21905037,-1.31238934
58,1886,1713,-1.55645508,-1.64150011
59,1757,1198,-1.58829502,-1.77197897
60,2181,1820,-1.48364279,-1.61439091
61,4116,3397,-1.00604359,-1.21484689
62,6852,6054,-0.330740533,-0.5416773
63,8923,8415,0.180426365,0.0564986146
64,10913,10843,0.671600739,0.671649449
65,13541,12996,1.3202471,1.2171271
