# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:51:49+00:00
# capture_name=harmonics_2vpp_1to100_1Vdiv_g52p53_10.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=944
# firmware_status_timestamp=2026-08-23T20:51:49+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=52.53
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=52.53
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=52.5300
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=1
# calibration_volts_per_code_ch1=0.000487788191831
# calibrated_volts_per_div_ch1=0.998990216871
# displayed_volts_per_div_ch1=1
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=52.5300
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=1
# calibration_volts_per_code_ch2=0.00049235231157
# calibrated_volts_per_div_ch2=1.0083375341
# displayed_volts_per_div_ch2=1
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_1Vdiv_g52p53
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=3.3
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=10
# invalid_frames_before_capture=1
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,3151,2920,-2.45894028,-2.59568139
1,1553,1366,-3.23842581,-3.36079688
2,722,498,-3.64377779,-3.78815869
3,1327,992,-3.34866594,-3.54493664
4,2561,2529,-2.74673531,-2.78819114
5,5112,4877,-1.50238763,-1.63214791
6,8343,7933,0.073656017,-0.127519249
7,11144,10621,1.43995074,1.19592376
8,13383,13392,2.5321085,2.56023202
9,14730,14941,3.1891592,3.32288575
10,15630,15509,3.62816857,3.60254186
11,15065,15056,3.35256824,3.37950627
12,13659,13552,2.66673804,2.63900839
13,10768,10951,1.25654238,1.35840003
14,8174,8067,-0.00878018745,-0.0615440389
15,5587,5466,-1.27068824,-1.3421524
16,3010,2806,-2.52771841,-2.65180955
17,1594,1213,-3.21842649,-3.43612678
18,897,430,-3.55841486,-3.82163864
19,1380,1110,-3.32281316,-3.48683907
20,2643,2794,-2.70673668,-2.65771778
21,5848,5166,-1.14337552,-1.48985809
22,7992,7866,-0.0975576384,-0.160506854
23,10990,10635,1.36483136,1.2028167
24,13295,13318,2.48918314,2.52379795
25,14929,14767,3.28622905,3.23721645
26,15912,15696,3.76572484,3.69461175
27,14839,14899,3.24232811,3.30220695
28,13544,13572,2.6106424,2.64885544
29,11040,11223,1.38922077,1.49231986
30,8141,8084,-0.0248771978,-0.0531740496
31,5973,5415,-1.082402,-1.36726237
32,2772,2738,-2.643812,-2.68528951
33,1614,1308,-3.20867073,-3.38935331
34,642,748,-3.68280085,-3.66507061
35,1464,1216,-3.28183895,-3.43464973
36,2741,2656,-2.65893343,-2.7256624
37,5592,4785,-1.2682493,-1.67744433
38,8062,7721,-0.0634124649,-0.231897939
39,10599,10695,1.17410618,1.23235784
40,13462,13240,2.57064377,2.48539447
41,14970,14850,3.30622836,3.27808169
42,15697,15532,3.66085038,3.61386597
43,15014,15362,3.32769104,3.53016607
44,13387,13445,2.53405966,2.58632669
45,11202,11091,1.46824246,1.42732935
46,8163,8319,-0.0141458576,0.0625287436
47,5137,5052,-1.49019293,-1.54598626
48,3069,2746,-2.49893891,-2.68135069
49,1242,1223,-3.39012793,-3.43120326
50,1130,703,-3.44476021,-3.68722646
51,1323,1099,-3.35061709,-3.49225495
52,2952,2708,-2.55601013,-2.70006008
53,5387,5258,-1.36824588,-1.44456168
54,7840,7885,-0.171701444,-0.15115216
55,10799,10652,1.27166382,1.21118669
56,13383,13312,2.5321085,2.52084384
57,14870,14730,3.25744955,3.21899941
58,15471,15856,3.55061025,3.77338812
59,15078,15108,3.35890949,3.40510859
60,13474,13680,2.57649723,2.70202949
61,11127,11149,1.43165834,1.45588579
62,8120,8001,-0.0351207498,-0.0940392915
63,5749,5628,-1.19166655,-1.26239133
64,2809,2963,-2.62576384,-2.57451024
65,1325,1080,-3.34964151,-3.50160964
66,810,548,-3.60085243,-3.76354107
67,1508,1160,-3.26037627,-3.46222145
68,2790,2434,-2.63503181,-2.83496461
69,5415,5136,-1.35458781,-1.50462866
70,7958,7869,-0.114142437,-0.159029797
71,10652,10401,1.19995895,1.08760626
72,13265,13166,2.4745495,2.4489604
73,15014,14987,3.32769104,3.34553396
74,15635,15753,3.63060751,3.72267583
75,15067,14880,3.35354382,3.29285226
76,13917,13792,2.7925874,2.75717294
77,11003,10890,1.37117261,1.32836654
78,8416,8183,0.109264555,-0.0044311708
79,5240,5429,-1.43995074,-1.36036944
80,3300,2913,-2.38625983,-2.59912785
81,1351,977,-3.33695902,-3.55232193
82,958,682,-3.52865978,-3.69756586
83,1233,982,-3.39451803,-3.54986017
84,2948,2786,-2.55796128,-2.6616566
85,5145,4661,-1.48629062,-1.73849601
86,7959,8013,-0.113654649,-0.0881310638
87,11065,10944,1.40141548,1.35495356
88,13244,13125,2.46430595,2.42877395
89,15286,15023,3.46036943,3.36325864
90,15316,15523,3.47500308,3.6094348
91,15208,15028,3.42232195,3.3657204
92,13425,13576,2.55259561,2.65082485
93,10923,10986,1.33214955,1.37563236
94,8385,8221,0.094143121,0.014278217
95,5434,5246,-1.34531983,-1.45046991
96,2962,2640,-2.55113224,-2.73354003
97,1196,1227,-3.41256619,-3.42923385
98,882,411,-3.56573168,-3.83099334
99,1396,1156,-3.31500855,-3.46419086
100,3032,2315,-2.51698707,-2.89355454
101,5446,5026,-1.33946637,-1.55878742
102,7906,7723,-0.139507423,-0.230913234
103,11000,11008,1.36970924,1.38646411
104,13594,13414,2.63503181,2.57106377
105,14915,14783,3.27940001,3.24509409
106,15640,15541,3.63304645,3.61829714
107,14965,15456,3.30378942,3.57644719
108,13395,13490,2.53796196,2.60848255
109,11264,11129,1.49848533,1.44603874
110,8468,8186,0.134629541,-0.00295411387
111,5382,5215,-1.37068482,-1.46573283
112,2959,2893,-2.55259561,-2.6089749
113,1300,1019,-3.36183622,-3.53164313
114,996,712,-3.51012383,-3.68279529
115,1229,933,-3.39646918,-3.57398543
116,3204,2718,-2.4330875,-2.69513655
117,4950,4694,-1.58140932,-1.72224839
118,8337,7975,0.0707292878,-0.106840452
119,10923,10845,1.33214955,1.30621068
120,13031,13142,2.36040706,2.43714394
121,15255,15154,3.445248,3.42775679
122,15388,15561,3.51012383,3.62814418
123,15236,15089,3.43598002,3.39575389
124,13489,13442,2.58381405,2.58484964
125,10859,10949,1.30093111,1.35741532
126,8310,8277,0.0575590066,0.0418499465
127,5432,5121,-1.34629541,-1.51201395
128,3094,2860,-2.4867442,-2.62522253
129,1218,1228,-3.40183485,-3.4287415
130,984,433,-3.51597729,-3.82016159
131,1555,1242,-3.23745023,-3.42184857
132,2970,2236,-2.54722994,-2.93245037
133,5036,4857,-1.53945953,-1.64199496
134,8387,8100,0.0951186974,-0.0452964127
135,10974,10872,1.35702675,1.3195042
136,13627,13360,2.65112882,2.54447675
137,15053,14982,3.34671478,3.3430722
138,15409,15528,3.52036738,3.61189656
139,14938,15163,3.29061914,3.43218796
140,13416,13507,2.54820551,2.61685254
141,11116,10714,1.42629267,1.24171253
142,8096,7850,-0.0468276664,-0.168384491
143,5593,5427,-1.26776151,-1.36135414
144,3041,2611,-2.51259698,-2.74781825
145,1602,1254,-3.21452418,-3.41594034
146,572,500,-3.71694602,-3.78717398
147,1475,1179,-3.27647328,-3.45286676
148,2788,2562,-2.63600739,-2.77194351
149,5671,4992,-1.22971403,-1.5755274
150,8067,7860,-0.060973524,-0.163460967
151,10794,10864,1.26922488,1.31556538
152,13344,13330,2.51308476,2.52970618
153,14955,15059,3.29891154,3.38098332
154,15394,15602,3.51305056,3.64833063
155,15093,15200,3.36622631,3.450405
156,13511,13312,2.59454539,2.52084384
157,11270,11011,1.50141205,1.38794117
158,8309,8149,0.0570712184,-0.0211711494
159,5570,5480,-1.27898064,-1.33525947
160,2876,2724,-2.59308203,-2.69218244
161,1506,1086,-3.26135185,-3.49865553
162,658,438,-3.67499624,-3.81769982
163,1614,1239,-3.20867073,-3.42332562
164,3259,2926,-2.40625915,-2.59272727
165,5020,4805,-1.54726414,-1.66759728
166,8165,7890,-0.0131702812,-0.148690398
167,10860,10683,1.3014189,1.22644961
168,13607,13402,2.64137306,2.56515554
169,14819,14954,3.23257235,3.32928633
170,15903,15596,3.76133475,3.64537651
171,15027,15198,3.33403229,3.44942029
172,13259,13521,2.47162277,2.62374547
173,11135,11174,1.43556065,1.46819459
174,8215,8265,0.0112191284,0.0359417187
175,5545,5336,-1.29117534,-1.4061582
176,3144,2844,-2.46235479,-2.63310016
177,1389,1044,-3.31842307,-3.51933432
178,705,506,-3.65207019,-3.78421987
179,1455,1053,-3.28622905,-3.51490315
180,2835,2206,-2.61308134,-2.94722094
181,5267,5117,-1.42678046,-1.51398336
182,7966,7859,-0.110240131,-0.16395332
183,11028,10889,1.38336731,1.32787418
184,13760,13531,2.71600465,2.62866899
185,14699,14698,3.17403776,3.20324414
186,15997,15709,3.80718684,3.70101233
187,15087,15192,3.36329958,3.44646618
188,13166,13346,2.42625847,2.53758381
189,11097,10943,1.4170247,1.35446121
190,8236,8313,0.0214626804,0.0595746297
191,5352,5109,-1.38531846,-1.51792218
192,3183,2884,-2.44333105,-2.61340607
193,1178,1233,-3.42134638,-3.42627974
194,789,353,-3.61109598,-3.85954977
