# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:56:29+00:00
# capture_name=harmonics_2vpp_1to100_5Vdiv_g45p00_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=1e-05
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=1288
# firmware_status_timestamp=2026-08-23T20:56:29+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:100
# coupling_ch1=dc
# gain_pct_ch1=45.0000
# afe_offset_pct_ch1=49.9800
# calibration_profile_ch1=ch1_1to100
# normal_requested_volts_per_div_ch1=5
# calibration_volts_per_code_ch1=0.00262986607407
# calibrated_volts_per_div_ch1=5.3859657197
# displayed_volts_per_div_ch1=5
# channel_enabled_ch2=true
# attenuation_ch2=1:100
# coupling_ch2=dc
# gain_pct_ch2=45.0000
# afe_offset_pct_ch2=50.0200
# calibration_profile_ch2=ch2_1to100
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=0.00264756886989
# calibrated_volts_per_div_ch2=5.42222104552
# displayed_volts_per_div_ch2=5
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to100_5Vdiv_g45p00
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,14874,15091,17.5727651,18.2655776
1,13665,13698,14.393257,14.5775142
2,11697,12003,9.21768059,10.089885
3,9187,9175,2.61671674,2.6025602
4,6363,6525,-4.81002505,-4.41349731
5,3899,3801,-11.2900151,-11.6254749
6,2356,2145,-15.3478984,-16.009849
7,1312,1201,-18.0934786,-18.509154
8,1643,1393,-17.2229929,-18.0008207
9,2824,2675,-14.1171211,-14.6066375
10,4957,4497,-8.50761675,-9.78276697
11,7411,7391,-2.0539254,-2.12070266
12,10062,9645,4.91784956,3.84691757
13,12449,12539,11.1953399,11.5089819
14,14249,14378,15.9290988,16.377861
15,15012,15192,17.9356866,18.5329821
16,14906,15175,17.6569208,18.4879734
17,13613,13846,14.256504,14.9693544
18,11704,12035,9.23608965,10.1746072
19,9020,9134,2.17752911,2.49400988
20,6302,6177,-4.97044688,-5.33485127
21,4057,4437,-10.8744962,-9.94162111
22,2329,2160,-15.4189048,-15.9701354
23,1377,1196,-17.9225373,-18.5223918
24,1586,1538,-17.3728953,-17.6169233
25,2880,2708,-13.9698486,-14.5192677
26,4837,4546,-8.82320068,-9.6530361
27,7583,7495,-1.60158844,-1.8453555
28,10061,9890,4.91521969,4.49557194
29,12508,12640,11.350502,11.7763863
30,14137,14257,15.6345538,16.0575052
31,15089,15326,18.1381863,18.8877563
32,14917,15118,17.6858493,18.337062
33,13675,13694,14.4195557,14.5669239
34,11719,11924,9.27553764,9.88072702
35,9210,9175,2.67720366,2.6025602
36,6355,6423,-4.83106398,-4.68354933
37,3901,3906,-11.2847553,-11.3474802
38,2220,1926,-15.7055602,-16.5896665
39,1488,1249,-17.6306222,-18.3820707
40,1620,1431,-17.2834798,-17.9002131
41,2836,2616,-14.0855627,-14.762844
42,4946,4655,-8.53654528,-9.36445109
43,7426,7453,-2.01447741,-1.95655339
44,10052,10156,4.8915509,5.19982526
45,12613,12637,11.6266379,11.7684436
46,14287,14267,16.0290337,16.0839809
47,15073,15025,18.0961085,18.0908381
48,14948,15014,17.7673752,18.0617148
49,13659,13820,14.3774778,14.9005176
50,11689,12078,9.19664166,10.2884526
51,9058,9051,2.27746402,2.27426166
52,6406,6580,-4.69694081,-4.26788102
53,3891,3763,-11.311054,-11.7260825
54,2322,2127,-15.4373139,-16.0575052
55,1448,1347,-17.7358168,-18.1226089
56,1527,1369,-17.5280574,-18.0643624
57,2820,2492,-14.1276405,-15.0911426
58,4854,4681,-8.77849296,-9.2956143
59,7485,7469,-1.85931531,-1.91419229
60,10007,9704,4.77320692,4.00312413
61,12509,12613,11.3531318,11.704902
62,14347,14463,16.1868257,16.6029044
63,15042,15289,18.0145826,18.7897963
64,14886,15070,17.6043235,18.2099787
65,13608,13787,14.2433547,14.8131478
