# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:37:28+00:00
# capture_name=harmonics_2vpp_1to1_20mVdiv_09.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=2867
# firmware_status_timestamp=2026-08-23T20:37:28+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=45.44
# firmware_afe_ch1_offset_pct=51.50
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=45.44
# firmware_afe_ch2_offset_pct=51.50
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=45.4400
# afe_offset_pct_ch1=51.5000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.05
# calibration_volts_per_code_ch1=2.44116517637e-05
# calibrated_volts_per_div_ch1=0.049995062812
# displayed_volts_per_div_ch1=0.05
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=45.4400
# afe_offset_pct_ch2=51.5000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.05
# calibration_volts_per_code_ch2=2.46406002339e-05
# calibrated_volts_per_div_ch2=0.0504639492791
# displayed_volts_per_div_ch2=0.05
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_20mVdiv
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.16
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=9
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,2758,2917,-0.132652916,-0.129979166
1,1680,1637,-0.158968676,-0.161519135
2,2054,1758,-0.149838719,-0.158537622
3,3212,2946,-0.121570026,-0.129264589
4,5326,5163,-0.069963794,-0.0746363781
5,7923,7645,-0.00656673432,-0.0134784083
6,10342,10261,0.0524850513,0.0509814019
7,12608,12859,0.107801854,0.114997681
8,14340,14784,0.150082835,0.162430837
9,15322,15198,0.174055077,0.172632045
10,14964,14699,0.165315706,0.160336386
11,13571,14068,0.131310275,0.144788167
12,11875,11710,0.0899081134,0.0866856316
13,9252,8950,0.0258763509,0.018677575
14,6430,6706,-0.0430133304,-0.0366159319
15,4300,4371,-0.0950101487,-0.0941517335
16,2554,2332,-0.137632893,-0.144393917
17,1841,1534,-0.1550384,-0.164057116
18,1983,1725,-0.151571946,-0.159350762
19,3114,3037,-0.123962368,-0.127022294
20,5227,5056,-0.0723805475,-0.0772729223
21,7912,7601,-0.00683526249,-0.0145625947
22,10359,10281,0.0529000494,0.0514742139
23,12817,13076,0.112903889,0.120344692
24,14419,14590,0.152011356,0.15765056
25,15311,15339,0.173786549,0.17610637
26,14897,15221,0.163680125,0.173198779
27,13740,13815,0.135435844,0.138554095
28,11638,11549,0.084122552,0.082718495
29,9108,9268,0.022361073,0.0265132859
30,6539,6289,-0.0403524604,-0.0468910622
31,4120,4376,-0.099404246,-0.0940285305
32,2510,2440,-0.138707005,-0.141732733
33,1936,1675,-0.152719293,-0.160582792
34,1965,1432,-0.152011356,-0.166570458
35,3198,3038,-0.121911789,-0.126997654
36,5293,5315,-0.0707693785,-0.0708910069
37,7675,7601,-0.012620824,-0.0145625947
38,10385,10468,0.0535347523,0.0560820061
39,12689,12814,0.109779198,0.113888854
40,14428,14694,0.15223106,0.160213183
41,15174,15146,0.170442153,0.171350734
42,14990,15109,0.165950409,0.170439032
43,13548,13870,0.130748807,0.139909328
44,11690,11801,0.0853919579,0.0889279262
45,9294,8918,0.0269016402,0.0178890758
46,6532,6456,-0.0405233419,-0.042776082
47,4124,4453,-0.0993065994,-0.0921312043
48,2562,2400,-0.137437599,-0.142718357
49,1769,1283,-0.156796039,-0.170241907
50,1897,1576,-0.153671348,-0.163022211
51,3124,3149,-0.123718251,-0.124262547
52,5324,5075,-0.0700126173,-0.0768047509
53,7756,7469,-0.0106434802,-0.017815154
54,10415,10386,0.0542671019,0.0540614769
55,12757,12966,0.11143919,0.117634226
56,14350,14619,0.150326952,0.158365138
57,15259,14980,0.172517143,0.167260394
58,14863,15219,0.162850129,0.173149498
59,13618,13796,0.132457622,0.138085924
60,11859,11708,0.089517527,0.0866363504
61,9119,9200,0.0226296012,0.024837725
62,6640,6558,-0.0378868835,-0.0402627408
