# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:44:23+00:00
# capture_name=harmonics_2vpp_1to1_20mVdiv_g49p50_01.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=normal
# voltage_display_mode=calibrated_volts
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=3293
# firmware_status_timestamp=2026-08-23T20:44:23+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=49.50
# firmware_afe_ch1_offset_pct=51.40
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.50
# firmware_afe_ch2_offset_pct=51.40
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=49.5000
# afe_offset_pct_ch1=51.4000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=0.02
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=49.5000
# afe_offset_pct_ch2=51.4000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=0.02
# measurement_type=harmonics
# series_id=harmonics_2vpp_1to1_20mVdiv_g49p50
# input_condition=generator_splitter
# generator_model=Hantek HDG6202
# generator_waveform=sine
# generator_frequency_hz=5000000
# generator_amplitude_vpk=0.06
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=1
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,9263,8911,0.0107533162,0.00708335068
1,11694,10942,0.035161637,0.0270920923
2,12890,13102,0.0471700088,0.0483716993
3,13886,14787,0.0571702916,0.0649717632
4,14553,14342,0.0638672682,0.0605877701
5,14139,13987,0.0597105241,0.0570904272
6,12207,12385,0.0403123851,0.041308052
7,10087,10169,0.0190266425,0.0194767514
8,7585,7494,-0.00609454988,-0.00687646561
9,5300,5536,-0.0290369658,-0.0261660353
10,3591,3321,-0.0461960856,-0.0479874842
11,2355,2756,-0.0586060752,-0.0535536777
12,2214,2001,-0.0600217779,-0.0609916885
13,2986,2724,-0.0522705546,-0.0538689312
14,4391,4475,-0.03816373,-0.0366186571
15,6555,6821,-0.0164362078,-0.0135066395
16,9330,9124,0.011426026,0.00918175637
17,11314,11215,0.0313462681,0.0297815982
18,13444,13735,0.0527324151,0.0546078064
19,14726,14772,0.0656042651,0.0648239881
20,14649,14593,0.0648311508,0.0630605392
21,13608,13837,0.054379048,0.0556126767
22,12631,12418,0.0445695336,0.0416331571
23,9944,10747,0.017590859,0.0251710167
24,7723,8037,-0.00470896852,-0.00152700884
25,5778,4741,-0.0242376333,-0.0339981129
26,3658,3447,-0.0455233759,-0.0467461738
27,2524,3296,-0.05690924,-0.048233776
28,2336,1756,-0.0587968436,-0.0634053477
29,2951,2291,-0.0526219702,-0.0581347042
30,4322,4902,-0.0388565206,-0.0324119941
31,6834,6790,-0.0136349238,-0.0138120412
32,9237,9180,0.0104922646,0.00973344989
33,11352,10996,0.031727805,0.0276240825
34,13444,13172,0.0527324151,0.0490613162
35,14099,14864,0.0593089063,0.0657303418
36,14543,15298,0.0637668637,0.0700059665
37,14260,13547,0.0609254179,0.0527556925
38,12360,12448,0.0418485731,0.0419287072
39,9909,10691,0.0172394434,0.0246193231
40,8046,7665,-0.00146590491,-0.00519183005
41,5332,4969,-0.0287156716,-0.0317519322
42,3514,4129,-0.0469691999,-0.0400273349
43,2349,2367,-0.0586663178,-0.0573859773
44,2410,1673,-0.0580538507,-0.0642230363
45,2764,2890,-0.0544995333,-0.052233554
46,4608,4578,-0.0359849535,-0.0356039351
47,6935,6474,-0.0126208389,-0.0169251689
48,9119,9254,0.00930749215,0.0104624735
49,11713,11362,0.0353524055,0.0312297937
50,13084,13372,0.049117855,0.0510316502
51,14367,14660,0.0619997455,0.0637206011
52,14571,14953,0.0640479962,0.0666071404
53,13885,13760,0.0571602512,0.0548540982
54,12389,12403,0.042139746,0.0414853821
55,10314,10475,0.0213058235,0.0224913624
56,7937,7888,-0.00256031338,-0.00299490766
57,5304,5378,-0.028996804,-0.0277225992
58,3779,3748,-0.0443084821,-0.0437808212
59,2572,2359,-0.0564272987,-0.0574647907
60,2312,1784,-0.0590378143,-0.0631295009
