# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T21:07:04+00:00
# capture_name=noise_1vpp_gnd_02.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=custom
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=45061
# firmware_status_timestamp=2026-08-23T21:07:04+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0011
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=1
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=1
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibrated_volts_per_div_ch1=
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=0.02
# calibrated_volts_per_div_ch2=
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_1vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=1
# sense_ch2_vpp=1
# series_total=10
# repetition_index=2
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8260,8108
1,8200,8035
2,8260,8349
3,8213,8169
4,8210,8150
5,8262,8151
6,8199,8128
7,8287,8130
8,8216,8046
9,8201,8109
10,8269,8102
11,8235,8166
12,8246,8166
13,8164,8077
14,8264,8066
15,8237,8168
16,8223,8100
17,8265,8125
18,8185,8137
19,8306,8240
20,8190,8142
21,8219,8213
22,8167,7987
23,8264,8117
24,8278,8098
25,8236,8023
26,8238,8196
27,8264,7986
28,8237,8273
29,8201,8317
30,8186,8149
31,8287,8104
32,8284,7951
33,8179,8114
34,8295,8082
35,8170,8075
36,8212,8308
37,8266,8212
38,8258,8031
39,8288,8286
40,8276,8107
41,8265,8156
42,8162,7911
43,8269,8097
44,8182,8102
45,8232,8086
46,8174,8261
47,8303,8300
48,8196,7970
49,8211,8107
50,8212,8144
51,8225,8202
52,8229,8132
53,8190,7977
54,8277,8281
55,8101,8123
56,8218,8155
57,8315,8103
58,8209,8284
59,8183,7997
60,8194,7990
61,8299,8247
62,8120,8211
63,8274,8214
64,8219,7947
65,8278,8217
66,8290,8235
67,8209,8105
68,8206,8159
69,8256,8168
70,8260,8165
71,8196,7975
72,8238,8163
73,8184,8167
74,8226,8115
75,8222,8118
76,8212,8132
77,8280,8085
78,8261,8174
79,8193,8115
80,8253,8194
81,8195,8133
82,8271,8117
83,8207,8105
84,8300,8203
85,8274,8071
86,8189,7914
87,8221,8265
88,8271,8176
89,8218,8113
90,8264,7916
91,8181,8170
92,8255,8284
93,8270,7989
94,8274,8224
95,8100,8136
96,8260,8097
97,8226,8219
98,8224,7954
99,8275,8204
100,8216,8141
101,8224,8399
102,8202,8116
103,8221,7987
104,8181,8135
105,8180,7987
106,8264,8329
107,8311,8113
108,8207,8220
109,8199,8107
110,8256,8264
111,8189,7988
112,8252,8133
113,8166,8174
114,8244,8016
115,8174,8167
116,8213,8004
117,8161,8120
118,8239,8302
119,8311,8232
120,8171,7983
121,8236,8256
122,8257,8066
123,8258,8220
124,8205,7924
125,8189,7990
126,8276,8244
127,8216,8094
128,8158,7999
129,8211,7926
130,8200,8079
131,8256,8113
132,8272,8094
133,8191,8040
134,8271,8109
135,8220,8141
136,8292,8195
137,8202,8179
138,8124,8064
139,8254,8199
140,8230,8256
141,8273,8149
142,8274,7972
143,8192,8191
144,8243,8262
145,8222,7937
146,8331,8165
147,8154,8101
148,8259,8094
149,8260,8198
150,8267,8002
151,8168,8225
152,8239,8276
153,8184,8156
154,8211,8124
155,8267,7862
156,8201,8156
157,8235,8072
158,8184,8131
159,8119,8215
160,8212,8188
