# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-08-23T20:07:03+00:00
# capture_name=noise_2vpp_gnd_08.csv
# decim_factor=1
# requested_decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# actual_seconds_per_div=1.024e-05
# requested_seconds_per_div=2e-07
# ui_mode=advanced
# voltage_display_mode=raw_adc_codes
# trigger_mode=off
# trigger_source=1
# trigger_level_pct=50.0000
# adc_format=Offset Binary
# calibration_schema_version=2
# frame_sequence=713
# firmware_status_timestamp=2026-08-23T20:07:03+00:00
# software_git_commit=8df6a59
# software_git_dirty=true
# firmware_depth=8192
# firmware_pretrigger=0
# firmware_decim=1
# firmware_trigger=off
# firmware_mock=0
# firmware_fpga_status=0x03
# firmware_ready=1
# firmware_overflow=1
# firmware_prehistory=0
# firmware_armed=0
# firmware_ctrl=0x0001
# firmware_sample_cfg=0x000D
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# fpga_build=0x89
# fpga_version=0x08
# channel_enabled_ch1=true
# attenuation_ch1=1:1
# coupling_ch1=dc
# gain_pct_ch1=50.0000
# afe_offset_pct_ch1=50.0000
# calibration_profile_ch1=ch1_1to1
# normal_requested_volts_per_div_ch1=0.02
# calibration_volts_per_code_ch1=1.00404446079e-05
# calibrated_volts_per_div_ch1=0.0205628305569
# displayed_volts_per_div_ch1=raw_adc_codes
# channel_enabled_ch2=true
# attenuation_ch2=1:1
# coupling_ch2=dc
# gain_pct_ch2=50.0000
# afe_offset_pct_ch2=50.0000
# calibration_profile_ch2=ch2_1to1
# normal_requested_volts_per_div_ch2=5
# calibration_volts_per_code_ch2=9.85166992743e-06
# calibrated_volts_per_div_ch2=0.0201762200114
# displayed_volts_per_div_ch2=raw_adc_codes
# measurement_type=noise
# series_id=noise_2vpp_gnd
# input_condition=grounded
# generator_model=Hantek HDG6202
# generator_waveform=off
# generator_frequency_hz=0
# generator_amplitude_vpk=0
# generator_offset_v=0
# generator_load=50_ohm
# sense_configuration_confirmed=true
# sense_ch1_vpp=2
# sense_ch2_vpp=2
# series_total=10
# repetition_index=8
# invalid_frames_before_capture=0
index,ch1_raw,ch2_raw
0,8192,8032
1,8389,8171
2,8370,8260
3,8183,7976
4,8281,7984
5,8201,7942
6,8258,7976
7,8130,8216
8,8161,7665
9,8307,8171
10,8324,8262
11,8404,8093
12,8114,8031
13,8299,8147
14,8060,7976
15,8156,8139
16,8418,7896
17,8128,8053
18,8370,8167
19,8284,8203
20,8215,7873
21,8167,8089
22,8353,8045
23,8226,8014
24,8146,8123
25,8351,7830
26,8226,8099
27,8394,8459
28,8126,7911
29,8268,7870
30,8136,8207
31,8222,8038
32,8329,8251
33,8286,7988
34,8248,8107
35,8332,8163
36,8341,7995
37,8101,8325
38,8371,8212
39,8024,8297
40,8305,8240
41,8396,8282
42,8177,7944
43,8354,8046
44,8062,7834
45,8314,7988
46,8259,8043
47,8295,8141
48,8232,8042
49,8317,8189
50,8260,8085
51,8169,8024
52,8351,8120
53,8265,8165
54,8285,7840
55,8089,8048
56,8306,8099
57,8446,8384
58,8175,8174
59,8348,8159
60,8177,7882
61,8348,8192
62,8252,8327
63,8405,8148
64,8306,8200
65,8170,8087
66,8333,8306
67,8225,7913
68,8177,7964
69,8192,8262
70,8212,7687
71,8322,8406
72,8231,7807
73,8170,8141
74,8257,8120
75,8389,7971
76,8115,7878
77,8331,8232
78,8216,8002
79,8247,8473
80,8163,8072
81,8291,7940
82,8273,8050
83,8403,7817
84,8103,8075
85,8191,8206
86,8409,8418
87,8200,7908
88,8147,7850
89,8280,8032
90,8364,8290
91,8264,7598
92,8196,7962
93,8334,8273
94,8121,8259
95,8234,8220
96,8451,8192
97,8164,8133
98,8246,8070
99,8259,7886
100,8227,8016
101,8384,8359
102,8291,8062
103,8108,8528
104,8223,8140
105,8287,8173
106,8241,8028
107,8195,7880
108,8213,8140
109,8314,7960
110,7989,8137
111,8248,8087
112,8218,7934
113,8387,8088
114,8167,8074
115,8192,7953
116,8338,8273
117,8223,8136
118,8268,8046
119,8401,8295
120,8292,8144
121,8254,7991
122,8183,7817
123,8172,8124
124,8348,7935
125,8271,8013
126,8272,8483
127,8125,7958
128,8334,8294
129,8238,8262
130,8132,7877
131,8238,8114
132,8153,7861
133,8420,8386
134,8304,7963
135,8238,7950
136,8184,8246
137,8203,8291
138,8145,8121
139,8316,7978
140,8189,7856
141,8346,8198
142,8274,7871
143,8235,8067
144,8206,8259
145,8308,8159
146,8438,8395
147,8231,7917
148,8056,7885
149,8323,8289
150,8088,7481
151,8052,8058
152,8309,7914
153,8398,8214
154,8265,8043
155,8380,8077
156,8145,8137
157,8278,8268
158,8118,7984
159,8343,7818
160,8099,7865
161,8260,8251
162,8265,8280
163,8241,7751
164,8339,8224
165,8168,8038
166,8249,8124
167,8018,7731
168,8296,8024
