# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-08-19T00:46:18
# capture_name=capture_1_1_after_calibration.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=25.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
# calibration_profile_ch1=ch1_1to1
# calibration_gain_pct_ch1=25.0000
# calibration_volts_per_code_ch1=1.73834440079e-05
# calibration_offset_v_ch1=-0.0010028804231
# calibration_profile_ch2=ch2_1to1
# calibration_gain_pct_ch2=50.0000
# calibration_volts_per_code_ch2=8.95475609483e-06
# calibration_offset_v_ch2=-0.000211805341791
index,ch1_raw,ch2_raw,ch1_volts,ch2_volts
0,6910,3183,-0.0232884556,-0.0450661786
1,6788,2716,-0.0254092358,-0.0492480497
2,6825,2649,-0.0247660484,-0.0498480184
3,6672,2955,-0.0274257153,-0.047107863
4,6810,2680,-0.0250268,-0.0495704209
5,6684,2540,-0.027217114,-0.0508240868
6,6666,2096,-0.027530016,-0.0547999985
7,6618,2358,-0.0283644213,-0.0524538524
8,6943,2128,-0.022714802,-0.0545134463
9,6875,2433,-0.0238968762,-0.0517822457
10,6749,2049,-0.0260871901,-0.055220872
11,6610,1659,-0.0285034888,-0.0587132269
12,6523,1979,-0.0300158485,-0.055847705
13,6451,1196,-0.0312674564,-0.062859279
14,6616,1536,-0.0283991882,-0.0598146619
15,6525,1797,-0.0299810816,-0.0574774706
16,6428,1421,-0.0316672757,-0.0608444589
17,6336,1466,-0.0332665525,-0.0604414948
18,6364,1390,-0.0327798161,-0.0611220563
19,6417,1080,-0.0318584935,-0.0638980307
20,6354,1476,-0.0329536505,-0.0603519473
21,6324,1509,-0.0334751538,-0.0600564403
22,6305,952,-0.0338054393,-0.0650442395
23,6188,828,-0.0358393022,-0.0661546292
24,6393,728,-0.0322756962,-0.0670501048
25,6502,783,-0.0303809008,-0.0665575932
26,6342,486,-0.0331622518,-0.0692171558
27,6167,287,-0.0362043545,-0.0709991523
28,6102,573,-0.0373342784,-0.068438092
29,6340,349,-0.0331970187,-0.0704439574
30,6116,638,-0.0370909102,-0.0678560329
31,6050,498,-0.0382382175,-0.0691096987
32,6258,757,-0.0346224611,-0.0667904169
33,6042,0,-0.038377285,-0.0735691673
34,6199,0,-0.0356480843,-0.0735691673
35,6076,73,-0.0377862479,-0.0729154701
36,6001,12,-0.0390900062,-0.0734617102
37,6164,0,-0.0362565049,-0.0735691673
38,6019,0,-0.0387771043,-0.0735691673
39,6132,0,-0.0368127751,-0.0735691673
40,5974,0,-0.0395593592,-0.0735691673
41,6033,0,-0.038533736,-0.0735691673
42,6041,0,-0.0383946685,-0.0735691673
43,5945,0,-0.0400634791,-0.0735691673
44,5982,0,-0.0394202917,-0.0735691673
45,5805,0,-0.0424971613,-0.0735691673
46,5782,0,-0.0428969805,-0.0735691673
47,5902,0,-0.0408109672,-0.0735691673
48,5775,0,-0.0430186646,-0.0735691673
49,5833,0,-0.0420104248,-0.0735691673
50,5782,0,-0.0428969805,-0.0735691673
51,5723,0,-0.0439226037,-0.0735691673
52,5846,0,-0.0417844401,-0.0735691673
53,5820,0,-0.0422364096,-0.0735691673
54,5753,0,-0.0434011004,-0.0735691673
55,5615,0,-0.0458000156,-0.0735691673
56,5545,0,-0.0470168567,-0.0735691673
57,5685,0,-0.0445831746,-0.0735691673
58,5408,0,-0.0493983885,-0.0735691673
59,5598,0,-0.0460955342,-0.0735691673
60,5591,0,-0.0462172183,-0.0735691673
61,5620,0,-0.0457130984,-0.0735691673
62,5546,0,-0.0469994733,-0.0735691673
63,5415,0,-0.0492767044,-0.0735691673
