# DigitalOscilloscope capture
# format_version=2
# fs_hz=40000000.0
# n_bits=14
# timestamp=2026-07-23T08:42:56
# capture_name=capture_20260723_084251.csv
# decim_factor=2
# capture_depth=8192
# pretrigger_samples=4096
# trigger_mode=normal
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=52.00
# firmware_afe_ch1_offset_pct=50.17
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=ac
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.01
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,8071,16383
1,8100,16383
2,7905,16383
3,8141,16383
4,7630,16383
5,7841,16383
6,7611,16383
7,8443,16383
8,7411,16383
9,7862,16383
10,7408,16383
11,8085,16383
12,7064,16383
13,7912,16383
14,7352,16383
15,7872,16383
16,7355,16383
17,7813,16383
18,7634,16383
19,7606,16383
20,7555,16383
21,6908,16383
22,7914,16383
23,7125,16383
24,7341,16383
25,7343,16383
26,7397,16383
27,7384,16383
28,7582,16383
29,6809,16383
30,7070,16383
31,6830,16383
32,6799,16383
33,7409,16383
34,7142,16383
35,7098,16383
36,6835,16383
37,7388,16383
38,7044,16383
39,7107,16383
40,7115,16383
41,7347,16383
42,7052,16383
43,7060,16383
44,7155,16383
45,7118,16383
46,6818,16383
47,7301,16383
48,7058,16383
49,7158,16383
50,7049,16383
51,6587,16383
52,6813,16383
53,6655,16383
54,6307,16383
55,6584,16383
56,6621,16383
57,6795,16383
58,6793,16383
59,6885,16383
60,7043,16383
61,6623,16383
62,7057,16383
63,6605,16383
64,6292,16383
65,6859,16383
66,6277,16383
67,6592,16383
68,6611,16383
69,6583,16383
70,6291,16383
71,6043,16383
72,6095,16383
73,6115,16383
74,6061,16383
75,6548,16383
76,6392,16383
77,6278,16383
78,6121,16383
79,6280,16383
80,6550,16383
81,6027,16383
82,6554,16383
83,6126,16383
84,6304,16383
85,6087,16383
86,6808,16383
87,6017,16383
88,6141,16383
89,6043,16383
90,5537,16383
91,5767,16383
92,5847,16383
93,6027,16383
94,5600,16383
95,6088,16383
96,6034,16383
97,6368,16383
98,6073,16383
99,5875,16383
100,5567,16383
101,5869,16383
102,5580,16383
103,5769,16383
104,6094,16383
105,6071,16383
106,5517,16383
107,5596,16383
108,5817,16383
109,5587,16383
110,5760,16383
111,5273,16383
112,5846,16383
113,5337,16383
114,5293,16383
115,5255,16383
116,5298,16383
117,5626,16383
118,5287,16383
119,4816,16383
120,5504,16383
121,5056,16383
122,5363,16383
123,5514,16383
124,5355,16383
125,5618,16383
126,5805,16383
127,5339,16383
128,5544,16383
129,5285,16383
130,5261,16383
131,5341,16383
132,5033,16383
133,4777,16383
134,5340,16383
135,4784,16383
136,5039,16383
137,4842,16383
138,5322,16383
139,4597,16383
140,5080,16383
141,4528,16383
142,4782,16383
143,4863,16383
144,5313,16383
145,5256,16383
146,5106,16383
147,5105,16383
148,4328,16383
149,4598,16383
150,4852,16383
151,4511,16383
152,4326,16383
153,4761,16383
154,4811,16383
155,5040,16383
156,4810,16383
157,4748,16383
158,4759,16383
159,5107,16383
160,4757,16383
161,4332,16383
162,4340,16383
163,4555,16383
164,4229,16383
165,4281,16383
166,4564,16383
167,4491,16383
168,4226,16383
169,4746,16383
170,4858,16383
171,4831,16383
172,4272,16383
173,4603,16383
174,4579,16383
175,4019,16383
176,4227,16383
177,4591,16383
178,4242,16383
179,4276,16383
180,4071,16383
181,4057,16383
182,4325,16383
183,4270,16383
184,4226,16383
185,4310,16383
186,4539,16383
187,4231,16383
188,4035,16383
189,4283,16383
190,3974,16383
191,4013,16383
192,4069,16383
193,4328,16383
194,4009,16383
195,4526,16383
196,4251,16383
197,4345,16383
198,3987,16383
199,3559,16383
200,3572,16383
201,3822,16383
202,3464,16383
203,3721,16383
204,4012,16383
205,4051,16383
206,3795,16383
207,3477,16383
208,3512,16383
209,3497,16383
210,3316,16383
211,3800,16383
212,3485,16383
213,3457,16383
214,3258,16383
215,3571,16383
216,3553,16383
217,3486,16383
218,3737,16383
219,3775,16383
220,3461,16383
221,3000,16383
222,3500,16383
223,3314,16383
224,4036,16383
225,3543,16383
226,3505,16383
227,3262,16383
228,3520,16383
229,3495,16383
230,3561,16383
231,3549,16383
232,3553,16383
233,3277,16383
234,3480,16383
235,3557,16383
236,3249,16383
237,3800,16383
238,3290,16383
239,3291,16383
240,2749,16383
241,2528,16383
242,2732,16383
243,3226,16383
244,3521,16383
245,3041,16383
246,3318,16383
247,3006,16383
248,2806,16383
249,2763,16383
250,2477,16383
251,3050,16383
252,3246,16383
253,3209,16383
254,3231,16383
255,3481,16383
256,3297,16383
257,3059,16383
258,2770,16383
259,2765,16383
260,2290,16383
261,2945,16383
262,2527,16383
263,3292,16383
264,2724,16383
265,2696,16383
266,3228,16383
267,2980,16383
268,3013,16383
269,2945,16383
270,3070,16383
271,2986,16383
272,2813,16383
273,2949,16383
274,2980,16383
275,2702,16383
276,3318,16383
277,3269,16383
278,3046,16383
279,2757,16383
280,2993,16383
281,2291,16383
282,2757,16383
283,2434,16383
284,2695,16383
285,2482,16383
286,2806,16383
287,2234,16383
288,2294,16383
289,2270,16383
290,1774,16383
291,2501,16383
292,2222,16383
293,3053,16383
294,2766,16383
295,2731,16383
296,2451,16383
297,2477,16383
298,2503,16383
299,2504,16383
300,2557,16383
301,2535,16383
302,2527,16383
303,2688,16383
304,2277,16383
305,2511,16383
306,2507,16383
307,2471,16383
308,2540,16383
309,2795,16383
310,2216,16383
311,2274,16383
312,2272,16383
313,2267,16383
314,2715,16383
315,1970,16383
316,2515,16383
317,2197,16383
318,2190,16383
319,1948,16383
320,2730,16383
321,2009,16383
322,2248,16383
323,2019,16383
324,2265,16383
325,2455,16383
326,1733,16383
327,1920,16383
328,1715,16383
329,2182,16383
330,1929,16383
331,1964,16383
332,2206,16383
333,2269,16383
334,2041,16383
335,1706,16383
336,1943,16383
337,2248,16383
338,2256,16383
339,2178,16383
340,2293,16383
341,2215,16383
342,2040,16383
343,1944,16383
344,2210,16383
345,1981,16383
346,2033,16383
347,1717,16383
348,1759,16383
349,1779,16383
350,1998,16383
351,1731,16383
352,1783,16383
353,1767,16383
354,2043,16383
355,1697,16383
356,1990,16383
357,1731,16383
358,1947,16383
359,1971,16383
360,1734,16383
361,1925,16383
362,1925,16383
363,2298,16383
364,2178,16383
365,1213,16383
366,1524,16383
367,1979,16383
368,1710,16383
369,1709,16383
370,1728,16383
371,1669,16383
372,1767,16383
373,1705,16383
374,1686,16383
375,1961,16383
376,1681,16383
377,1953,16383
378,1476,16383
379,1470,16383
380,1679,16383
381,1261,16383
382,1784,16383
383,1940,16383
384,1961,16383
385,1705,16383
386,1721,16383
387,1709,16383
388,1437,16383
389,1737,16383
390,1216,16383
391,1681,16383
392,1958,16383
393,1519,16383
394,1931,16383
395,1733,16383
396,1722,16383
397,1938,16383
398,1738,16383
399,1665,16383
400,1501,16383
401,1761,16383
402,1159,16383
403,1508,16383
404,1777,16383
405,1528,16383
406,1667,16383
407,1534,16383
408,1920,16383
409,1234,16383
410,1463,16383
411,967,16383
412,1275,16383
413,1728,16383
414,1178,16383
415,2012,16383
416,1491,16383
417,1450,16383
418,1256,16383
419,1435,16383
420,1486,16383
421,1264,16383
422,939,16383
423,1182,16383
424,1196,16383
425,1694,16383
426,1428,16383
427,1193,16383
428,1200,16383
429,1720,16383
430,1184,16383
431,1232,16383
432,1672,16383
433,972,16383
434,1476,16383
435,1423,16383
436,1231,16383
437,1535,16383
438,1158,16383
439,1240,16383
440,1422,16383
441,1017,16383
442,1715,16383
443,1247,16383
444,936,16383
445,1007,16383
446,902,16383
447,1692,16383
448,1275,16383
449,1665,16383
450,935,16383
451,1461,16383
452,1270,16383
453,1220,16383
454,982,16383
455,1228,16383
456,939,16383
457,1234,16383
458,1193,16383
459,1266,16383
460,1452,16383
461,1524,16383
462,1222,16383
463,1243,16383
464,714,16383
465,1421,16383
466,1208,16383
467,1678,16383
468,1210,16383
469,1442,16383
470,983,16383
471,1463,16383
472,977,16383
473,1188,16383
474,1217,16383
475,1501,16383
476,1245,16383
477,944,16383
478,945,16383
479,981,16383
480,760,16383
481,1238,16383
