# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-25T21:54:59
# capture_name=capture_20260725_215452.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=4
# trigger_mode=normal
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=55.01
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=5.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=1
index,ch1_raw,ch2_raw
0,16383,16383
1,16383,16383
2,0,0
3,0,0
4,16383,16383
5,16383,16383
6,0,0
7,0,0
8,16383,16383
9,16383,16383
10,0,0
11,0,0
12,16383,16383
13,16383,16383
14,0,0
15,0,0
16,16383,16383
17,16383,16383
18,0,0
19,0,0
20,16383,16383
21,16383,16383
22,0,0
23,0,0
24,16383,16383
25,16383,16383
26,0,0
27,0,0
28,16383,16383
29,16383,16383
30,0,0
31,0,0
32,16383,16383
33,16383,16383
34,0,0
35,0,0
36,16383,16383
37,16383,16383
38,0,0
39,0,0
40,16383,16383
41,16383,16383
42,0,0
43,0,0
44,16383,16383
45,16383,16383
46,0,0
47,0,0
48,16383,16383
49,16383,16383
50,0,0
51,0,0
52,16383,16383
53,16383,16383
54,0,0
55,0,0
56,16383,16383
57,16383,16383
58,0,0
59,0,0
60,16383,16383
61,16383,16383
62,0,0
63,0,0
64,16383,16383
65,16383,16383
66,0,0
67,0,0
68,16383,16383
69,16383,16383
70,0,0
71,0,0
72,16383,16383
73,16383,16383
74,0,0
75,0,0
76,16383,16383
77,16383,16383
78,0,0
79,0,0
80,16383,16383
81,16383,16383
82,0,0
83,0,0
84,16383,16383
85,16383,16383
86,0,0
87,0,0
88,16383,16383
89,16383,16383
90,0,0
91,0,0
92,16383,16383
93,16383,16383
94,0,0
95,0,0
96,16383,16383
97,16383,16383
98,0,0
99,0,0
100,16383,16383
101,16383,16383
102,0,0
103,0,0
104,16383,16383
105,16383,16383
106,0,0
107,0,0
108,16383,16383
109,16383,16383
110,0,0
111,0,0
112,16383,16383
113,16383,16383
114,0,0
115,0,0
116,16383,16383
117,16383,16383
118,0,0
119,0,0
120,16383,16383
121,16383,16383
122,0,0
123,0,0
124,16383,16383
125,16383,16383
126,0,0
127,0,0
128,16383,16383
129,16383,16383
130,0,0
131,0,0
132,16383,16383
133,16383,16383
134,0,0
135,0,0
136,16383,16383
137,16383,16383
138,0,0
139,0,0
140,16383,16383
141,16383,16383
142,0,0
143,0,0
144,16383,16383
145,16383,16383
146,0,0
147,0,0
148,16383,16383
149,16383,16383
150,0,0
151,0,0
152,16383,16383
153,16383,16383
154,0,0
155,0,0
156,16383,16383
157,16383,16383
158,0,0
159,0,0
160,16383,16383
161,16383,16383
162,0,0
163,0,0
164,16383,16383
165,16383,16383
166,0,0
167,0,0
168,16383,16383
169,16383,16383
170,0,0
171,0,0
172,16383,16383
173,16383,16383
174,0,0
175,0,0
176,16383,16383
177,16383,16383
178,0,0
179,0,0
180,16383,16383
181,16383,16383
182,0,0
183,0,0
184,16383,16383
185,16383,16383
186,0,0
187,0,0
188,16383,16383
189,16383,16383
190,0,0
191,0,0
192,16383,16383
193,16383,16383
194,0,0
195,0,0
196,16383,16383
197,16383,16383
198,0,0
199,0,0
200,16383,16383
201,16383,16383
202,0,0
203,0,0
204,16383,16383
205,16383,16383
206,0,0
207,0,0
208,16383,16383
209,16383,16383
210,0,0
211,0,0
212,16383,16383
213,16383,16383
214,0,0
215,0,0
216,16383,16383
217,16383,16383
218,0,0
219,0,0
220,16383,16383
221,16383,16383
222,0,0
223,0,0
224,16383,16383
225,16383,16383
226,0,0
227,0,0
228,16383,16383
229,16383,16383
230,0,0
231,0,0
232,16383,16383
233,16383,16383
234,0,0
235,0,0
236,16383,16383
237,16383,16383
238,0,0
239,0,0
240,16383,16383
241,16383,16383
242,0,0
243,0,0
244,16383,16383
245,16383,16383
246,0,0
247,0,0
248,16383,16383
249,16383,16383
250,0,0
251,0,0
252,16383,16383
253,16383,16383
254,0,0
255,0,0
256,16383,16383
257,16383,16383
258,0,0
259,0,0
260,16383,16383
261,16383,16383
262,0,0
263,0,0
264,16383,16383
265,16383,16383
266,0,0
267,0,0
268,16383,16383
269,16383,16383
270,0,0
271,0,0
272,16383,16383
273,16383,16383
274,0,0
275,0,0
276,16383,16383
277,16383,16383
278,0,0
279,0,0
280,16383,16383
281,16383,16383
282,0,0
283,0,0
284,16383,16383
285,16383,16383
286,0,0
287,0,0
288,16383,16383
289,16383,16383
290,0,0
291,0,0
292,16383,16383
293,16383,16383
294,0,0
295,0,0
296,16383,16383
297,16383,16383
298,0,0
299,0,0
300,16383,16383
301,16383,16383
302,0,0
303,0,0
304,16383,16383
305,16383,16383
306,0,0
307,0,0
308,16383,16383
309,16383,16383
310,0,0
311,0,0
312,16383,16383
313,16383,16383
314,0,0
315,0,0
316,16383,16383
317,16383,16383
318,0,0
319,0,0
320,16383,16383
321,16383,16383
322,0,0
323,0,0
324,16383,16383
325,16383,16383
326,0,0
327,0,0
328,16383,16383
329,16383,16383
330,0,0
331,0,0
332,16383,16383
333,16383,16383
334,0,0
335,0,0
336,16383,16383
337,16383,16383
338,0,0
339,0,0
340,16383,16383
341,16383,16383
342,0,0
343,0,0
344,16383,16383
345,16383,16383
346,0,0
347,0,0
348,16383,16383
349,16383,16383
350,0,0
351,0,0
352,16383,16383
353,16383,16383
354,0,0
355,0,0
356,16383,16383
357,16383,16383
358,0,0
359,0,0
360,16383,16383
361,16383,16383
362,0,0
363,0,0
364,16383,16383
365,16383,16383
366,0,0
367,0,0
368,16383,16383
369,16383,16383
370,0,0
371,0,0
372,16383,16383
373,16383,16383
374,0,0
375,0,0
376,16383,16383
377,16383,16383
378,0,0
379,0,0
380,16383,16383
381,16383,16383
382,0,0
383,0,0
384,16383,16383
385,16383,16383
386,0,0
387,0,0
388,16383,16383
389,16383,16383
390,0,0
391,0,0
392,16383,16383
393,16383,16383
394,0,0
395,0,0
396,16383,16383
397,16383,16383
398,0,0
399,0,0
400,16383,16383
401,16383,16383
402,0,0
403,0,0
404,16383,16383
405,16383,16383
406,0,0
407,0,0
408,16383,16383
409,16383,16383
410,0,0
411,0,0
412,16383,16383
413,16383,16383
414,0,0
415,0,0
416,16383,16383
417,16383,16383
418,0,0
419,0,0
420,16383,16383
421,16383,16383
422,0,0
423,0,0
424,16383,16383
425,16383,16383
426,0,0
427,0,0
428,16383,16383
429,16383,16383
430,0,0
431,0,0
432,16383,16383
433,16383,16383
434,0,0
435,0,0
436,16383,16383
437,16383,16383
438,0,0
439,0,0
440,16383,16383
441,16383,16383
442,0,0
443,0,0
444,16383,16383
445,16383,16383
446,0,0
447,0,0
448,16383,16383
449,16383,16383
450,0,0
451,0,0
452,16383,16383
453,16383,16383
454,0,0
455,0,0
456,16383,16383
457,16383,16383
458,0,0
