# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T00:32:16
# capture_name=capture_20260726_003200_noise_background.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=4
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=65.00
# firmware_afe_trigger_level_mv=1650
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,8361,7853
1,7918,8141
2,8430,8667
3,8405,7821
4,8318,8186
5,8536,8268
6,8319,8238
7,8385,8453
8,8325,8153
9,8475,7963
10,8132,8196
11,8015,8419
12,8186,8517
13,8348,8329
14,8461,8398
15,8620,7756
16,8440,7331
17,8109,8216
18,8068,8384
19,8190,8421
20,8026,8722
21,8406,8486
22,9169,7693
23,8324,7496
24,7944,8688
25,8545,8156
26,8528,7484
27,7841,8655
28,7908,9107
29,8350,8475
30,8714,8182
31,8825,7858
32,8735,7235
33,7893,8261
34,7715,8857
35,8324,8196
36,8134,8640
37,8424,8530
38,8580,7548
39,8478,7865
40,7976,8532
41,8164,8375
42,8686,8264
43,8606,7632
44,8278,8088
45,8074,8558
46,8103,8278
47,8334,8318
48,8519,7920
49,8525,7953
50,8402,8277
51,8034,8274
52,8038,8501
53,8352,8215
54,8700,7790
55,8413,8127
56,8248,8018
57,7963,8310
58,7931,8786
59,8459,8327
60,9050,7971
61,8662,7831
62,7861,8111
63,7722,8906
64,8358,8424
65,8495,7840
66,8460,8370
67,8540,7997
68,8299,8103
69,8131,8272
70,8120,8480
71,8635,7814
72,8661,7617
73,8577,7993
74,8030,8349
75,7824,8289
76,8136,8722
77,8552,8209
78,8567,8069
79,8146,8154
80,8385,8149
81,8463,7646
82,8070,8230
83,8186,8543
84,8663,8057
85,8388,7958
86,7809,8621
87,8128,8342
88,8649,7600
89,8972,7606
90,8253,7881
91,7746,8570
92,8010,9097
93,8500,8139
94,8655,7900
95,8427,7956
96,8481,8147
97,8369,7778
98,7918,8675
99,8244,8509
100,8253,8203
101,8196,8292
102,8362,8323
103,8500,7781
104,8524,7888
105,8183,8068
106,8185,8176
107,7998,8565
108,8212,8658
109,8712,8012
110,8462,7812
111,8256,8313
112,8101,8309
113,8048,7991
114,8259,8464
115,8307,8478
116,8520,8332
117,8743,7483
118,8542,7730
119,8179,8549
120,7962,8399
121,8042,8852
122,8177,8467
123,8437,8312
124,8620,7954
