# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T00:40:32
# capture_name=capture_20260726_004003_5MHz_200mV.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=4
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.02
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=55.00
# firmware_afe_trigger_level_mv=1550
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,6870,8369
1,6628,7756
2,6080,8653
3,5632,7895
4,4977,7575
5,4211,8391
6,3890,8032
7,3761,7760
8,4194,7806
9,4337,7784
10,4649,7936
11,4982,7919
12,5842,8408
13,6584,8112
14,7010,7602
15,7114,7602
16,6756,8401
17,6603,7776
18,6021,7963
19,5279,8157
20,4963,7952
21,4677,7904
22,4174,7750
23,3699,7809
24,3706,8066
25,4205,7886
26,4665,8181
27,5366,7865
28,5989,7727
29,6556,8037
30,6705,8208
31,6902,7867
32,7079,7662
33,6741,7815
34,5903,8406
35,5385,8149
36,4859,7958
37,4238,8030
38,3763,8256
39,3953,7721
40,3901,7741
41,4235,8076
42,4804,7806
43,4906,7957
44,6037,8154
45,6533,8077
46,6697,7841
47,7024,8064
48,7139,7510
49,6658,8379
50,5921,7923
51,5269,7860
52,4873,7891
53,4470,8418
54,3805,8067
55,3698,7760
56,4186,7559
57,4433,8148
58,4461,8041
59,5022,7835
60,5783,8163
61,6421,7954
62,6997,7659
63,7147,8034
64,7008,7974
65,6726,8025
66,5941,7797
67,5318,7783
68,4730,7897
69,4279,8368
70,4094,8086
71,3949,7607
72,3896,7854
73,4003,8168
74,4719,8100
75,5256,8152
76,5829,8199
77,6499,8032
78,6850,7799
79,7004,8247
80,6958,8125
81,6639,8025
82,6085,7705
83,5403,8000
84,4788,7854
85,4455,7865
86,3951,8134
87,3951,8070
88,3965,7880
89,4086,8243
90,4438,8093
91,5193,7907
92,6080,8171
93,6505,8309
94,6793,7735
95,6899,7509
96,6974,8046
97,6653,8279
98,6140,7985
99,5542,7769
100,4820,8074
101,4300,8133
102,3794,8051
103,3644,8072
104,3741,8526
105,4252,8045
106,4870,7898
107,5173,7748
108,5766,7994
109,6414,8518
110,6877,7633
111,7021,7928
112,7048,8471
113,6920,8021
114,6074,7944
115,5467,7835
116,4840,7944
117,4182,8346
118,3934,7726
119,4178,7533
120,4023,8156
121,3811,8049
122,4463,8388
123,5553,7509
124,5952,7862
125,6159,8200
126,6872,8129
127,7214,8046
128,7054,7969
129,6538,7680
130,5861,8172
131,5593,7909
132,5036,8101
133,4172,8181
134,3992,8060
135,4082,7929
136,3967,7877
137,4006,7462
138,4484,8055
139,5427,8155
140,6183,7987
141,6476,8134
142,6794,8054
143,7029,8088
144,7196,7757
145,6658,7811
146,5719,7939
147,5369,8311
148,4955,8192
149,4374,7975
150,3817,7650
151,3824,8403
152,4152,7835
153,4308,7768
154,4484,8418
155,5152,7983
156,5923,8147
157,6548,7626
158,6706,8001
159,6875,8160
160,6833,8244
161,6892,7823
162,6262,7951
163,5380,7909
164,4721,8409
165,4296,8288
166,3969,7477
167,3862,8017
