# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T00:43:45
# capture_name=capture_20260726_004327_1_25MHz_200mV.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=4
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.02
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=55.00
# firmware_afe_trigger_level_mv=1550
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,4766,8572
1,4708,8390
2,4456,8387
3,4295,7976
4,3885,7574
5,3808,8469
6,3961,8446
7,3664,8107
8,3621,8054
9,3655,8259
10,3515,8313
11,3513,8142
12,3495,7678
13,3319,8072
14,3477,8824
15,3908,8533
16,3945,7729
17,3588,7846
18,3637,8268
19,4210,8511
20,4218,7666
21,4319,8118
22,4623,8570
23,4847,8425
24,5028,7794
25,4940,8141
26,5184,8535
27,5466,8741
28,5893,8063
29,6216,8568
30,6113,7863
31,6156,7913
32,6328,7765
33,6439,7861
34,6594,8497
35,7021,8767
36,7348,8514
37,7203,7960
38,7295,7934
39,7228,8119
40,7434,8218
41,7526,7995
42,7359,8028
43,7376,8517
44,7827,8506
45,7673,8262
46,7533,8124
47,7632,8582
48,7514,7726
49,7110,7550
50,6942,8171
51,7063,8248
52,6904,8583
53,6927,8171
54,6546,8057
55,6329,8438
56,6390,8550
57,6104,7806
58,5615,8303
59,5484,8593
60,5622,8332
61,5219,7738
62,4643,8021
63,4646,8533
64,4896,8724
65,4710,8778
66,4298,7482
67,3807,7720
68,4046,8729
69,4183,8409
70,3943,7763
71,3464,7806
72,3402,8374
73,3755,8551
74,3609,7959
75,3457,7831
76,3396,8223
77,3690,8917
78,3848,8269
79,3591,7555
80,3507,7878
81,3637,8545
82,4072,8533
83,4219,8087
84,4170,7599
85,4356,8632
86,4629,8478
87,4672,7550
88,4763,7950
89,5034,8349
90,5364,8133
91,5604,8442
92,5773,7814
93,5745,7881
94,6026,8389
95,6288,8373
96,6592,8390
97,6526,7678
98,6816,8452
99,7133,8460
100,7007,7703
101,7308,8121
102,7390,8142
103,7397,8516
104,7476,8186
105,7691,8350
106,7426,7806
107,7460,8611
108,7923,8790
109,7578,7998
110,7400,8185
111,7426,8101
112,7498,8429
113,7325,8110
114,6920,7764
115,6766,8134
116,6984,9028
117,7054,8691
118,6750,7838
119,6293,7591
120,5976,7660
121,6132,8750
122,5972,7928
123,5417,7805
124,5452,8314
125,5272,8361
126,4959,8303
127,4793,8208
128,4630,8314
129,4499,8291
130,4408,8088
131,4260,7450
132,3593,7609
133,3727,8560
134,3902,8892
135,3862,8213
136,3467,8421
137,3537,8320
138,3798,8512
139,3558,7488
140,3305,7542
141,3225,7934
142,3561,9025
143,4007,8680
144,3749,7724
145,3663,8343
146,4104,8647
147,4429,7957
148,4164,7476
149,4097,8268
150,4501,8248
151,4778,8188
152,4961,8200
153,5062,8460
154,5183,8188
155,5510,8117
156,5757,8083
157,5726,8434
158,6107,8337
159,6254,8305
160,6484,7937
161,6440,8140
162,6817,8434
163,6837,7686
164,6916,8152
165,7259,8381
166,7556,8272
167,7304,8197
168,7516,8235
169,7694,8042
170,7429,8095
171,7427,8114
172,7524,8106
173,7695,8688
174,7802,8192
175,7369,7996
176,7331,8559
177,7389,8233
178,7087,7915
179,6936,7869
180,6790,7875
181,6601,8335
182,6586,8444
183,6607,8146
184,6163,8151
185,5832,8298
186,5676,8086
187,5657,8056
188,5284,7965
189,4999,8450
190,5122,8575
191,5024,7732
192,4640,8574
193,4548,8117
194,4297,7767
195,4228,8064
196,3981,8172
197,3796,8059
198,3722,8218
199,3827,8580
200,3563,8211
201,3426,8418
202,3608,8554
203,3502,7786
204,3317,7566
205,3432,8386
206,3444,7916
207,3715,8681
208,3887,8273
209,3726,8107
210,3999,8303
211,4010,7795
212,4304,8227
213,4277,8334
214,4565,8305
215,4874,8713
216,4990,7805
217,4884,7958
218,5232,8326
219,5372,8361
220,5630,8202
221,5815,8570
222,6361,8357
223,6163,7774
224,6283,8124
225,6559,8312
226,6777,8047
227,6925,8257
228,7073,8362
229,7245,8186
230,7336,8427
231,7474,7651
232,7294,7831
233,7243,8001
234,7663,8862
235,7849,8466
236,7576,7545
237,7354,8098
238,7350,8268
239,7442,8543
240,7515,8514
241,7408,7933
242,7145,8081
243,6861,8104
244,6679,7701
245,6683,8280
246,6631,8345
247,6247,8462
248,6235,8655
249,6222,8344
250,5910,7481
251,5435,7659
252,5275,8477
253,5282,8374
254,5208,8097
255,4627,8071
256,4647,8618
257,4670,8244
258,4323,7747
259,4013,8193
260,4085,8485
261,3689,7947
262,3711,8016
263,3816,8263
264,3485,7974
265,3446,7956
266,3561,8239
267,3359,8094
268,3570,8244
269,3583,7960
270,3621,8286
271,3590,8022
272,3547,8274
273,3855,8806
274,3957,7713
275,3772,7958
276,4073,8134
277,4512,8814
278,4729,7897
279,4341,7703
280,4809,8515
