# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T00:45:11
# capture_name=capture_20260726_004454_100kHz_200mV.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=4
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=47.00
# firmware_afe_ch1_offset_pct=50.16
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=ac
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.02
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=55.00
# firmware_afe_trigger_level_mv=1550
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,14882,8416
1,14945,7611
2,15007,7948
3,14994,7921
4,14969,7749
5,14871,7455
6,14719,7809
7,14762,7624
8,14816,8171
9,14746,7829
10,14758,7869
11,14926,7523
12,14955,8389
13,14712,8173
14,14644,7389
15,14658,7405
16,14497,8211
17,14645,8097
18,14629,7532
19,14501,8281
20,14592,8260
21,14728,7641
22,14749,7599
23,14442,8009
24,14204,8269
25,14519,7652
26,14561,7857
27,14415,7814
28,14246,7918
29,14327,7908
30,14493,7831
31,14247,7883
32,14300,7989
33,14336,7491
34,14250,7429
35,14160,8055
36,14024,8201
37,14186,8093
38,14261,7328
39,14105,8035
40,13986,8201
41,14019,7301
42,13926,7948
43,14044,7781
44,13990,8486
45,13812,7806
46,13926,7845
47,14045,7176
48,13672,8228
49,13525,7514
50,13577,7820
51,13878,7700
52,13714,8478
53,13682,7825
54,13561,7838
55,13581,7206
56,13433,8100
57,13416,7732
58,13342,7679
59,13337,7713
60,13437,7836
61,13418,7772
62,13454,7806
63,13122,8003
64,13095,7236
65,13158,8074
66,13061,8189
67,13024,8337
68,13259,7465
69,13208,7875
70,12929,7987
71,12711,8601
72,12793,7511
73,12830,7139
74,12868,7781
75,12759,8630
76,12687,7653
77,12806,7507
78,12676,7572
79,12364,8661
80,12440,8009
81,12642,7469
82,12438,7986
83,12492,8101
84,12453,8064
85,12303,7417
86,12111,7732
87,12120,8204
88,12303,8100
89,12256,7822
90,12252,8198
91,12047,7486
92,12029,8026
93,11778,7520
94,11640,8096
95,11883,7953
96,11902,7357
97,11654,7590
98,11781,8002
99,11667,7696
100,11667,8147
101,11468,7764
102,11462,6968
103,11445,8215
104,11523,8151
105,11393,7611
106,11116,7817
107,11240,8214
108,11324,7583
109,11171,7640
110,10937,8216
111,11056,7853
112,11038,8205
113,10980,7629
114,10805,8032
115,10906,8474
116,10864,7465
117,10675,7919
118,10698,8092
119,10683,7897
120,10650,8015
121,10458,7477
122,10420,7756
123,10494,7747
124,10387,8451
125,10293,7831
126,10235,8048
127,10153,8018
128,10103,7737
129,10038,7798
130,10097,8106
131,9999,7935
132,10004,8157
133,9841,7804
134,9888,7649
135,9796,8082
136,9683,7939
137,9673,7510
138,9694,8082
139,9511,8281
140,9379,8337
141,9532,7750
142,9405,7684
143,9216,8125
144,9315,8345
145,9425,7787
146,9313,7996
147,8992,7981
148,8844,8202
149,9003,7929
150,9229,7966
151,8848,7582
152,8660,8592
153,8943,7613
154,9073,7888
155,8643,7730
156,8361,7993
157,8543,7557
158,8588,8476
159,8412,8020
160,8423,7781
161,8442,7379
162,8420,8045
163,8257,7996
164,7879,8018
165,8070,7547
166,8096,8008
167,8072,8058
168,7964,7943
169,7984,7774
170,8006,7977
171,7754,7858
172,7598,8243
173,7560,7555
174,7621,7992
175,7533,7905
176,7596,8237
177,7673,7649
178,7471,7644
179,7320,8066
180,7210,7681
181,7070,7398
182,7135,7699
183,7172,7899
184,7069,8168
185,7151,7902
186,7037,7741
187,6980,7588
188,6799,7702
189,6649,7988
190,6835,8200
191,6667,7825
192,6577,7301
193,6598,8263
194,6588,8243
195,6501,7803
196,6223,7636
197,6259,7826
198,6530,7855
199,6257,7595
200,6154,7620
201,6054,7702
202,6218,8384
203,5995,7910
204,5850,8081
205,6107,7844
206,5911,8133
207,5869,8131
208,5770,7708
209,5708,7433
210,5547,8344
211,5535,8399
212,5562,7816
213,5720,7698
214,5559,7571
215,5386,8163
216,5191,7985
217,5128,7266
218,5143,8418
219,5251,7955
220,5314,7499
221,5225,7927
222,5226,8290
223,4918,7795
224,4765,7656
225,4675,7911
226,4858,8062
227,4953,7654
228,4662,7738
229,4682,7655
230,4617,8497
231,4631,7591
232,4621,7495
233,4404,8437
234,4423,8483
235,4554,7818
236,4532,7777
237,4274,7846
238,4033,8336
239,4069,7900
240,4185,7904
241,4136,8336
242,4163,8298
243,3967,7711
244,4101,8008
245,4004,7970
246,3881,8282
247,3651,7530
248,3804,7257
249,3778,7815
250,3668,8785
251,3755,8036
252,3714,7350
253,3508,8017
254,3370,8390
255,3422,8025
256,3624,7380
257,3531,8135
258,3385,8204
259,3377,7555
260,3112,7764
261,3217,7715
262,3133,8314
263,3275,7749
264,3128,7675
265,2976,7996
266,3001,8253
267,3130,7078
268,2960,7449
269,2805,8459
270,2871,8268
271,2947,7969
272,2905,7627
273,2690,8816
274,2700,8504
275,2835,7416
276,2762,7509
277,2669,8295
278,2666,7781
279,2512,7690
280,2557,7732
281,2490,7768
282,2212,8141
283,2421,7755
284,2511,8318
285,2423,8469
286,2249,7728
287,2256,7646
288,2358,7706
289,2385,7743
290,2014,8047
291,2016,8453
292,2089,8058
293,2167,7726
294,2058,8064
295,2016,7543
296,2001,8097
297,2025,8581
298,2012,7875
299,1830,7322
300,1735,8094
301,1950,8161
302,1945,8341
303,1700,7865
304,1786,7473
305,1886,8259
306,1897,7536
307,1613,7498
308,1495,8139
309,1616,8634
310,1831,7845
311,1602,7254
312,1513,8187
313,1671,8226
314,1737,7489
315,1285,7640
316,1275,8117
317,1504,8147
318,1513,7476
319,1415,7456
320,1395,7890
321,1322,8811
322,1412,7627
323,1366,7609
324,1436,8315
325,1362,8258
326,1252,7510
327,1152,7447
328,1322,7703
329,1355,8101
330,1105,7716
331,1162,7977
332,1400,8174
333,1378,8154
334,1218,7341
335,953,7862
336,941,8139
337,1017,8230
338,1199,7666
339,1162,7742
340,1154,7879
341,1191,8169
342,1029,8341
343,1013,7557
344,909,8127
345,1083,8098
346,1185,7344
347,942,7805
348,850,8103
349,1036,8258
350,947,7878
351,1115,7916
352,1016,8184
353,1012,8183
354,1048,7766
355,892,7779
356,945,7918
357,870,8339
358,913,7987
359,1003,7437
360,1017,7842
361,930,8266
362,971,7656
363,962,7647
364,1011,7612
365,840,8238
366,964,7799
367,929,7755
368,1086,7549
369,1017,7726
370,873,8010
371,808,7847
372,1104,7740
373,1133,8013
374,810,7766
375,871,8358
376,1034,8495
377,1184,7878
378,1125,7514
379,840,7819
380,932,8051
381,1174,8311
382,888,8023
383,915,7667
384,1088,7873
385,1019,8345
386,1098,7900
387,1107,7521
388,1046,8112
389,1077,8308
390,1169,8143
391,1244,7894
392,830,8573
393,1119,7870
394,1074,7837
395,1224,7929
396,1132,8167
397,1085,8153
398,1184,7654
399,1291,7936
400,1190,8296
401,1235,8054
402,1296,8082
403,1269,8141
404,1154,8052
405,1358,8241
406,1334,7504
407,1349,7251
408,1134,8309
409,1380,7995
410,1602,7735
411,1587,7648
412,1297,8064
413,1233,7952
414,1452,7579
415,1605,7524
416,1409,8081
417,1457,8181
418,1541,8079
419,1634,7686
420,1688,7697
421,1782,8010
422,1589,8211
423,1602,7549
424,1561,7982
425,1768,8045
426,1782,7866
427,1721,7995
428,1839,7857
429,1935,8129
430,1950,7962
431,1805,7919
432,1881,8107
433,1866,7866
434,1998,7912
435,2166,7735
436,2116,7822
437,1892,7353
438,2069,7551
439,2037,8129
440,2104,8662
441,2218,7354
442,2267,7875
443,2325,8132
444,2325,7805
445,2176,8655
446,2164,7639
447,2425,7862
448,2544,7669
449,2214,8241
450,2316,7488
451,2712,8236
452,2740,7833
453,2394,8253
454,2417,8036
455,2821,7971
456,3020,7910
457,2714,7654
458,2474,7706
459,2758,7755
460,2953,8240
461,2958,8256
462,3052,7641
463,3047,7759
464,2926,8214
465,3057,7767
466,3136,7878
467,3080,7934
468,3129,7877
469,3128,7631
470,3202,7601
471,3328,7710
472,3291,8685
473,3479,6993
474,3462,7700
475,3256,8304
476,3425,8745
477,3698,7449
478,3637,7503
479,3364,8455
480,3666,8610
481,3980,7571
482,3736,7641
483,3584,8090
484,3638,7804
485,3963,7603
486,4184,7575
487,3817,8482
488,3986,8016
489,4099,7703
490,4237,7245
491,4010,8326
492,3986,8460
493,4386,8386
494,4497,7767
495,4248,7572
496,4356,7825
497,4488,7820
498,4460,8261
499,4442,8197
500,4697,7074
501,4642,7925
502,4780,8148
503,4867,8313
504,4754,7291
505,4677,7459
506,4767,7954
507,4910,8182
508,5250,8006
509,5186,7617
510,5059,7694
511,5089,8502
512,5195,8238
513,5213,7920
514,5411,7841
515,5492,7915
516,5376,8001
517,5345,7787
518,5479,7889
519,5635,8006
520,5489,8266
521,5697,7285
522,5770,7947
523,5897,7978
524,5856,8358
525,5834,7613
526,5878,7710
527,5874,7952
528,6209,8366
529,6291,7866
530,6087,7825
531,6109,7834
532,6271,7975
533,6376,8091
534,6426,7605
535,6519,7702
536,6520,8271
537,6548,7670
538,6418,7789
539,6557,8314
540,6918,7898
541,6864,7988
542,6688,7853
543,6878,7930
544,7017,7784
545,7048,7821
