# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T00:51:44
# capture_name=capture_20260726_005124_ch1_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,8283,8021
1,8214,8327
2,8248,8030
3,8319,8306
4,8324,8267
5,8231,8055
6,8206,8302
7,8206,8062
8,8243,8400
9,8337,8189
10,8278,8253
11,8312,8375
12,8293,7960
13,8271,8076
14,8260,8114
15,8113,8421
16,8236,7883
17,8325,8338
18,8301,8409
19,8341,8447
20,8249,8164
21,8230,8183
22,8191,8247
23,8314,8384
24,8282,8278
25,8282,8149
26,8218,8448
27,8238,8362
28,8356,8458
29,8275,8296
30,8233,8152
31,8214,8563
32,8321,7916
33,8246,8267
34,8309,8236
35,8324,8087
36,8201,8371
37,8266,8003
38,8225,8196
39,8234,7928
40,8237,8170
41,8260,8679
42,8352,8520
43,8242,8280
44,8265,8036
45,8149,8523
46,8246,8448
47,8325,8032
48,8239,8059
49,8270,8044
50,8276,8360
51,8306,8220
52,8230,8282
53,8226,8258
54,8253,8310
55,8293,8274
56,8330,8081
57,8168,7904
58,8167,8172
59,8322,8359
60,8414,8451
61,8244,8075
62,8167,8443
63,8275,8386
64,8264,8398
65,8333,7979
66,8357,8300
67,8189,8306
68,8256,8248
69,8231,8361
70,8344,8250
71,8253,8234
72,8230,7849
73,8271,8157
74,8275,8362
75,8328,8368
76,8228,8190
77,8285,8134
78,8190,8607
79,8327,8537
80,8303,7845
81,8172,8065
82,8203,8529
83,8317,8318
84,8206,7858
85,8217,8107
86,8348,8502
87,8305,8364
88,8236,7885
89,8239,8063
90,8219,8582
91,8333,8363
92,8227,7898
93,8242,8214
94,8244,8434
95,8385,8370
96,8318,8038
97,8119,7952
98,8185,8365
99,8329,7986
100,8244,8186
101,8222,8292
102,8207,8433
103,8305,8315
104,8276,8020
105,8237,8297
106,8342,8531
107,8334,7903
108,8170,8073
109,8268,8169
110,8210,8497
111,8300,8307
112,8236,8528
113,8225,8282
114,8239,8403
115,8218,8271
116,8299,8035
117,8260,8158
118,8273,8251
119,8348,8205
120,8309,8334
121,8212,7987
122,8193,8210
123,8198,8459
124,8334,8286
125,8217,8102
126,8226,8346
127,8278,8374
128,8328,8407
129,8290,8449
130,8294,8129
131,8223,8129
132,8266,7915
133,8246,8428
134,8252,8213
135,8388,8403
136,8296,8566
137,8291,8181
138,8256,7931
139,8242,8147
140,8279,8067
141,8227,8438
142,8292,8318
143,8297,8367
144,8256,8016
145,8228,8302
146,8273,8235
147,8272,7953
148,8329,8170
149,8308,8191
150,8180,8263
151,8249,7994
152,8309,8182
153,8222,8433
154,8224,8545
155,8227,8327
156,8252,8036
157,8191,8120
158,8307,8527
159,8288,7957
160,8244,8108
161,8241,8219
162,8188,8317
163,8263,8379
164,8218,7940
165,8235,8406
166,8351,8536
167,8247,7936
168,8196,8068
169,8270,8197
170,8285,8486
171,8289,8337
172,8240,8097
173,8214,8209
174,8206,8362
175,8345,8101
176,8305,8137
177,8235,8268
178,8269,8646
179,8331,7944
180,8227,8184
181,8302,8325
182,8193,8166
183,8284,7797
184,8351,8457
185,8321,8295
186,8227,8295
187,8302,7825
188,8265,8049
189,8188,7824
190,8202,8190
191,8279,8118
