# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T01:04:55
# capture_name=capture_20260726_010238_ch1_grounded_no_wifi.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,8212,8594
1,8356,8413
2,8399,8010
3,8257,8135
4,8260,7907
5,8224,8276
6,8336,8608
7,8321,8398
8,8317,8253
9,8291,8257
10,8294,7898
11,8249,7970
12,8295,8347
13,8285,8384
14,8414,8268
15,8344,7990
16,8211,8377
17,8225,8329
18,8309,8161
19,8363,8190
20,8297,7836
21,8176,8124
22,8307,8309
23,8406,8243
24,8324,8403
25,8171,8153
26,8246,8148
27,8332,8375
28,8230,7899
29,8304,8085
30,8228,8340
31,8403,8671
32,8391,8328
33,8240,7970
34,8217,8180
35,8304,8248
36,8273,7850
37,8321,8367
38,8389,8055
39,8290,8340
40,8236,8405
41,8332,7758
42,8276,8049
43,8248,8034
44,8341,8378
45,8414,8143
46,8232,8160
47,8250,8153
48,8251,8297
49,8263,8164
50,8245,8306
51,8310,8534
52,8396,8384
53,8392,8215
54,8244,7796
55,8186,8330
56,8231,7934
57,8298,8389
58,8316,8331
59,8340,8170
60,8326,8336
61,8305,8165
62,8117,8203
63,8340,8042
64,8243,8185
65,8279,8322
66,8390,8067
67,8389,8454
68,8291,7589
69,8210,8565
70,8294,8347
71,8327,7909
72,8229,8383
73,8307,8362
74,8302,8392
75,8255,7884
76,8248,8206
77,8265,8321
78,8331,8041
79,8302,8117
80,8271,8103
81,8250,8302
82,8405,7929
83,8233,8191
84,8236,8316
85,8339,8355
86,8226,8155
87,8212,7615
88,8204,8249
89,8253,8475
90,8419,7927
91,8326,7995
92,8193,8315
93,8309,8257
94,8297,7908
95,8225,8202
96,8207,8401
97,8295,8242
98,8352,8289
99,8323,8092
100,8191,8358
101,8318,8011
102,8384,8357
103,8316,8047
104,8278,8173
105,8276,8482
106,8396,8155
107,8230,8315
108,8332,8230
109,8343,8450
110,8309,8239
111,8225,7898
112,8209,8534
113,8414,7913
114,8343,8058
115,8272,8153
116,8203,8035
117,8275,8432
118,8433,8259
119,8322,8342
120,8201,8226
121,8349,8449
122,8328,8229
123,8384,7988
124,8279,7881
125,8197,8367
126,8398,8372
127,8355,8336
128,8287,7941
129,8240,8243
130,8320,8347
131,8224,7965
132,8300,8240
133,8314,8272
134,8311,8263
135,8244,7926
136,8264,8260
137,8321,8414
138,8413,8032
139,8245,8056
140,8204,8071
141,8207,8658
142,8352,8199
143,8324,8298
144,8309,8259
145,8188,8074
146,8298,8227
147,8393,8494
148,8388,7880
149,8232,8128
150,8254,8119
151,8176,8604
152,8343,8025
153,8415,8264
154,8320,8235
155,8297,8275
156,8295,8184
157,8305,8178
158,8229,8124
159,8413,8141
160,8345,8271
161,8412,8300
162,8252,8526
163,8235,8112
164,8214,8046
165,8251,8238
166,8320,7776
167,8231,8178
168,8242,8348
169,8296,8510
170,8398,8006
171,8279,8062
172,8184,8320
173,8331,8486
174,8387,7905
175,8227,8128
176,8271,8434
177,8344,8387
178,8337,7964
179,8286,8114
180,8399,8336
181,8311,8240
182,8301,7902
183,8245,8082
184,8212,8277
185,8319,8433
186,8320,8359
187,8393,7990
188,8229,8248
189,8231,8238
190,8292,7678
191,8239,8216
192,8227,8219
193,8327,8414
194,8386,8016
195,8290,8093
196,8290,8539
197,8310,8118
198,8310,8082
199,8306,8295
200,8250,8422
201,8242,8408
202,8306,7940
203,8295,8399
204,8287,8188
205,8249,7861
206,8395,8305
207,8341,8206
208,8308,8283
209,8235,8118
210,8227,8346
211,8289,8067
212,8313,7864
213,8321,8129
214,8233,8266
215,8205,8337
216,8343,8033
217,8341,8237
218,8227,7968
219,8194,8271
220,8369,7944
221,8404,8283
222,8237,8204
223,8224,7854
224,8301,8486
225,8359,8088
226,8340,8112
227,8275,7729
228,8197,8097
229,8253,8638
230,8374,8330
231,8225,8413
232,8267,8181
233,8232,8245
234,8317,8382
235,8397,8222
236,8329,8020
237,8281,8120
238,8327,8474
239,8348,7719
240,8278,8101
241,8202,7968
242,8298,8430
243,8359,8456
244,8299,7879
245,8231,8163
246,8300,8346
247,8279,8160
248,8341,8126
249,8254,8083
250,8244,8215
251,8297,8334
252,8321,8018
253,8243,8284
254,8280,8104
255,8346,8235
256,8403,8113
257,8325,8226
258,8289,8254
259,8332,7918
260,8272,8449
261,8242,8027
262,8276,8442
263,8352,7843
264,8389,8250
265,8317,8377
266,8244,8084
267,8180,8209
268,8230,8126
269,8235,8362
270,8346,8172
271,8395,8226
272,8280,8335
273,8294,8310
274,8277,8556
275,8341,8410
276,8246,8399
277,8280,8094
278,8205,8358
279,8238,8272
280,8331,8222
281,8301,8114
282,8226,8219
283,8238,8440
284,8254,8080
285,8308,7989
286,8249,8074
287,8259,8471
288,8309,7769
289,8292,8328
290,8300,8420
291,8306,8119
292,8239,8387
293,8350,7918
294,8403,8125
295,8334,8136
296,8246,8275
297,8300,8313
298,8285,8029
299,8227,8364
300,8255,8343
301,8347,8204
302,8401,8051
303,8250,8078
304,8273,8200
305,8300,8063
306,8348,8263
307,8255,8055
308,8261,8394
309,8321,8429
310,8390,8516
311,8294,8377
312,8329,8021
313,8273,8183
314,8248,8135
315,8233,8269
316,8309,8206
317,8234,8164
318,8248,8219
319,8311,8383
320,8239,8162
321,8271,8310
322,8414,8273
323,8297,8584
324,8339,8021
325,8241,8203
326,8206,8418
327,8346,7975
328,8333,8111
329,8188,8183
330,8233,8280
331,8335,7933
332,8252,8359
333,8324,8347
334,8249,8314
335,8276,8171
336,8232,7881
337,8246,8405
338,8334,8085
339,8217,8157
340,8253,8196
341,8232,8618
342,8262,8305
343,8327,8101
344,8226,8295
345,8318,8225
346,8316,7711
347,8264,8501
348,8409,8198
349,8235,8193
350,8243,7699
351,8333,8198
352,8180,8211
353,8290,8310
354,8411,8311
355,8304,8114
356,8309,8279
357,8340,8159
358,8226,8259
359,8206,8184
360,8315,8289
361,8248,8724
362,8296,8251
363,8231,8600
364,8396,7957
365,8292,8435
366,8335,7990
367,8183,8126
368,8202,8201
369,8254,8480
370,8332,8249
371,8346,8077
372,8233,8192
373,8301,8404
374,8308,7779
375,8332,8242
376,8233,8268
377,8297,8538
378,8338,8075
379,8298,8312
380,8293,8111
381,8229,8084
382,8319,8190
383,8331,8346
384,8189,8429
385,8232,8081
386,8226,8312
387,8348,8189
388,8323,8105
389,8272,7919
390,8255,8216
391,8298,8498
392,8332,8169
393,8305,8418
394,8240,8180
395,8263,7968
396,8287,8054
397,8228,8355
398,8404,8587
399,8372,8186
400,8169,8094
401,8165,8252
402,8331,8383
403,8426,8085
404,8385,8216
405,8122,8210
406,8284,8422
407,8437,7869
408,8353,8170
409,8235,8321
410,8265,8196
411,8284,8200
412,8320,8491
413,8302,8238
414,8233,8299
415,8354,8031
416,8388,8089
417,8301,7980
418,8175,8083
419,8253,8166
420,8322,8200
421,8233,8601
422,8329,8467
423,8240,8103
424,8233,8250
425,8239,8262
426,8350,7782
427,8248,8209
428,8292,8005
429,8194,8489
430,8271,8271
431,8312,8101
432,8241,8388
433,8272,8070
434,8290,8538
435,8380,8197
436,8343,8127
437,8257,8420
438,8205,8089
439,8284,8541
440,8390,8186
441,8324,8154
442,8270,8276
443,8245,7868
444,8295,8386
445,8335,7842
446,8222,8278
447,8226,8239
448,8413,7840
449,8249,8134
450,8334,7935
451,8303,8331
452,8345,7857
453,8218,8132
454,8314,8383
455,8290,8345
456,8246,8139
457,8337,8286
458,8315,8223
459,8299,8211
460,8251,8269
461,8236,8101
462,8296,8353
463,8250,8037
464,8245,8081
465,8278,8161
466,8300,8191
467,8300,8659
468,8340,8279
469,8269,8122
470,8214,8231
471,8296,8270
472,8253,8393
473,8344,8141
474,8317,7855
475,8214,8305
476,8253,7734
477,8285,8257
478,8253,8235
479,8227,8545
480,8301,8365
481,8323,7848
482,8244,8150
483,8313,8067
484,8244,8093
485,8294,8345
486,8325,8414
487,8289,8224
488,8273,8285
489,8284,8331
490,8278,8170
491,8317,8285
492,8338,8220
493,8389,8018
494,8292,7961
495,8222,8249
496,8211,8566
497,8305,8243
498,8384,8274
499,8308,8255
500,8327,8278
501,8328,8001
502,8270,7980
503,8239,8081
504,8296,8317
505,8345,8309
506,8249,8202
507,8293,8578
508,8406,8271
509,8221,8186
510,8194,7749
511,8312,8150
512,8251,8186
513,8306,8560
514,8296,8044
515,8290,8169
516,8390,7896
517,8348,8444
518,8222,8120
