# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T16:37:59
# capture_name=capture_20260726_163751.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# desktop_math_operation=off
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_interleaved=0
index,ch1_raw,ch2_raw
0,5619,12096
1,5879,12613
2,5697,12521
3,4873,12295
4,4675,12612
5,4611,12316
6,5176,12666
7,5545,12656
8,5055,12636
9,4926,12450
10,5307,12819
11,5099,12656
12,4919,12763
13,4689,12778
14,4815,12760
15,5060,12769
16,5058,12698
17,4735,12812
18,5097,13131
19,5103,12969
20,4561,12848
21,4415,12909
22,4884,12834
23,5234,12800
24,4683,13122
25,4277,13151
26,4935,12916
27,4733,13077
28,4407,13066
29,4629,13093
30,4614,13232
31,4634,13287
32,4633,13108
33,4744,13219
34,4633,13278
35,4291,13292
36,4065,13245
37,4587,13193
38,4887,13188
39,4247,13312
40,4456,13302
41,4442,13376
42,4418,13333
43,4334,13331
44,4531,13453
45,4500,13284
46,4187,13413
47,4326,13117
48,4359,13373
49,4192,13451
50,4375,13683
51,4320,13760
52,4078,13229
53,3807,13495
54,4019,13295
55,4646,13495
56,4707,13808
57,4010,13643
58,3826,13711
59,4180,13455
60,4183,13723
61,3748,13705
62,4193,13774
63,4653,13733
64,4722,13851
65,4070,13640
66,3602,13734
67,3431,13667
68,4271,13785
69,4633,13688
70,4615,13791
71,3937,13728
72,3631,13939
73,3733,13594
74,3813,13845
75,4308,13685
76,3975,13733
77,4113,13707
78,4240,13889
79,4142,13708
80,3954,13714
81,3794,13846
82,3701,13976
83,4003,13931
84,4430,13757
85,3824,13829
86,3925,13830
87,4156,13818
88,3782,14026
89,3231,13629
90,3844,13892
91,4479,13735
92,4310,13918
93,3564,13944
94,3539,13761
95,4035,13674
96,3901,13711
97,3878,14038
98,4093,13924
99,3629,13797
100,3705,13885
101,3927,13751
102,4107,13861
103,3796,13825
104,3897,13701
105,3724,13954
106,3909,13697
107,3882,13830
108,3492,13677
109,3954,13673
110,4116,14039
111,3607,13960
112,3726,13793
113,4169,13823
114,3926,13644
115,4050,13675
116,3772,13745
117,3597,13712
118,3540,13736
119,4130,13552
120,4517,13557
121,3991,13788
122,3465,13689
123,3551,13559
124,4187,13697
125,4031,13549
126,3773,13566
127,4219,13600
128,4054,13564
129,3981,13328
130,3878,13557
131,3658,13433
132,3649,13515
133,4279,13445
134,4139,13617
135,3781,13390
136,3948,13565
137,4319,13207
138,4309,13656
139,3846,13491
140,3516,13423
141,3760,13271
142,4241,13406
143,4451,13684
144,4236,13213
145,3467,13169
146,3860,13197
147,4464,13587
148,4191,13018
149,3786,13278
150,4088,13369
151,4357,13122
152,4503,13337
153,4234,13032
154,3907,13179
155,3660,13120
156,4185,12742
157,4453,13202
158,4551,12963
159,4274,13131
160,4311,12922
161,4334,12835
162,4202,13138
163,3978,13024
164,4084,12712
165,4604,12869
166,4606,12769
167,4162,12655
168,4218,12994
169,4400,12838
170,4722,12828
171,4604,12767
172,3955,12711
173,3977,12537
174,4693,12759
175,4809,12541
176,4401,12476
177,4405,12567
178,4514,12633
179,4247,12530
180,4812,12457
181,4969,12367
182,4659,12351
183,4568,12319
184,4173,12291
185,4626,12356
186,4931,12296
187,4662,12289
188,4711,12377
189,4643,12233
190,4511,12234
191,4682,12178
192,4658,12219
193,4880,12086
194,4917,12041
195,4681,12195
196,4914,12180
197,4826,12089
198,4741,11903
199,4858,11714
200,4790,11686
201,4858,11935
202,5211,11912
203,5231,11567
204,4858,11545
205,5064,11530
206,5098,11766
207,5034,11667
208,4998,11540
209,4791,11487
210,5378,11550
211,5574,11514
212,5164,11501
213,5141,11401
214,5310,11278
215,5485,11260
216,5246,11254
217,4979,11175
218,5373,11272
219,5910,11302
220,5558,11132
221,5061,11396
222,5432,11211
223,5834,11062
224,5494,10774
225,5151,10962
226,5399,11055
227,5979,10805
228,6155,11003
229,5506,10707
230,5464,10615
231,5767,10790
232,5775,10537
233,5629,10468
234,5389,10659
235,5905,10577
236,6600,10402
237,6228,10582
238,5293,10467
239,5669,10391
240,5946,10527
241,6103,10306
242,5841,10171
243,6091,10261
244,6062,10151
245,6094,10139
246,6471,10123
247,6364,9974
248,5890,10130
249,5611,9802
250,6128,10117
251,6767,9931
252,6639,9931
253,6623,9911
254,6010,9780
255,5889,9333
256,6653,9663
257,6483,9589
258,6318,9573
259,6816,9510
260,6783,9565
261,6247,9414
262,6364,9406
263,6833,9399
264,6447,9251
265,6304,9229
266,6944,9357
267,7066,9191
268,6831,9114
269,6521,9080
270,6333,9046
271,6932,8996
272,7203,9131
273,7326,9172
274,6917,8871
275,6702,8906
276,6908,8829
277,6917,8693
278,6846,8778
279,7434,8745
280,7690,8512
281,7266,8495
282,7145,8252
283,6985,8742
284,7076,8451
285,7198,8329
286,7445,8303
287,7675,8271
288,7665,8225
289,7466,8214
290,7295,8188
291,7494,8256
292,7527,8000
293,7403,7923
294,7541,7924
295,7359,7909
296,7791,8386
297,8010,7855
298,7752,7978
299,7572,7843
300,7807,7782
301,7641,7667
302,7419,7349
303,7983,7576
304,8357,7525
305,8311,7645
306,7930,7228
307,7767,7558
308,7795,7318
309,7598,7354
310,8093,7174
311,8973,7185
312,8650,7085
313,7974,7446
314,7756,6994
315,7801,7021
316,8561,6870
317,8638,7070
318,8427,7092
319,8568,6687
320,8491,6938
321,8502,6795
322,8227,6758
323,7951,6736
324,8398,6721
325,9352,6672
326,8984,6627
327,8821,6452
328,8764,6254
329,8686,6282
330,8780,6358
331,8802,6381
332,8833,6315
333,8890,6068
334,9024,6235
335,8720,6125
336,8861,6216
337,9185,6225
338,9333,6048
339,9233,5996
340,8779,5631
341,8906,6170
342,9187,5424
343,9147,5727
344,9450,6147
345,9377,5733
346,8989,5746
347,9261,5357
348,9665,5820
349,9668,5544
350,9125,5357
351,9285,5639
352,9689,5511
353,9531,5471
354,9485,5444
355,9618,5367
356,9575,5201
357,9665,5230
