# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T01:04:44
# capture_name=capture_20260726_172352_1_100_min.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8246,8267
1,8244,8097
2,8316,8094
3,8302,8172
4,8396,7942
5,8241,8114
6,8322,8082
7,8313,8425
8,8324,8254
9,8253,8215
10,8298,8082
11,8335,8296
12,8308,8120
13,8320,8290
14,8310,8008
15,8298,8170
16,8289,8668
17,8225,8231
18,8308,8597
19,8253,8037
20,8291,8378
21,8292,8414
22,8236,8208
23,8340,7800
24,8328,8478
25,8274,8247
26,8246,8105
27,8309,8161
28,8221,8060
29,8388,8289
30,8308,8162
31,8322,8145
32,8255,8382
33,8225,8357
34,8290,7922
35,8322,7931
36,8305,8371
37,8284,8240
38,8309,8094
39,8253,8061
40,8252,8308
41,8314,8280
42,8315,8115
43,8245,8026
44,8237,8255
45,8312,8053
46,8306,7866
47,8288,8156
48,8237,8332
49,8276,8139
50,8327,7869
51,8312,8413
52,8294,8231
53,8271,8303
54,8242,8037
55,8334,8370
56,8275,8341
57,8251,8021
58,8248,7972
59,8324,8110
60,8280,8511
61,8292,8260
62,8316,8194
63,8253,8252
64,8247,8218
65,8311,8338
66,8331,7955
67,8232,7994
68,8315,8178
69,8311,8126
70,8311,8106
71,8316,8318
72,8236,8245
73,8292,8243
74,8336,8399
75,8239,8117
76,8296,8105
77,8309,7789
78,8265,8013
79,8316,8190
80,8326,8294
81,8287,8457
82,8237,8236
83,8320,8269
84,8303,8281
85,8319,8346
86,8278,8004
87,8319,8127
88,8241,8086
89,8295,8185
90,8250,8318
91,8318,8293
92,8292,8332
93,8284,8422
94,8247,8187
95,8320,8157
96,8289,7733
97,8301,8094
98,8273,8215
99,8327,8201
100,8284,8368
101,8238,8238
102,8242,8194
103,8328,8322
104,8327,7871
105,8278,8145
106,8298,8355
107,8281,8121
108,8294,8121
109,8312,8393
110,8308,8396
111,8235,8403
112,8288,8155
113,8316,8262
114,8338,8274
115,8308,8123
116,8323,8145
117,8279,8099
118,8240,8527
119,8321,7937
120,8289,8150
121,8306,8529
122,8222,8328
123,8317,8123
124,8396,7839
125,8264,8108
126,8340,8412
127,8332,7832
128,8296,8108
129,8294,8318
130,8328,8077
131,8317,8274
132,8324,7942
133,8229,8269
134,8302,8410
135,8339,7784
136,8249,8287
137,8299,8067
138,8294,8467
139,8293,8270
140,8294,8398
141,8294,8148
142,8330,8034
143,8245,8492
144,8295,7955
145,8310,8137
146,8390,8288
147,8253,8349
148,8250,8159
149,8323,8119
150,8328,8262
151,8320,8394
152,8292,8061
153,8321,8197
154,8289,8430
155,8269,8254
156,8245,7777
157,8329,8168
158,8322,8282
159,8224,8094
160,8325,8335
161,8312,8061
162,8315,8267
163,8292,8534
164,8300,7730
165,8308,8266
166,8225,8183
167,8245,8334
168,8235,8127
169,8241,8374
170,8248,8214
171,8331,8062
172,8230,8238
173,8225,7920
174,8306,8402
175,8238,8008
176,8327,7977
177,8286,8269
178,8309,8002
179,8307,8097
180,8314,8028
181,8278,8247
182,8249,8233
183,8330,7866
184,8290,8140
185,8338,8415
186,8324,8079
187,8326,8004
188,8276,8077
189,8252,8500
190,8240,8468
191,8327,7986
192,8241,8234
193,8244,8088
194,8390,8326
195,8248,7935
196,8294,8078
197,8286,8340
198,8328,8018
199,8334,8551
200,8287,8196
201,8318,8286
202,8282,8302
203,8307,8041
204,8230,8118
205,8325,7992
206,8295,8165
207,8321,8164
208,8302,8100
209,8227,8310
210,8288,8347
211,8252,8297
212,8346,8240
213,8248,8179
214,8303,8181
215,8316,8220
216,8320,8278
217,8298,8086
218,8228,8120
219,8321,8456
220,8277,8335
221,8244,7720
222,8253,8029
223,8234,8582
224,8243,8331
225,8241,8068
226,8407,8146
227,8250,8173
228,8229,8312
229,8297,8190
230,8318,8273
231,8289,8410
232,8318,8231
233,8303,8163
234,8282,8215
235,8309,8374
236,8308,7783
237,8238,8060
238,8294,8015
239,8280,8336
240,8231,7789
241,8332,8188
242,8295,8173
243,8224,8390
244,8291,8259
245,8313,8150
246,8288,8159
247,8272,8503
248,8301,8338
249,8248,7876
250,8298,8177
251,8325,8427
252,8338,8203
253,8305,8129
254,8273,8228
255,8237,8301
256,8310,8400
257,8288,8168
258,8307,7939
259,8297,8291
260,8230,7801
261,8249,8207
262,8291,8353
263,8236,8315
264,8236,8183
265,8306,7914
266,8293,8235
267,8324,8104
268,8238,8400
269,8301,8079
270,8307,8320
271,8298,8192
272,8278,8004
273,8276,8570
274,8312,8131
275,8298,8244
276,8224,7933
277,8326,8006
278,8314,8291
279,8339,8101
280,8224,8422
281,8289,7834
282,8316,8146
283,8294,8212
284,8329,8045
285,8234,8183
286,8323,7929
287,8245,8251
288,8326,8345
289,8281,8000
290,8306,8174
291,8313,8350
292,8244,8233
293,8316,7886
294,8326,8355
295,8298,8301
296,8351,8413
297,8270,8192
298,8322,8025
299,8249,8347
300,8277,8135
301,8303,8074
302,8326,8211
303,8297,8152
304,8244,8270
305,8305,8276
306,8293,8381
307,8223,8229
308,8324,7779
309,8328,8219
310,8288,7716
311,8248,8098
312,8318,8254
313,8229,8093
314,8300,8387
315,8246,8153
316,8305,8406
317,8338,8368
318,8308,7905
319,8256,8087
320,8306,7887
321,8319,8346
322,8254,8203
323,8247,8196
324,8253,8335
325,8293,8325
326,8316,8140
327,8244,8060
328,8309,8016
329,8304,8157
330,8330,8294
331,8235,8211
332,8252,8492
333,8315,8196
334,8277,8124
335,8348,8318
336,8229,7953
337,8242,8049
338,8288,8330
339,8284,8285
340,8302,8497
341,8320,7791
342,8267,8101
343,8300,8186
344,8292,8199
345,8303,7994
346,8272,8210
347,8302,8150
348,8229,8521
349,8309,8276
350,8244,7865
351,8255,8240
352,8300,7938
353,8240,8459
354,8235,8171
355,8329,7979
356,8323,8418
357,8269,8200
358,8255,8540
359,8314,8101
360,8231,8400
361,8276,8089
362,8308,8062
363,8247,7992
364,8336,8233
365,8252,8453
366,8219,8227
367,8308,8377
368,8340,8180
369,8219,8151
370,8330,7868
371,8240,8280
372,8238,8118
373,8289,8407
374,8240,8398
375,8230,8290
376,8253,8061
377,8313,7933
378,8293,8437
379,8302,8253
380,8300,8173
381,8229,8143
382,8336,8237
383,8332,8248
384,8250,7978
385,8296,7971
386,8311,8194
387,8238,8210
388,8250,7739
389,8235,8127
390,8225,8407
391,8290,8240
392,8295,8072
393,8314,8098
394,8350,8117
395,8233,8349
396,8285,7856
397,8244,8061
398,8280,8327
399,8300,8284
400,8297,8277
401,8235,8111
402,8313,8278
403,8334,8098
404,8247,8146
405,8252,8135
406,8292,8104
407,8316,8529
408,8326,8026
409,8305,8591
410,8296,8361
411,8341,8189
412,8246,8196
413,8328,7941
414,8241,8216
415,8305,8214
416,8314,8042
417,8254,8235
418,8303,7739
419,8290,8217
420,8300,8083
421,8346,8123
422,8298,8474
423,8232,8076
424,8226,8174
425,8308,8146
426,8296,8368
