# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T01:03:48
# capture_name=capture_20260726_172352_1_1_max.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8601,10939
1,8253,9244
2,8865,5049
3,8826,7628
4,8505,10017
5,8912,7323
6,8117,4947
7,8359,6569
8,9561,11349
9,9408,11451
10,9548,7985
11,9687,7919
12,9231,8264
13,8356,5722
14,6762,2251
15,7206,3293
16,7866,9115
17,8833,12021
18,11010,12322
19,11064,13949
20,9878,7913
21,8238,2209
22,6829,1410
23,6572,3993
24,7183,7843
25,8300,10394
26,10300,11770
27,10624,12003
28,9957,9522
29,9337,5717
30,7826,4277
31,7436,4792
32,7933,7933
33,9628,11605
34,9369,10282
35,8162,4231
36,8346,3252
37,8441,8366
38,7484,8475
39,9220,7088
40,10121,11921
41,10638,13702
42,9981,9323
43,7762,1854
44,7164,823
45,7148,5994
46,7853,9519
47,8683,9138
48,8993,9004
49,10728,11245
50,10747,12152
51,9774,7921
52,7846,2001
53,6972,2255
54,7454,6043
55,8660,11477
56,8690,10047
57,9332,5907
58,9515,9413
59,9109,9950
60,8573,5570
61,7692,3097
62,8758,8882
63,9916,14143
64,10054,10299
65,8497,4233
66,7539,2271
67,7632,5138
68,7413,8244
69,8611,8900
70,10129,11066
71,9895,11964
72,10003,9358
73,9479,6509
74,7642,3169
75,7218,3989
76,7351,7993
77,8503,9683
78,8313,7499
79,9492,8199
80,10051,12217
81,9816,9868
82,8476,5213
83,8438,5572
84,8564,8596
85,8387,7309
86,8373,6635
87,7880,6023
88,8228,6143
89,8667,8667
90,9264,9774
91,9803,10811
92,9196,9201
93,9042,6223
94,8458,6711
95,7480,6230
96,8521,5625
97,8949,10133
98,8744,9548
99,8041,4532
100,9148,7402
101,8796,10579
102,9026,8173
103,9554,8899
104,9988,10907
105,9345,10465
106,8297,3436
107,7158,1501
108,7620,6139
109,7303,7164
110,8834,8425
111,9869,12487
112,9676,10976
113,9574,6726
114,9792,7713
115,8876,10117
116,7555,4801
117,7486,2873
118,8184,7363
119,8276,9879
120,8594,8870
121,9470,8796
122,8954,9022
123,8807,7915
124,8800,6332
125,9256,8509
126,9709,11308
127,9592,10195
128,8659,5158
129,7768,3125
130,6968,4197
131,7914,8014
132,9074,11033
133,9378,9774
134,9824,9299
135,10726,12657
136,10031,10732
137,8276,3945
138,6626,580
139,7571,4790
140,8072,11326
141,8636,10119
142,8981,6918
143,9120,8274
144,10166,11417
145,8868,9583
146,8749,5066
147,8415,6853
148,8455,8662
149,8698,7588
150,7667,5439
151,7849,4537
152,8168,8689
153,8492,9586
154,9971,9586
155,9523,10961
156,9895,9679
157,10145,9324
158,8420,6665
159,7334,1742
160,6226,3012
161,7851,7801
162,9583,13536
163,10120,12293
164,9707,7665
165,9067,6475
166,8274,6229
167,8589,7205
168,8734,9141
169,8795,7351
170,8293,7345
171,8856,8084
172,8397,6649
173,8325,5284
174,8350,7961
175,8677,9192
176,10208,11434
177,9921,11947
178,9943,8326
179,9081,6093
180,7960,4921
181,7508,4053
182,7181,5045
183,7933,8559
184,8827,10238
185,9656,9898
186,9937,9531
187,9744,9777
188,9460,8251
189,7968,4894
190,8081,3632
191,8338,7719
192,8377,10348
193,8775,6829
194,8385,6166
195,9429,9061
196,8757,9119
197,9258,7875
198,9512,10331
199,9791,10444
200,8614,6153
201,7834,4511
202,8065,5757
203,7675,6805
204,8013,6958
205,8560,8454
206,9974,10937
207,9518,11461
208,9951,8885
209,9310,7960
210,8622,5958
211,7369,4013
212,7204,3354
213,8572,8522
214,8268,10745
215,8998,6995
216,9886,9304
217,10095,12300
218,9631,8853
219,8315,4494
220,8351,4710
