# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T01:03:23
# capture_name=capture_20260726_172352_1_1_mid.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8440,8411
1,8392,8048
2,8252,7702
3,8235,7939
4,8386,7865
5,8409,8511
6,8460,8356
7,8559,8520
8,8321,8109
9,8430,7898
10,8341,7933
11,8131,7652
12,8336,7914
13,8404,8755
14,8434,8579
15,8361,7760
16,8244,7804
17,8394,7959
18,8393,8370
19,8336,7888
20,8392,8103
21,8576,8557
22,8385,8509
23,8355,7869
24,8358,7904
25,8304,8122
26,8371,8322
27,8453,8296
28,8518,8226
29,8375,8109
30,8381,8156
31,8258,7979
32,8335,7828
33,8541,8253
34,8378,8546
35,8236,8003
36,8357,7831
37,8440,7879
38,8415,8580
39,8328,7741
40,8437,7952
41,8439,8368
42,8466,8711
43,8346,7992
44,8394,7558
45,8518,8156
46,8413,8813
47,8425,7753
48,8521,7610
49,8472,8625
50,8465,8535
51,8423,8081
52,8192,7514
53,8340,7834
54,8443,8684
55,8353,8175
56,8320,7730
57,8513,8622
58,8544,8540
59,8321,8224
60,8404,7713
61,8531,8221
62,8351,8212
63,8229,7829
64,8345,7415
65,8350,7980
66,8311,8464
67,8426,8157
68,8572,8552
69,8649,9082
70,8427,8134
71,8339,7418
72,8181,7792
73,8361,8438
74,8271,8117
75,8466,8212
76,8551,8687
77,8443,8130
78,8525,7901
79,8499,8204
80,8333,8432
81,8109,7324
82,8342,7715
83,8196,8522
84,8424,8198
85,8465,8295
86,8662,8426
87,8461,8348
88,8341,7968
89,8362,7671
90,8254,8222
91,8319,8067
92,8434,8315
93,8524,8643
94,8429,8743
95,8575,7934
96,8236,7526
97,8112,7732
98,8324,7654
99,8464,8833
100,8469,8897
101,8439,8163
102,8370,7568
103,8231,8190
104,8355,8017
105,8108,7750
106,8218,7714
107,8432,8695
108,8554,8782
109,8618,9026
110,8569,8079
111,8290,7189
112,8153,7337
113,8069,7741
114,8296,8122
115,8541,9135
116,8470,8791
117,8558,7421
118,8361,8168
119,8521,8012
120,8241,8358
121,8029,7529
122,8249,7334
123,8462,8887
124,8546,8969
125,8496,7954
126,8382,7732
127,8373,7975
128,8357,8256
129,8456,8354
130,8315,8341
131,8270,7612
132,8348,7896
133,8468,8795
134,8600,8521
135,8467,8184
136,8151,7337
137,8238,7739
138,8274,8590
139,8402,8134
140,8543,8407
141,8491,8592
142,8394,8006
143,8530,7982
144,8294,8054
145,8199,7878
146,8357,7745
147,8547,8703
148,8496,8893
149,8348,7941
150,8466,7571
151,8387,8400
152,8255,8114
153,8305,7838
154,8254,7751
155,8412,8388
156,8475,8834
157,8590,8724
158,8548,8427
159,8347,7642
160,8403,7561
161,8353,8401
162,8332,8174
163,8470,7946
164,8406,8435
165,8406,8087
166,8407,7768
167,8505,8202
168,8539,8882
169,8254,7845
170,8341,7333
171,8363,8278
172,8413,8655
173,8545,8287
174,8548,8448
175,8447,7987
176,8293,8083
177,8408,7857
178,8228,8272
179,8364,7766
180,8406,8416
181,8210,8389
182,8452,8225
183,8316,7980
184,8446,7743
185,8446,8561
186,8338,7870
187,8252,7494
188,8494,8576
189,8378,9050
190,8351,7633
191,8522,7821
192,8422,8598
193,8365,8287
194,8464,8131
195,8239,7993
196,8237,7866
197,8313,7973
198,8417,8507
199,8357,8169
200,8297,8481
201,8406,8037
202,8394,8272
203,8301,8135
204,8513,7853
205,8539,8622
206,8361,8181
207,8328,7945
208,8354,7707
209,8336,8652
210,8405,8205
211,8280,7882
212,8538,8305
213,8401,8451
214,8400,8111
215,8307,7535
216,8243,7768
217,8360,8633
218,8426,8319
219,8455,8220
220,8475,8393
221,8391,8153
222,8414,7920
223,8473,8218
224,8304,7963
225,8299,7620
226,8209,7926
227,8364,8422
228,8328,8440
229,8494,8165
230,8590,8678
231,8502,8455
232,8397,8023
233,8373,7579
234,8408,8066
235,8253,8311
236,8315,7932
237,8300,7786
238,8467,8403
239,8430,8602
240,8440,8345
241,8517,8099
242,8513,8525
243,8431,7826
244,8321,7925
245,8371,8093
246,8246,8118
247,8421,8327
248,8460,8199
249,8481,8360
250,8454,7905
251,8310,8043
252,8397,7962
253,8473,8472
254,8500,8185
255,8372,8166
256,8373,7996
257,8219,7723
258,8361,8077
259,8409,8400
260,8538,8617
261,8475,8229
262,8399,8053
263,8360,7785
264,8461,8405
265,8302,7817
266,8399,7774
267,8382,8396
268,8478,8884
269,8364,8159
270,8396,7966
271,8240,7912
272,8254,7914
273,8322,7972
274,8448,8355
275,8561,8825
276,8469,8411
277,8365,7769
278,8386,7573
279,8432,8448
280,8354,8320
281,8255,7746
282,8401,7684
283,8551,8911
284,8492,8809
285,8406,7656
286,8539,7818
287,8281,8413
288,8249,7901
289,8521,7953
290,8378,8426
291,8302,8209
292,8316,7651
293,8466,8000
294,8448,8772
295,8533,8514
296,8410,7758
297,8373,7495
298,8347,8242
299,8357,8377
300,8577,8437
301,8285,7855
302,8346,7438
303,8521,8485
304,8515,8703
305,8468,8039
306,8371,7691
307,8290,8033
308,8296,7713
309,8475,8442
310,8590,8804
311,8399,8270
312,8303,7636
313,8542,8119
314,8421,8544
315,8299,7963
316,8348,7437
317,8254,8309
318,8442,8713
319,8308,8008
320,8446,7913
321,8542,8612
322,8353,8350
323,8389,7508
324,8344,8023
325,8468,8554
326,8406,8409
327,8429,8090
328,8498,8414
329,8393,8408
330,8250,7892
331,8252,7496
332,8335,8108
333,8479,8633
334,8441,8286
335,8554,8099
336,8366,8149
337,8414,7829
338,8420,8522
339,8316,8031
340,8402,7574
341,8505,8644
342,8460,9052
343,8224,7862
344,8382,7294
345,8324,8386
346,8321,8318
347,8444,8228
348,8495,8298
349,8419,8520
350,8279,7580
351,8366,7563
352,8414,8247
353,8246,8246
354,8518,7995
355,8443,8544
356,8317,8193
357,8416,7903
358,8289,8046
359,8327,7951
360,8468,8430
361,8411,8392
362,8365,7749
363,8505,8600
364,8327,8379
365,8327,7875
366,8224,7744
367,8315,7855
368,8469,8253
369,8401,8905
370,8544,8063
371,8366,8063
372,8318,7805
373,8146,7738
374,8293,7457
375,8337,8548
376,8484,8768
377,8527,8751
378,8296,7681
379,8309,7336
380,8440,8276
381,8231,8592
382,8434,8072
383,8332,8206
384,8345,8093
385,8231,7991
386,8394,7833
387,8535,8370
388,8414,8618
389,8516,7438
390,8194,7978
391,8353,7810
392,8369,8250
393,8272,7900
394,8367,7971
395,8516,8535
396,8525,8727
397,8378,8308
398,8300,7271
399,8340,7874
400,8528,8652
401,8512,8638
402,8370,7981
403,8408,7711
404,8465,8163
405,8405,8498
406,8397,7947
407,8539,8105
408,8413,8486
409,8346,7786
410,8377,7978
411,8354,8159
412,8540,8366
413,8403,8409
414,8362,7461
415,8438,7966
416,8403,8335
417,8466,8355
418,8285,7794
419,8322,7598
420,8480,8329
421,8407,8910
422,8338,7673
423,8418,7851
424,8415,8605
425,8472,8459
426,8404,8006
427,8188,7777
428,8349,7831
429,8332,8526
430,8333,8453
431,8487,7776
432,8534,8471
433,8407,8058
434,8453,8163
435,8485,8156
436,8238,8114
437,8297,7694
438,8220,7607
439,8236,8157
440,8551,8919
441,8587,9110
442,8529,8083
443,8384,7555
444,8232,7606
445,8305,8315
446,8414,8630
447,8479,8436
448,8340,8059
449,8452,7787
450,8473,8430
451,8288,8015
452,8351,7832
453,8360,8214
454,8437,8650
455,8539,8406
456,8352,8047
457,8451,7801
458,8309,8319
459,8469,7923
460,8250,8285
461,8414,7739
462,8578,8431
463,8458,8679
464,8330,7721
465,8400,7606
466,8386,7996
467,8362,8649
468,8556,8388
469,8467,8513
470,8401,7883
471,8268,7683
472,8359,7784
473,8432,8814
474,8377,8241
475,8399,7655
476,8426,8094
477,8471,8168
478,8440,8685
479,8401,7737
480,8307,7298
481,8412,8419
482,8350,8822
483,8389,8186
484,8377,7549
485,8356,8065
486,8446,8450
487,8523,8227
488,8462,8049
489,8451,8336
490,8299,7710
491,8431,8082
492,8287,8035
493,8352,8029
494,8521,8685
495,8377,8520
496,8366,7848
497,8414,8141
498,8294,7753
499,8462,8078
500,8453,8794
501,8430,8084
502,8560,7948
503,8297,8181
504,8454,7998
505,8521,8501
506,8345,7874
507,8403,8040
508,8278,7809
509,8363,8243
510,8454,8407
511,8362,8278
512,8332,7737
513,8333,7623
514,8354,8067
515,8561,8779
516,8553,8619
517,8360,7775
518,8388,7749
519,8300,8287
520,8351,8398
521,8291,8020
522,8586,8244
523,8556,8753
524,8419,8315
525,8436,7654
526,8246,7694
527,8318,8083
528,8316,8081
529,8393,8322
530,8365,7958
531,8385,8360
532,8426,8033
533,8458,8603
534,8434,8292
535,8540,7999
536,8448,8387
537,8343,7798
538,8353,7732
539,8406,8128
540,8292,8057
541,8523,8277
542,8618,8651
543,8463,8773
544,8359,7721
545,8246,7975
546,8397,7836
