# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T17:42:36
# capture_name=capture_20260726_172352_1_25_MHz_9V_sine.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=49.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,7386,7378
1,6665,6626
2,5921,5785
3,5308,5162
4,4395,4321
5,3236,3885
6,2865,3250
7,2665,2661
8,2194,2173
9,1968,1556
10,1317,1352
11,739,1289
12,674,1103
13,447,602
14,529,605
15,704,514
16,660,548
17,920,888
18,1115,786
19,1267,1116
20,1553,1438
21,1716,1961
22,2308,2423
23,3000,2931
24,3665,3407
25,4275,3862
26,4944,4797
27,5414,5449
28,6214,5876
29,7286,6879
30,7954,7462
31,8348,8361
32,9062,8921
33,9874,9718
34,11019,10497
35,12105,11053
36,12290,11588
37,12538,12399
38,13143,13241
39,14053,13500
40,14629,13911
41,14988,14715
42,15581,14877
43,15988,15193
44,15948,15496
45,15448,15605
46,15708,15673
47,16383,15715
48,16383,15703
49,16218,15717
50,15197,15434
51,15235,15233
52,15294,14747
53,14597,14428
54,14023,13956
55,13653,13569
56,13249,12832
57,12502,12574
58,11861,11537
59,11136,10858
60,10371,10490
61,9807,9542
62,8718,8827
63,7883,8078
64,7456,7372
65,6618,6742
66,5788,5958
67,5407,5201
68,4698,4442
69,3642,3957
70,2954,3182
71,2663,2763
72,2109,2334
73,1493,1803
74,1346,1558
75,1171,1069
76,673,714
77,565,810
78,799,473
79,620,732
80,210,578
81,486,673
82,949,1057
83,1497,1076
84,1869,1456
85,1774,1844
86,2319,2257
87,2883,2953
88,3529,3282
89,4261,3991
90,4946,4843
91,5468,5345
92,6399,6101
93,7308,6920
94,7947,7334
95,8465,8422
96,9171,8744
97,10024,9679
98,10681,10636
99,11369,11006
100,12369,11973
101,13507,12381
102,13758,12942
103,13594,13819
104,14273,14206
105,14974,14505
106,15577,14845
107,15520,14997
108,15720,15682
109,16271,15692
110,16125,15788
111,16208,15684
112,16082,15727
113,15642,15660
114,15545,15459
115,15750,15129
116,15475,14937
117,14844,14280
118,13882,13990
119,13303,13514
120,12908,12857
121,12434,12596
122,12244,11666
123,11502,11339
124,10105,10335
125,9085,9515
126,8630,8787
127,8309,8030
128,7530,7474
129,6489,6401
130,5919,5804
131,5287,5335
132,4355,4487
133,3603,3963
134,3152,3205
135,2896,2596
136,2412,2298
137,1465,1703
138,1360,1425
139,1368,1100
140,798,854
141,185,755
142,0,719
143,548,596
144,1176,639
145,1145,621
146,773,959
147,954,1218
148,1467,1421
149,1819,1910
150,2459,2350
151,3086,2732
152,3404,3634
153,3986,3957
154,5131,4700
155,5771,5049
156,6218,5877
157,6784,7006
158,7852,7561
159,8928,8330
160,9341,8863
161,9924,9928
162,10910,10365
163,11806,11071
164,12135,11813
165,12780,12300
166,13671,13061
167,13937,13666
168,14269,13910
169,15039,14530
170,15313,14894
171,15627,15138
172,16064,15396
173,16200,15591
174,15922,15663
175,15745,15671
176,15965,15624
177,15956,15662
178,15800,15290
179,15834,15149
180,15380,14804
181,14380,14458
182,13929,13972
183,13737,13532
184,12992,13097
185,12283,12269
186,11937,11684
187,11174,10771
188,10382,10390
189,9691,9472
190,8946,8879
191,8093,8224
192,6938,7250
193,6213,6428
194,6095,5881
195,5693,5131
196,4599,4525
197,3261,3819
198,2808,3457
199,2686,2605
200,2321,2366
201,1861,1451
202,1494,1450
203,893,1050
204,437,897
205,446,557
206,539,474
207,407,744
208,694,666
209,1053,626
210,794,1079
211,777,917
212,1586,1438
213,2081,1771
214,2395,2281
215,2937,2862
216,3637,3393
217,4208,3967
218,4851,4568
219,5568,5378
220,6368,5903
221,7148,6697
222,7550,7352
223,8394,8436
224,9484,9137
225,10115,9579
226,10927,10517
227,11704,10939
228,12430,11745
229,12745,12405
230,13169,13251
231,14004,13679
232,14798,13938
233,15311,14511
234,15264,14967
235,15486,15278
236,16073,15609
237,15992,15325
238,15653,15838
239,16039,15782
240,16383,15675
241,16294,15722
242,15489,15510
243,15125,15355
244,14840,14895
245,14530,14354
246,14444,13852
247,13719,13437
248,12939,12847
249,12731,12491
250,11977,11320
251,10709,10794
252,9979,10505
253,9782,9544
254,9012,8752
255,8072,8161
256,7267,7229
257,6589,6617
258,5809,5879
259,4741,5278
260,4123,4591
261,3761,4188
262,3517,3051
263,3084,2717
264,1926,2181
265,1155,1655
266,1400,1515
267,1255,1009
268,679,1149
269,293,616
270,501,602
271,986,510
272,838,693
273,248,858
274,290,571
275,1243,1174
276,2052,1475
277,2096,2017
278,1991,2312
279,2952,2870
280,3860,3206
281,4343,4009
282,4706,4930
283,5605,5507
284,6454,6026
285,7029,6822
286,7821,7607
287,8792,8474
288,9474,8691
289,9782,9811
290,10823,10566
291,11779,11266
292,12084,11854
293,12723,12306
294,13440,13050
295,14094,13554
296,14578,14093
297,14780,14403
298,15405,14967
299,15770,15175
300,15673,15825
301,15852,15625
302,16383,15783
303,16316,15610
304,15532,15831
305,15772,15826
306,16081,15411
307,15484,15025
308,14965,14963
309,14724,14217
310,14069,13863
311,13768,13464
312,13173,12585
313,12416,12541
314,11632,11752
315,10866,11368
316,10460,10466
317,9888,9667
318,9042,8673
319,8036,8186
320,7317,7558
321,6560,6436
322,5656,5874
323,4801,5428
324,4495,4562
325,4069,3954
326,3294,3181
327,2486,2547
328,2091,2423
329,1670,1793
330,1133,1473
331,978,1231
332,1036,553
333,790,653
334,193,584
335,294,750
336,906,691
337,959,513
338,718,674
339,891,1359
340,1502,1553
341,2076,2054
342,2555,2391
343,3105,2743
344,3577,3602
345,4326,4075
346,4801,4638
347,5334,5037
348,6278,6196
349,7082,6887
350,8104,7542
351,8829,8499
352,9285,9115
353,10023,9990
354,10754,10355
355,11352,11314
356,12364,11690
357,13358,12331
358,13605,13302
359,13577,13587
360,14326,13857
361,15378,14531
362,15374,15202
363,15278,15094
364,15889,15540
365,16356,15367
366,16376,15674
367,16042,15690
368,15608,15859
369,15781,15791
370,16225,15228
371,15841,14906
372,15114,14962
373,14502,14455
374,14404,14081
375,13651,13434
376,12858,12895
377,12585,12192
378,11965,11583
379,11053,10965
380,10302,10456
381,9750,9607
382,8750,8898
383,7476,8115
384,7315,7183
385,6898,6668
386,5948,5757
387,5163,5233
388,4054,4618
389,3626,4115
390,3269,3146
391,2524,2799
392,1929,2221
393,1459,1742
394,1520,1527
395,1142,1043
396,787,797
397,715,830
398,338,616
399,360,747
400,681,648
401,751,458
402,911,872
403,1057,1203
404,1625,1402
405,2064,1986
406,2279,2326
407,2879,2854
408,3503,3351
409,4296,3881
410,5086,4601
411,5526,5556
412,5895,6293
413,7026,6806
414,8010,7344
415,8720,8419
416,9630,9178
417,9989,9600
418,10288,10336
419,11276,11460
420,12331,11738
421,13026,12368
422,13419,13318
423,13690,13566
424,14684,13704
425,15109,14576
426,15217,15008
427,15605,14984
428,15886,15328
429,16132,15713
430,15928,15818
431,15680,15875
432,16161,15845
433,16381,15551
434,15769,15707
435,15177,15242
436,15499,14862
437,15086,14267
438,13818,14094
439,13498,13504
440,13219,12873
441,12327,12493
442,11650,11586
443,11199,11333
444,10812,10231
445,9674,9381
446,8211,8734
447,7777,8074
448,7599,7422
449,6984,6604
450,5921,6195
451,4780,5101
452,4248,4451
453,3830,4159
454,3131,3007
455,2812,2853
456,2234,2206
457,1668,2147
458,1558,1370
459,984,956
460,489,819
461,382,666
462,354,538
463,610,339
464,828,699
465,944,872
466,584,856
467,737,1155
468,1338,1421
469,1944,1831
470,2594,2432
471,3209,2841
472,3665,3449
473,4122,4030
474,4929,4787
475,5700,5387
476,6004,6049
477,6922,6930
478,8385,7398
479,8849,8521
480,8947,9229
481,9813,9612
482,11265,10604
483,11655,10916
484,12060,11983
485,13136,12385
486,13788,12882
487,13967,13704
488,14080,14032
489,14769,14686
490,15801,14779
491,16081,14968
492,15510,15536
493,15353,15731
494,16047,15763
495,16383,15822
496,16383,15825
497,15682,15453
498,15429,15556
499,15389,15235
500,15154,14940
501,14707,14481
502,14365,14040
503,13721,13189
504,13032,12876
505,12608,12486
506,11903,11306
507,10934,10978
508,10225,10414
509,9486,9669
510,8742,8554
511,8247,8012
512,7674,7227
513,6570,6819
514,5483,5991
515,4729,5491
516,4429,4558
517,4356,3951
518,3389,3036
519,2095,2809
520,1785,2369
521,2070,1747
522,1394,1444
523,661,1061
524,800,1044
525,826,632
526,680,512
527,303,638
528,372,711
529,553,714
530,930,1016
531,1494,1219
532,1664,1380
533,2116,1949
534,2668,2353
535,2757,2928
536,3108,3625
537,4354,3867
538,5046,4556
539,5535,5522
540,6342,5987
541,7236,6753
542,7860,7368
543,8521,8363
544,9426,9002
545,10132,9635
546,10747,10420
547,11436,11118
548,12615,11869
549,13081,12373
550,13420,13114
551,13936,13659
552,14340,13982
553,14790,14693
554,15441,14901
555,16089,14952
556,16064,15727
557,16030,15694
558,15850,15790
559,15960,15763
560,16368,15693
561,16002,15564
562,15401,15493
563,15467,15142
564,15324,14979
565,14902,14428
566,14190,13959
567,13342,13492
568,12992,12939
569,12784,12321
570,12229,11679
571,11009,10865
572,9978,10571
573,9633,9488
574,8938,8982
575,8104,7894
576,7219,7493
577,6417,6429
578,6107,5974
579,5054,5076
580,4184,4513
581,3648,3941
582,3259,3082
583,2785,2578
584,1889,2345
585,1400,1933
586,1368,1334
587,1055,1125
588,832,747
589,719,832
590,544,553
591,674,868
592,645,580
593,409,679
594,732,1181
595,1351,1215
596,2000,1336
597,2138,1995
598,2350,2303
599,3121,2885
600,3466,3345
601,3687,4115
602,4578,4527
603,5737,5441
604,6336,6032
605,7224,6694
606,7975,7401
607,8588,8258
608,9373,9247
609,10077,9729
610,10663,10785
611,11718,10983
612,12190,11854
613,12938,12307
