# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-07-26T17:24:19
# capture_name=capture_20260726_172352_1kHz_9V_sine.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=512
# trigger_mode=normal
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=50.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:1
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:1
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,15175,14797
1,15267,14897
2,15221,14951
3,15491,14926
4,15176,14833
5,14803,14977
6,14880,14747
7,15542,14890
8,14921,14760
9,15353,14974
10,15482,14878
11,15491,15242
12,15487,14918
13,15034,14991
14,15282,14887
15,15118,15007
16,15514,14943
17,15320,14995
18,14917,14881
19,14946,15194
20,15485,14857
21,15254,15199
22,15632,15173
23,15613,15130
24,15274,14770
25,14833,15169
26,15156,15079
27,15376,15187
28,15277,15190
29,15272,15071
30,15964,15057
31,15089,14901
32,15041,14856
33,15125,14829
34,15375,14901
35,15271,14990
36,15264,14992
37,15368,15015
38,15012,15026
39,15184,15030
40,15422,15069
41,15171,15107
42,15483,15063
43,15373,15204
44,15389,15048
45,15244,15185
46,15436,15078
47,15092,15032
48,15776,14854
49,15458,15098
50,15207,15145
51,15282,14842
52,15316,15053
53,15290,15057
54,15448,14971
55,15700,15131
56,15350,15153
57,15081,15160
58,15201,15115
59,15515,14972
60,15631,15030
61,15250,15158
62,15197,15141
63,15662,15008
64,15371,15066
65,15340,15190
66,15454,15038
67,15596,15127
68,15249,14919
69,15502,15236
70,15354,15000
71,15159,15177
72,15469,15241
73,15526,15115
74,14909,15207
75,15763,15075
76,15167,15150
77,15286,15204
78,15361,15303
79,15529,14925
80,15275,15138
81,15396,15233
82,15871,15240
83,15584,15126
84,15812,15080
85,15442,15072
86,15068,15022
87,15756,15083
88,15458,15231
89,15397,15073
90,15122,15122
91,15773,14986
92,15324,15073
93,15683,15127
94,15455,15076
95,15199,15039
96,15101,15217
97,15572,15071
98,15289,15249
99,15699,15257
100,15132,15103
101,15268,15077
102,15205,15133
103,15198,15093
104,15071,15053
105,15616,14938
106,14759,15097
107,15402,14978
108,15240,15168
109,15204,15061
110,15016,15113
111,15268,15078
112,15234,15043
113,15321,15082
114,14960,15072
115,15385,14964
116,15371,14950
117,15399,15194
118,15001,15048
119,15312,14881
120,15209,14889
121,15428,14991
122,15428,15017
123,15309,14862
124,15216,14947
125,15436,14918
126,14948,15108
127,15237,14952
128,15100,15090
129,15421,14883
130,14899,14977
131,14857,14992
132,15420,14886
133,15263,14780
134,15268,14841
135,15146,14939
136,14733,15133
137,15225,14749
138,15342,14966
139,14945,14903
140,14962,14919
141,15108,14825
142,15174,14862
143,15300,14949
144,14986,14905
145,15052,15050
146,15362,14857
147,15594,14850
148,15218,14777
149,14970,14851
150,14779,14887
151,15076,14852
152,15060,14778
153,15008,14746
154,15313,14803
155,15131,14615
156,15061,14650
157,15214,14641
158,15182,14709
159,14881,14769
160,14660,14783
161,14340,14793
162,14867,14802
163,15108,14647
164,15256,14744
165,15288,14595
166,14954,14569
167,14926,14862
168,14842,14766
169,15068,14581
170,14772,14668
171,14936,14444
172,14748,14522
173,14530,14630
174,15135,14500
175,14678,14624
176,14844,14585
177,15342,14405
178,14464,14397
