# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-07-26T17:56:36
# capture_name=capture_20260726_172352_1kHz_9V_square.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=49.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=50.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,15547,15047
1,15636,15072
2,15391,15125
3,14924,15140
4,14779,15172
5,15277,14981
6,15526,15046
7,15308,15173
8,15116,15475
9,15695,15121
10,15257,15317
11,15310,15115
12,15488,15194
13,15333,15021
14,15573,15014
15,15470,15046
16,15504,15086
17,15454,15213
18,15625,15245
19,15475,15203
20,15544,14986
21,15270,15082
22,15563,15078
23,15119,15125
24,15344,15012
25,15541,15116
26,15665,15129
27,15398,15255
28,15380,15172
29,15493,15059
30,15380,15113
31,15285,15150
32,15233,15095
33,15004,15104
34,15601,15123
35,15579,14964
36,15219,15187
37,15394,15105
38,15560,15033
39,15474,15243
40,15622,15043
41,15565,15254
42,15443,15080
43,15147,15242
44,15344,15143
45,15470,15238
46,14886,15135
47,15389,15166
48,15482,15198
49,15485,15133
50,15470,15062
51,15313,15043
52,15245,15366
53,15337,15024
54,15287,15077
55,15787,15075
56,15868,15109
57,15694,15309
58,15139,15055
59,15509,15095
60,15261,15331
61,15242,14943
62,15134,15319
63,15444,15183
64,15714,15076
65,14996,15132
66,15452,15027
67,15074,15073
68,15370,15101
69,15360,15084
70,15070,14964
71,15577,14922
72,15333,15175
73,15402,15051
74,15238,15265
75,15098,15179
76,15139,15172
77,15505,15064
78,15405,15113
79,15269,15102
80,15464,15085
81,15185,15105
82,15397,15050
83,15568,15096
84,14657,15183
85,15194,15200
86,15574,15152
87,15378,15079
88,15300,15033
89,15094,14994
90,15669,14843
91,15441,15121
92,15154,15235
93,14926,15061
94,15890,15119
95,15547,15194
96,15438,15031
97,15703,15027
98,15495,15040
99,15216,15025
100,15265,15083
101,15268,15011
102,15516,15011
103,15693,15027
104,15132,15045
105,15487,14935
106,15241,15109
107,15725,15109
108,15250,15214
109,15561,15030
110,15341,15172
111,15291,15020
112,15493,15082
113,15726,15217
114,15163,15035
115,15602,14888
116,15150,15107
117,15274,15153
118,15225,15077
119,15220,15129
120,15131,15122
121,15496,15202
122,15500,14999
123,15031,15119
124,15230,15097
125,15448,15155
126,15270,14972
127,15459,15132
128,15445,15096
129,15090,15120
130,15438,15120
131,15139,15165
132,15210,15177
133,15600,15313
134,15704,15076
135,15048,15183
136,15063,15345
137,15714,14995
138,15086,15121
139,15616,14970
140,15156,15128
141,15332,15067
142,15519,15115
143,15239,15250
144,15240,14998
145,15228,15102
146,15247,15131
147,15296,15031
148,15169,15235
149,15516,15011
150,15357,15036
151,15207,14988
152,15045,15120
153,15495,15121
154,15281,15092
155,15454,15164
156,15500,15145
157,15603,15173
158,15407,15124
159,15491,15119
160,15505,15087
