# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-26T17:45:23
# capture_name=capture_20260726_172352_5_MHz_9V_sine.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=49.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=49.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,15569,15040
1,14355,14119
2,12298,12175
3,9441,9686
4,6305,7075
5,3427,4493
6,1595,2412
7,901,1267
8,828,1459
9,2302,2641
10,4515,4127
11,7382,6446
12,10421,9289
13,12972,11926
14,14810,14167
15,15884,15067
16,15473,14879
17,14322,14320
18,12302,12186
19,9373,10073
20,6345,7144
21,3681,4430
22,1753,2335
23,614,1691
24,525,1325
25,2292,2459
26,4667,4187
27,7418,6374
28,10364,9318
29,12748,12115
30,14808,13988
31,15995,15160
32,15788,15001
33,14277,14206
34,12078,12221
35,9252,9771
36,6483,7010
37,3579,4365
38,1478,2461
39,575,1377
40,1062,1331
41,2381,2183
42,4612,4238
43,7279,6553
44,9906,9524
45,12931,12034
46,14982,13921
47,16052,15113
48,15878,15195
49,14472,14239
50,12186,12239
51,8895,9668
52,6157,6886
53,3820,4464
54,1863,2510
55,644,1511
56,997,1335
57,2334,2269
58,4269,4066
59,6955,6558
60,10370,9469
61,13111,11960
62,15032,14076
63,15922,15059
64,15536,15191
65,14177,14037
66,12298,12297
67,9469,9713
68,6349,7073
69,3453,4362
70,1549,2447
71,696,1495
72,946,1007
73,2435,2377
74,4451,4128
75,7141,6485
76,10203,9419
77,12893,12026
78,15069,14051
79,15797,14867
80,15717,14958
81,14494,14151
82,12352,12270
83,9252,9775
84,6032,6986
85,3466,4315
86,1666,2427
87,828,1604
88,1112,1408
89,2188,2116
90,4468,4144
91,7184,6518
92,10146,9363
93,13062,11995
94,15037,14108
95,15767,14820
96,15658,15133
97,14610,14002
98,12236,12399
99,9209,9948
100,6305,7033
101,3725,4345
102,1575,2436
103,621,1496
104,969,1124
105,2358,2272
106,4502,4032
107,7139,6644
108,10338,9440
109,13190,12033
110,14970,13760
111,15772,15204
112,15622,15211
113,14288,14282
114,12188,12198
115,9453,9814
116,6621,7169
117,3700,4354
118,1398,2416
119,565,1574
120,950,1358
121,2150,2298
122,4563,3937
123,7298,6720
124,10252,9425
125,12910,11909
126,14826,13966
127,15955,14943
128,15776,15010
129,14441,13978
130,12091,12408
131,9445,9851
132,6409,6959
133,3594,4214
134,1435,2685
135,438,1512
136,1217,1062
137,2397,2302
138,4383,4133
139,7125,6450
140,10571,9397
141,13070,12202
142,14736,14066
143,15778,15069
144,15787,14887
145,14389,14101
146,12225,12339
147,9263,10077
148,6518,7119
149,3636,4312
150,1328,2284
151,556,1516
152,927,1177
153,2171,2443
154,4523,4227
