# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T23:31:06
# capture_name=capture_20260729_232447_1_100_max_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,9094,7407
1,9101,7190
2,8828,7536
3,9167,7571
4,9198,7352
5,9202,7287
6,9386,7203
7,8922,7073
8,9491,7510
9,9203,7553
10,9002,7256
11,9720,7404
12,8575,7157
13,9802,7353
14,8985,7221
15,9164,7168
16,8780,7452
17,9507,7545
18,9459,7601
19,8528,7274
20,9423,7340
21,8510,7365
22,9402,7482
23,8958,7572
24,9426,7350
25,9050,7088
26,8909,7429
27,9308,7224
28,9318,7418
29,9101,7428
30,9246,7098
31,9002,7306
32,8677,7249
33,9221,7031
34,9189,7379
35,8824,7074
36,9632,7553
37,8512,7104
38,9053,7209
39,9678,7449
40,8884,7066
41,9113,7308
42,8632,7201
43,9668,7353
44,9256,7230
45,9134,7605
46,9559,7546
47,8897,7264
48,9182,7435
49,9274,7673
50,8961,7274
51,9144,7637
52,9742,7476
53,8579,7025
54,9319,7526
55,9677,7447
56,8659,7247
57,9337,7641
58,8666,7185
59,9201,7512
60,8924,7307
61,9053,7105
62,9567,7273
63,9644,7627
64,8598,7111
65,9429,7630
66,9217,7737
67,9146,7492
68,8922,7067
69,8795,7775
70,9543,7410
71,9296,7606
72,8658,7344
73,8859,7203
74,9817,7877
75,9146,7380
76,8541,7150
77,9069,7195
78,8877,7278
79,9054,7200
80,9544,7453
81,8857,7391
82,9788,7731
83,8284,7035
84,9206,7319
85,9043,7122
86,9416,7590
87,9538,7680
88,8781,7493
89,9518,7652
90,8588,7372
91,9552,7695
92,8658,7498
93,8307,7193
94,9522,7898
95,9328,7750
96,9001,7382
97,9547,7433
98,9315,7577
99,9344,7536
100,9014,7877
101,8990,7445
102,8924,7579
103,9158,7257
104,9467,7618
105,8805,7262
106,9348,7393
107,9257,7647
108,9485,7786
109,8514,7289
110,9547,7673
111,8905,7359
112,8738,7327
113,9308,7538
114,8439,6935
115,9052,7079
116,9117,7563
117,9086,7264
118,8842,7757
119,9320,7281
120,9205,7602
121,9222,7631
122,8923,7500
123,8933,7292
124,9075,7326
125,8989,7178
126,9496,7459
127,9078,7613
128,9338,7587
129,8724,7435
130,9399,7219
131,8817,6995
132,9142,7528
133,9474,7644
134,9185,7183
135,8966,7050
136,9057,7395
137,9518,7337
138,8680,7103
139,8973,7335
140,8904,7209
141,9072,7999
142,9260,7607
143,8984,7465
144,9761,7746
145,8707,7095
146,8893,7273
147,9745,7808
148,8895,7554
149,9225,7187
150,8773,7345
151,9680,7882
152,9300,7150
153,9282,7243
154,9081,7551
155,8930,7369
156,9217,7638
157,9441,7379
158,9556,7649
159,8308,7132
160,9656,7489
161,8459,7478
162,9242,7458
163,8864,7286
164,8986,7469
165,9210,7603
166,8308,7148
167,9001,7672
168,8912,7142
169,8860,7530
170,9385,7510
171,9383,7673
172,9364,7511
173,8552,7503
174,9154,7656
175,8973,7100
176,8957,7182
177,9154,7496
178,9307,6967
179,8867,7412
180,8948,7339
181,9015,7474
182,9090,6897
183,8837,7700
184,9507,7628
