# DigitalOscilloscope capture
# format_version=2
# fs_hz=80000000.0
# n_bits=14
# timestamp=2026-07-29T23:32:28
# capture_name=capture_20260729_232447_1_100_min_grounded.csv
# decim_factor=1
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8323,8284
1,8229,8292
2,8319,8208
3,8245,7841
4,8221,7960
5,8324,8425
6,8284,8043
7,8289,8156
8,8317,8201
9,8292,8299
10,8300,8179
11,8332,8082
12,8325,8282
13,8215,8327
14,8333,7765
15,8387,8193
16,8292,8253
17,8257,8249
18,8300,7938
19,8340,8217
20,8242,8205
21,8243,8095
22,8314,8216
23,8309,8138
24,8238,8538
25,8327,8137
26,8300,8138
27,8241,8247
28,8250,7738
29,8242,8174
30,8300,7807
31,8248,8202
32,8242,8202
33,8299,8069
34,8244,8303
35,8302,8310
36,8228,8009
37,8233,7952
38,8300,8154
39,8280,8369
40,8292,7799
41,8246,8167
42,8250,8208
43,8247,8279
44,8336,8326
45,8335,8086
46,8234,8092
47,8253,8389
48,8278,7918
49,8251,8129
50,8238,8350
51,8222,8429
52,8247,8285
53,8322,8285
54,8245,8280
55,8271,8284
56,8300,7891
57,8348,8144
58,8244,8134
59,8236,8190
60,8286,8203
61,8302,8183
62,8250,8458
63,8310,8333
64,8250,8265
65,8241,8194
66,8296,7742
67,8242,8332
68,8285,7869
69,8319,8193
70,8238,8031
71,8230,8148
72,8297,8374
73,8229,8215
74,8245,8322
75,8237,7896
76,8240,8436
77,8226,8269
78,8290,8167
79,8324,7922
80,8306,8271
81,8227,8402
82,8299,8046
83,8231,8057
84,8251,8362
85,8286,8165
86,8322,7925
87,8267,8136
88,8293,8274
89,8255,8207
90,8309,8065
91,8310,8376
92,8280,8202
93,8286,8237
94,8313,7823
95,8326,8062
96,8319,8420
97,8331,7850
98,8246,8035
99,8315,8112
100,8242,8172
101,8281,8208
102,8226,8213
103,8279,8192
104,8290,8121
105,8241,8342
