# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-08-19T00:58:19
# capture_name=capture_att100_gain0_repeat_1.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=0.00
# firmware_afe_ch1_offset_pct=49.99
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=0.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8274,8159
1,8217,8277
2,8278,8368
3,8206,8359
4,8339,8090
5,8247,8091
6,8276,8150
7,8244,8274
8,8296,8438
9,8229,8246
10,8275,8589
11,8277,8071
12,8237,8092
13,8260,8081
14,8263,8334
15,8237,8043
16,8222,8033
17,8301,8257
18,8277,8219
19,8278,7850
20,8202,8446
21,8274,8133
22,8282,8070
23,8325,8164
24,8210,8114
25,8278,8033
26,8309,8420
27,8274,7935
28,8285,8435
29,8253,8103
30,8206,8195
31,8262,7989
32,8281,8383
33,8250,8320
34,8386,8136
35,8317,8306
36,8280,8393
37,8263,7986
38,8192,8210
39,8313,8217
40,8242,8075
41,8225,8530
42,8280,7861
43,8214,8053
44,8239,8312
45,8287,8229
46,8312,8347
47,8162,7919
48,8285,8311
49,8220,7983
50,8311,8177
51,8248,8117
52,8276,8251
53,8271,7858
54,8273,8106
55,8385,8115
56,8218,8281
57,8277,8087
58,8342,8157
59,8307,7912
60,8239,8007
61,8321,8308
62,8242,8330
63,8234,8173
64,8221,8546
65,8236,8064
66,8280,8415
67,8278,7797
68,8289,8020
69,8222,8325
70,8321,8071
71,8205,8000
72,8227,7878
73,8276,8204
74,8213,8157
75,8304,8331
76,8286,8310
77,8268,8200
78,8294,8215
79,8313,7938
80,8297,8270
81,8265,8050
82,8275,8219
83,8277,8052
84,8212,7839
85,8269,8078
86,8205,8004
87,8295,8089
88,8233,8013
89,8321,8009
90,8236,8186
91,8240,8217
92,8224,8038
93,8277,8181
94,8239,8329
95,8258,7880
96,8241,8405
97,8265,8292
98,8280,7862
99,8229,8336
100,8255,7777
101,8265,8158
102,8234,8377
103,8281,8216
104,8325,8206
105,8229,8253
106,8283,8001
107,8281,8510
108,8245,8298
109,8249,8386
110,8278,8408
111,8258,7831
112,8241,8043
113,8243,8138
114,8280,8009
115,8292,8193
116,8271,8300
117,8338,8118
118,8279,8554
119,8228,7970
120,8228,8351
121,8280,8216
122,8334,7969
123,8340,8504
124,8175,8050
125,8274,8281
126,8291,8237
127,8309,8472
128,8230,8174
129,8200,8103
130,8226,8048
131,8233,7839
132,8282,7852
133,8329,8334
134,8273,8378
135,8290,8167
136,8224,7935
137,8225,8225
138,8174,8094
139,8314,8220
140,8274,8338
141,8271,7928
142,8286,8522
143,8253,8074
144,8221,8318
145,8269,8182
146,8199,7908
147,8271,8349
148,8252,8106
149,8255,8367
150,8314,8237
151,8233,7914
152,8243,8042
153,8269,8276
154,8222,8521
155,8258,8018
156,8265,7991
157,8244,8327
158,8200,7830
159,8275,7992
160,8247,8136
161,8266,7956
162,8269,7731
163,8221,8229
164,8281,7961
165,8260,8556
166,8285,7976
167,8226,8204
168,8272,8402
169,8213,8149
170,8235,8346
171,8209,8186
172,8384,8331
173,8232,8194
174,8244,8092
175,8274,8113
176,8275,8230
177,8235,8232
178,8209,8285
179,8310,8473
180,8273,8199
181,8211,8098
182,8216,8050
183,8250,8162
184,8236,8245
185,8270,8115
186,8238,8057
187,8234,8022
188,8281,8265
189,8221,7914
190,8189,7965
191,8279,7855
192,8259,8044
193,8286,8189
194,8257,8040
195,8280,7880
196,8278,7938
197,8289,8275
198,8258,8209
199,8253,7859
200,8263,8432
201,8316,8415
202,8170,8123
203,8109,8097
204,8284,8122
205,8242,8458
206,8308,8402
207,8202,7961
208,8313,8107
209,8255,8293
210,8160,8174
211,8263,7903
212,8283,7822
213,8286,8233
214,8319,8068
215,8278,8089
216,8324,8279
217,8277,8158
218,8252,8149
219,8388,8342
220,8282,8221
221,8257,8326
222,8279,8290
223,8262,8014
224,8284,8386
225,8331,8191
226,8243,7999
227,8259,8297
228,8261,8197
229,8316,8089
230,8262,7963
231,8232,8098
232,8213,8410
233,8208,8608
234,8219,8461
235,8271,8451
236,8281,8219
237,8215,8410
238,8231,8316
239,8260,8247
240,8262,7740
241,8245,7997
242,8293,8069
243,8260,8420
244,8284,8209
245,8280,7795
246,8261,7821
247,8233,8263
248,8284,8001
249,8196,8290
250,8315,8457
251,8177,8216
252,8308,8201
253,8245,8209
254,8213,8202
255,8272,8137
256,8223,8024
257,8225,8195
258,8238,8536
259,8305,8234
260,8286,8412
261,8212,8019
262,8261,8262
263,8274,8357
264,8252,8106
265,8232,7874
266,8328,8147
267,8216,8117
268,8294,8258
269,8279,8180
270,8210,8438
271,8240,8407
272,8209,8177
273,8220,8395
274,8262,7997
275,8298,8326
276,8286,7973
277,8263,8116
278,8213,7905
279,8259,8114
280,8266,8327
281,8265,7952
282,8244,8243
283,8282,8288
284,8250,8019
285,8269,8133
286,8244,8454
287,8296,8071
288,8253,7989
289,8396,8122
290,8285,8154
291,8302,8162
292,8247,8277
293,8245,8179
294,8232,8166
295,8260,8409
296,8295,8103
297,8127,8550
298,8244,8426
299,8262,8257
300,8236,8165
301,8220,8010
302,8235,8329
303,8295,8142
304,8225,8231
305,8298,8289
306,8228,8048
307,8271,8277
308,8242,8204
309,8314,8262
310,8251,8251
311,8252,8387
312,8194,8319
313,8267,8294
314,8285,8153
315,8229,8285
316,8269,7893
317,8233,8301
318,8224,8270
319,8206,8012
320,8273,8414
321,8281,8392
322,8280,8124
323,8281,8215
324,8221,8558
325,8347,8234
326,8284,8277
327,8242,8278
328,8230,8167
329,8226,8205
330,8204,8136
331,8223,7903
332,8198,8187
333,8326,8422
334,8238,8340
335,8226,8082
