# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-08-19T01:29:23
# capture_name=capture_att100_gain100_gnd.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=50.00
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.00
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8832,7732
1,8254,7512
2,8796,7688
3,8482,7408
4,8794,7722
5,8120,7484
6,8943,7631
7,8717,7542
8,8847,7660
9,8493,7653
10,8390,7644
11,9518,7715
12,8559,8048
13,8518,7958
14,8358,7637
15,8463,7715
16,8619,7941
17,8502,7573
18,8412,7518
19,8749,7892
20,8815,7714
21,8467,7802
22,8697,7677
23,8795,7498
24,8779,7768
25,8811,7785
26,8776,7606
27,8397,7698
28,9076,7657
29,8474,7537
30,8736,7671
31,8609,7659
32,9153,7780
33,9159,7416
34,8411,7721
35,8213,7289
36,8768,7512
37,8164,7466
38,8670,7759
39,8548,7811
40,8763,7426
41,8507,7575
42,8674,7683
43,8301,7387
44,8855,7762
45,8942,7508
46,7982,7617
47,8417,7578
48,8569,7698
49,8104,7338
50,8540,7637
51,8142,7533
52,8449,7582
53,8718,7301
54,8478,7422
55,9288,7943
56,8559,7604
57,8686,7732
58,8304,7270
59,9131,7686
60,8801,7882
61,8212,7713
62,8754,7748
63,8378,7674
64,8706,7909
65,8870,7556
66,8165,7545
67,8572,7467
68,8752,7526
69,8376,7301
70,8650,7353
71,9052,7612
72,8935,7548
73,8502,7458
74,8705,7589
75,8967,7838
76,8561,7807
77,9082,7797
78,8540,7505
79,8647,7643
80,8995,7935
81,8826,7454
82,9225,7441
83,8795,7521
84,8690,7880
85,8545,7610
86,7978,7270
87,9139,7690
88,8509,7358
89,9237,7774
90,8792,7658
91,8463,7602
92,8917,7463
93,8233,7442
94,8666,8047
95,8646,7344
96,8774,7569
97,8850,7367
98,9117,7795
99,8472,7612
100,8703,7795
101,8657,7330
102,8724,7208
103,9302,7560
104,8373,7408
105,8390,7619
106,8290,7282
107,9480,7949
108,9273,7742
