# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-08-19T01:30:31
# capture_name=capture_att100_gain100_gnd_1.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=49.98
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.03
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,8703,8609
1,8696,8810
2,8649,8550
3,8646,8574
4,8620,8717
5,9184,8821
6,8402,8521
7,8561,8835
8,8275,8925
9,9430,8779
10,9241,8932
11,8304,8662
12,8770,8709
13,8556,8871
14,8492,8744
15,8326,8664
16,8769,8444
17,9122,9012
18,8737,8752
19,8510,8479
20,8678,8682
21,9130,8818
22,8321,8608
23,8384,8245
24,8665,8690
25,8877,8644
26,8439,8964
27,8796,8592
28,8732,8926
29,8649,8785
30,8492,9039
31,8153,8685
32,8799,8463
33,8246,8604
34,8831,8804
35,8824,8612
36,8455,8552
37,8509,8793
38,8792,8283
39,7558,8450
40,8403,8857
41,8773,8516
42,8478,8861
43,8296,8587
44,9070,8786
45,9005,8927
46,9518,8818
47,8540,8738
48,8222,8731
49,8348,8590
50,8225,8517
51,8626,8380
52,8509,8721
53,8145,8498
54,8781,8844
55,9147,8650
56,8568,8738
57,8826,8482
58,8550,8777
59,8099,8605
60,9171,8815
61,8691,8482
62,8447,8604
63,8851,8556
64,8187,8608
65,8955,8924
66,8638,8833
67,9173,8884
68,9029,8693
69,8841,8270
70,8353,8322
71,8584,8505
72,8447,8646
73,9032,8874
74,8783,8619
75,8186,8557
76,8265,8711
77,7788,8642
78,8776,8721
79,8829,8763
80,8248,8382
81,8821,8605
82,8671,8783
83,8828,8693
84,8509,8764
85,8604,8645
86,8516,8931
87,8291,8627
88,8620,8731
89,9234,8623
90,8873,8928
91,8998,8685
92,8289,8597
93,8742,8618
94,8543,8675
95,8286,8746
96,8880,8878
97,8864,8626
98,8995,8443
99,8232,8234
100,8269,8571
101,8566,8122
102,8728,8314
103,8517,8797
104,8904,8643
105,8717,8764
106,8554,8549
107,8669,8657
108,8015,8300
109,8677,8535
110,8571,8627
111,8295,8783
112,8642,8410
113,8649,8694
114,8881,8640
115,8960,8759
116,8608,8381
117,8707,8688
118,9179,8619
119,8343,8923
120,8509,8853
121,7806,8325
122,8652,8722
123,9215,8661
124,9021,8508
125,8969,8414
126,9049,9010
127,9299,8644
128,8706,8939
129,8656,8600
130,8371,8837
131,8862,8628
132,8582,8392
133,8283,8704
134,8147,8672
135,8808,8847
136,8456,8929
137,8539,8690
138,8419,8577
139,8901,8921
140,9133,8667
141,8645,8344
142,8654,8258
143,8233,8577
144,7966,8721
145,9192,9091
146,8559,8948
147,8149,8655
148,8796,8328
149,7791,8438
150,8827,9042
151,9184,8792
152,8495,8575
153,8741,8798
154,9089,8887
155,8724,8705
156,8136,8490
157,8706,8759
158,9315,9198
159,8713,8850
160,8694,8420
161,8632,8480
