# DigitalOscilloscope capture
# format_version=2
# fs_hz=1632653.0612244897
# n_bits=14
# timestamp=2026-08-19T01:34:45
# capture_name=capture_att100_gain100_sine.csv
# decim_factor=49
# capture_depth=8192
# pretrigger_samples=0
# trigger_mode=off
# trigger_source=1
# adc_format=Offset Binary
# firmware_afe_ch1_gain_pct=100.00
# firmware_afe_ch1_offset_pct=49.96
# firmware_afe_ch1_atten=1:100
# firmware_afe_ch1_coupling=dc
# firmware_afe_ch1_range_vpp=2
# firmware_afe_ch2_gain_pct=100.00
# firmware_afe_ch2_offset_pct=50.02
# firmware_afe_ch2_atten=1:100
# firmware_afe_ch2_coupling=dc
# firmware_afe_ch2_range_vpp=2
# firmware_afe_trigger_source=1
# firmware_afe_trigger_level_pct=50.00
# firmware_afe_trigger_level_mv=1500
# firmware_ch1_to_adc2=0
index,ch1_raw,ch2_raw
0,4651,4781
1,4701,4668
2,4480,4711
3,4922,4566
4,4873,4838
5,4965,4930
6,4709,4770
7,4949,4881
8,4954,4688
9,4785,4912
10,4539,4767
11,4893,5034
12,4387,4544
13,4868,4929
14,4607,5071
15,4199,4727
16,5191,5071
17,4752,4964
18,4181,4946
19,4479,4872
20,4606,4993
21,4641,4924
22,5037,5160
23,4998,5090
24,4891,4987
25,4681,5066
26,5271,4727
27,5172,5108
28,5142,4955
29,5304,4987
30,4960,4953
31,3893,4787
32,5209,4728
33,4611,4540
34,5086,4875
35,4833,5227
36,4851,4804
37,4541,5005
38,5270,5125
39,4600,4718
40,4874,5093
41,4235,4858
42,4736,4880
43,4091,4689
44,4573,4894
45,4972,5103
46,4131,4653
47,4344,4915
48,5088,4785
49,5241,5594
50,5014,4910
51,4637,4794
52,4436,4698
53,4992,4943
54,4585,5000
55,4780,5017
56,5630,5178
57,4802,5329
58,4953,5134
59,4776,4892
60,4245,4657
61,4917,4981
62,4559,4869
63,4351,4934
64,5119,5128
65,5469,5138
66,5218,5353
67,5120,5506
68,5088,5444
69,4881,4923
70,5511,5156
71,4914,5079
72,5284,5469
73,4482,5110
74,5039,5264
75,5014,4863
76,5028,4772
77,5209,5285
78,4393,5254
79,4886,4595
80,5027,5181
81,5460,5233
82,4936,4607
83,5067,4981
